quarter,designated_notional_musd,non_designated_notional_musd,aoci_cash_flow_hedges_musd,oci_cash_flow_hedges_in_quarter_musd,reclassified_to_revenue_musd,expected_reclass_next_12m_musd,revenue_musd,revenue_prior_year_musd,hedge_effect_on_revenue_growth_pp,stated_revenue_fx_pp,gross_fx_ex_hedge_pp,stated_adr_fx_pp,eur_usd_yoy_pct,gbp_usd_yoy_pct,ltm_revenue_musd,non_usd_revenue_share,designated_notional_pct_of_ltm_non_usd_revenue,expected_reclass_pp_of_ltm_revenue
1Q23,494.3,3300,-4.1,-4,0,nan,1818.0,1509.0,0.0,-4.0,-4.0,-2.8,-4.34,-9.35,8708.0,0.54,10.5,nan
2Q23,918,3900,-2,2,0,nan,2484.0,2104.0,0.0,-1.0,-1.0,-0.6,2.28,-0.35,9088.0,0.54,18.7,nan
3Q23,1400,3100,35,37,0,nan,3397.0,2884.0,0.0,4.0,4.0,2.7,8.13,7.62,9601.0,0.54,27.0,nan
4Q23,2000,2400,-31,-66,0,-11,2218.0,1902.0,0.0,3.0,3.0,2.1,5.32,5.66,9917.0,0.54,37.3,-0.11
1Q24,2200,3100,17,48,0,16,2142.0,1818.0,0.0,0.0,0.0,0.6,1.17,4.35,10241.0,0.54,39.8,0.16
2Q24,2200,2200,62,14,0,25,2748.0,2484.0,0.0,0.0,0.0,-0.9,-1.12,0.79,10505.0,0.54,38.8,0.24
3Q24,2200,1600,-37,-68,0,-34,3732.0,3397.0,0.0,0.0,0.0,-0.6,0.94,2.7,10840.0,0.54,37.6,-0.31
4Q24,2500,2100,80,117,0,68,2480.0,2218.0,0.0,0.0,0.0,-1.1,-0.87,3.19,11102.0,0.54,41.7,0.61
1Q25,2500,1600,7,-73,0,16,2272.0,2142.0,0.0,-2.0,-2.0,-1.9,-2.98,-0.61,11232.0,0.56,39.7,0.14
2Q25,2400,1900,-123,-130,0,-104,3096.0,2748.0,0.0,0.0,0.0,1.9,5.35,5.82,11580.0,0.56,37.0,-0.9
3Q25,2600,1300,-77,46,-42,-76,4095.0,3732.0,-1.13,0.0,1.13,2.7,6.36,3.68,11943.0,0.56,38.9,-0.64
4Q25,3100,2700,-59,18,-23,-63,2778.0,2480.0,-0.93,1.0,1.93,2.9,9.13,3.81,12241.0,0.56,45.2,-0.51
1Q26,3300,3200,14,73,-15,-7,2678.0,2272.0,-0.66,3.0,3.66,5.0,11.11,6.93,12647.0,0.56,46.6,-0.06
2Q26,3400,2900,39,25,-19,-26,3608.0,3096.0,-0.61,4.0,4.61,1.3,2.56,0.57,13159.0,0.56,46.1,-0.2
