spec,window,deleted_unit,deleted_value,n,guide_rmse_ratio
tail34,W1,year,2023,10,0.8288426200154904
tail34,W1,year,2024,7,1.0637505365588649
tail34,W1,year,2025,7,0.8463283439310586
tail34,W1,year,2026,9,0.7406318157686727
tail34,W1,quarter,2023Q4,10,0.8288426200154904
tail34,W1,quarter,2024Q1,10,0.8849806964996468
tail34,W1,quarter,2024Q2,10,1.021706554819306
tail34,W1,quarter,2024Q3,10,0.8628076757927093
tail34,W1,quarter,2024Q4,10,0.8598571860403713
tail34,W1,quarter,2025Q1,10,0.8767963811286775
tail34,W1,quarter,2025Q2,10,0.9473096500353547
tail34,W1,quarter,2025Q3,10,0.7238929149504513
tail34,W1,quarter,2025Q4,10,0.8634624537900979
tail34,W1,quarter,2026Q1,10,0.8389658450928781
tail34,W1,quarter,2026Q2,10,0.7697861346971053
tail34,W2,year,2024,6,1.0298409914468543
tail34,W2,year,2025,6,0.7754623034762009
tail34,W2,year,2026,8,0.6923389238571049
tail34,W2,quarter,2024Q1,9,0.8516753975827956
tail34,W2,quarter,2024Q2,9,0.9875862091125459
tail34,W2,quarter,2024Q3,9,0.8297151260492159
tail34,W2,quarter,2024Q4,9,0.8266931428693699
tail34,W2,quarter,2025Q1,9,0.8436565499537939
tail34,W2,quarter,2025Q2,9,0.9126590223052299
tail34,W2,quarter,2025Q3,9,0.6629906557940719
tail34,W2,quarter,2025Q4,9,0.8304446844267558
tail34,W2,quarter,2026Q1,9,0.8040242274396748
tail34,W2,quarter,2026Q2,9,0.7248532282260715
tail3,W1,year,2023,10,0.863179653743474
tail3,W1,year,2024,8,1.023058146976631
tail3,W1,year,2025,8,0.7955442683414532
tail3,W1,year,2026,10,0.7485011874624806
tail3,W1,quarter,2023Q3,11,0.8750289332167175
tail3,W1,quarter,2023Q4,11,0.8447725610538643
tail3,W1,quarter,2024Q1,11,0.8758807691092829
tail3,W1,quarter,2024Q2,11,0.9883542198039336
tail3,W1,quarter,2024Q3,11,0.8571730639306498
tail3,W1,quarter,2024Q4,11,0.8561158379249871
tail3,W1,quarter,2025Q1,11,0.8699543596715256
tail3,W1,quarter,2025Q2,11,0.9334544251748694
tail3,W1,quarter,2025Q3,11,0.698890416073283
tail3,W1,quarter,2025Q4,11,0.8572485975814572
tail3,W1,quarter,2026Q1,11,0.8504696332376935
tail3,W1,quarter,2026Q2,11,0.7570112768108815
tail3,W2,year,2024,6,1.0544553100299123
tail3,W2,year,2025,6,0.7977602140510126
tail3,W2,year,2026,8,0.7448010545976504
tail3,W2,quarter,2024Q1,9,0.8843861213497602
tail3,W2,quarter,2024Q2,9,1.0131469196665686
tail3,W2,quarter,2024Q3,9,0.8636671541652532
tail3,W2,quarter,2024Q4,9,0.86249341960535
tail3,W2,quarter,2025Q1,9,0.8777622841233802
tail3,W2,quarter,2025Q2,9,0.9494085332061961
tail3,W2,quarter,2025Q3,9,0.6876700309493818
tail3,W2,quarter,2025Q4,9,0.8637439010164264
tail3,W2,quarter,2026Q1,9,0.8564061117990649
tail3,W2,quarter,2026Q2,9,0.7542461697228116
tail38,W1,year,2024,6,0.8871734519574437
tail38,W1,year,2025,3,1.074002842437642
tail38,W1,year,2026,5,0.8437682609618251
tail38,W1,quarter,2024Q4,6,0.8871734519574437
tail38,W1,quarter,2025Q1,6,0.8920622087501031
tail38,W1,quarter,2025Q2,6,1.0436613277457805
tail38,W1,quarter,2025Q3,6,0.7293214343481885
tail38,W1,quarter,2025Q4,6,0.8898193634457972
tail38,W1,quarter,2026Q1,6,0.8350008328556535
tail38,W1,quarter,2026Q2,6,0.9048624182475513
tail38,W2,year,2024,6,0.8871734519574437
tail38,W2,year,2025,3,1.074002842437642
tail38,W2,year,2026,5,0.8437682609618251
tail38,W2,quarter,2024Q4,6,0.8871734519574437
tail38,W2,quarter,2025Q1,6,0.8920622087501031
tail38,W2,quarter,2025Q2,6,1.0436613277457805
tail38,W2,quarter,2025Q3,6,0.7293214343481885
tail38,W2,quarter,2025Q4,6,0.8898193634457972
tail38,W2,quarter,2026Q1,6,0.8350008328556535
tail38,W2,quarter,2026Q2,6,0.9048624182475513
