window,mapping,widening_pp,quarter,season,group,feasible,n_season,basis,share_low_pct,share_high_pct,share_width_pp
W1,melbourne_calendar_months,0.0,2023Q1,1,same_quarter,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,0.0,2023Q1,1,one_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,0.0,2023Q1,1,two_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,0.0,2023Q1,1,older_finite_tail,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,0.0,2024Q1,1,same_quarter,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,0.0,2024Q1,1,one_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,0.0,2024Q1,1,two_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,0.0,2024Q1,1,older_finite_tail,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,0.0,2025Q1,1,same_quarter,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,0.0,2025Q1,1,one_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,0.0,2025Q1,1,two_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,0.0,2025Q1,1,older_finite_tail,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,0.0,2026Q1,1,same_quarter,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,0.0,2026Q1,1,one_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,0.0,2026Q1,1,two_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,0.0,2026Q1,1,older_finite_tail,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2023Q1,1,same_quarter,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2023Q1,1,one_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2023Q1,1,two_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2023Q1,1,older_finite_tail,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2024Q1,1,same_quarter,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2024Q1,1,one_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2024Q1,1,two_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2024Q1,1,older_finite_tail,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2025Q1,1,same_quarter,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2025Q1,1,one_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2025Q1,1,two_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2025Q1,1,older_finite_tail,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2026Q1,1,same_quarter,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2026Q1,1,one_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2026Q1,1,two_earlier,False,4,stale_K2_accommodation_share_assumption,,,
W1,melbourne_calendar_months,10.0,2026Q1,1,older_finite_tail,False,4,stale_K2_accommodation_share_assumption,,,
