window,season,max_lag,tolerance_pct,n,n_params,rank,nullity,feasible
W1,1,3,0.5,4,4,4,0,False
W1,2,3,0.5,4,4,4,0,False
W1,3,3,0.5,3,4,3,1,False
W1,4,3,0.5,3,4,3,1,True
W1,1,3,1.0,4,4,4,0,False
W1,2,3,1.0,4,4,4,0,True
W1,3,3,1.0,3,4,3,1,True
W1,4,3,1.0,3,4,3,1,True
W1,1,3,2.0,4,4,4,0,True
W1,2,3,2.0,4,4,4,0,True
W1,3,3,2.0,3,4,3,1,True
W1,4,3,2.0,3,4,3,1,True
W1,1,4,0.5,4,5,4,1,False
W1,2,4,0.5,4,5,4,1,False
W1,3,4,0.5,3,5,3,2,False
W1,4,4,0.5,3,5,3,2,True
W1,1,4,1.0,4,5,4,1,False
W1,2,4,1.0,4,5,4,1,True
W1,3,4,1.0,3,5,3,2,True
W1,4,4,1.0,3,5,3,2,True
W1,1,4,2.0,4,5,4,1,True
W1,2,4,2.0,4,5,4,1,True
W1,3,4,2.0,3,5,3,2,True
W1,4,4,2.0,3,5,3,2,True
W1,1,8,0.5,4,9,4,5,False
W1,2,8,0.5,4,9,4,5,False
W1,3,8,0.5,3,9,3,6,False
W1,4,8,0.5,3,9,3,6,True
W1,1,8,1.0,4,9,4,5,True
W1,2,8,1.0,4,9,4,5,True
W1,3,8,1.0,3,9,3,6,True
W1,4,8,1.0,3,9,3,6,True
W1,1,8,2.0,4,9,4,5,True
W1,2,8,2.0,4,9,4,5,True
W1,3,8,2.0,3,9,3,6,True
W1,4,8,2.0,3,9,3,6,True
W2,1,3,0.5,3,4,3,1,False
W2,2,3,0.5,3,4,3,1,True
W2,3,3,0.5,2,4,2,2,True
W2,4,3,0.5,2,4,2,2,True
W2,1,3,1.0,3,4,3,1,True
W2,2,3,1.0,3,4,3,1,True
W2,3,3,1.0,2,4,2,2,True
W2,4,3,1.0,2,4,2,2,True
W2,1,3,2.0,3,4,3,1,True
W2,2,3,2.0,3,4,3,1,True
W2,3,3,2.0,2,4,2,2,True
W2,4,3,2.0,2,4,2,2,True
W2,1,4,0.5,3,5,3,2,False
W2,2,4,0.5,3,5,3,2,True
W2,3,4,0.5,2,5,2,3,True
W2,4,4,0.5,2,5,2,3,True
W2,1,4,1.0,3,5,3,2,True
W2,2,4,1.0,3,5,3,2,True
W2,3,4,1.0,2,5,2,3,True
W2,4,4,1.0,2,5,2,3,True
W2,1,4,2.0,3,5,3,2,True
W2,2,4,2.0,3,5,3,2,True
W2,3,4,2.0,2,5,2,3,True
W2,4,4,2.0,2,5,2,3,True
W2,1,8,0.5,3,9,3,6,False
W2,2,8,0.5,3,9,3,6,True
W2,3,8,0.5,2,9,2,7,True
W2,4,8,0.5,2,9,2,7,True
W2,1,8,1.0,3,9,3,6,True
W2,2,8,1.0,3,9,3,6,True
W2,3,8,1.0,2,9,2,7,True
W2,4,8,1.0,2,9,2,7,True
W2,1,8,2.0,3,9,3,6,True
W2,2,8,2.0,3,9,3,6,True
W2,3,8,2.0,2,9,2,7,True
W2,4,8,2.0,2,9,2,7,True
