window,shape_id,rmse_pct,weight_0,weight_1,weight_2,weight_3,lambda_Q1,lambda_Q2,lambda_Q3,lambda_Q4
W1,510,1.000609685936078,0.1,0.15,0.75,0.0,0.11500694281555376,0.16132590154373685,0.16864814760098212,0.1199026565109659
W1,524,0.9940071046299416,0.1,0.2,0.65,0.05,0.11530098938022178,0.156974551865335,0.17135418584199563,0.12077051626405379
W1,525,0.9788141476228366,0.1,0.2,0.7,0.0,0.1157283447510225,0.158164005482493,0.1691364931060593,0.12013411130914879
W1,538,0.9914920818183734,0.1,0.25,0.6,0.05,0.11602612874491333,0.15398042842688087,0.17185883640713234,0.12100540554549222
W1,539,0.9716468202639756,0.1,0.25,0.65,0.0,0.11645901968569117,0.15512446102553132,0.1696278817083668,0.12036654959185362
W1,551,1.0021797856679218,0.1,0.3,0.55,0.05,0.1167606145179298,0.15109907577500747,0.17236668779411632,0.12124130063846433
W1,552,0.9784119844225826,0.1,0.3,0.6,0.0,0.1171991509608053,0.1522002573069423,0.17012234362977516,0.12059997811770809
W1,564,0.9979506521774719,0.1,0.35,0.55,0.0,0.11794892687550129,0.14938491225028747,0.17061990951117112,0.12083440371064251
W1,664,0.9949782150917383,0.15,0.05,0.75,0.05,0.1117622876066128,0.16399715464784168,0.1706647638801162,0.12104328504422514
W1,665,0.9895654476697777,0.15,0.05,0.8,0.0,0.11216355435873279,0.16529664759404386,0.16846510892111782,0.12040392898919872
W1,679,0.9812856750426707,0.15,0.1,0.65,0.1,0.11203993551051711,0.15950180864893057,0.1734370915468424,0.12192783993759447
W1,680,0.9575588702911031,0.15,0.1,0.7,0.05,0.11244306201514619,0.1607298510724424,0.17116507570801653,0.12127912134486331
W1,681,0.9458701995670371,0.15,0.1,0.75,0.0,0.11284935954873057,0.1619774893121569,0.16895233086632497,0.12063729891415839
W1,694,0.964765333878001,0.15,0.15,0.6,0.1,0.11272413468593422,0.1564106588797863,0.17395432171856848,0.12216720933699325
W1,695,0.9352695497357837,0.15,0.15,0.65,0.05,0.11313232762270993,0.15759105431911405,0.1716685448070755,0.12151596882642779
