spec,quarter,origin,n_train,reason
tail34,2023Q1,2022-11-01,5,requires >=8 complete published rows and all seasons
tail34,2023Q2,2023-02-14,6,requires >=8 complete published rows and all seasons
tail34,2023Q3,2023-05-09,7,requires >=8 complete published rows and all seasons
tail3,2023Q1,2022-11-01,6,requires >=8 complete published rows and all seasons
tail3,2023Q2,2023-02-14,7,requires >=8 complete published rows and all seasons
tail38,2023Q1,2022-11-01,1,requires >=8 complete published rows and all seasons
tail38,2023Q2,2023-02-14,2,requires >=8 complete published rows and all seasons
tail38,2023Q3,2023-05-09,3,requires >=8 complete published rows and all seasons
tail38,2023Q4,2023-08-03,4,requires >=8 complete published rows and all seasons
tail38,2024Q1,2023-11-01,5,requires >=8 complete published rows and all seasons
tail38,2024Q2,2024-02-13,6,requires >=8 complete published rows and all seasons
tail38,2024Q3,2024-05-08,7,requires >=8 complete published rows and all seasons
