target,pool,cand_spec
revenue_musd,all,baselines|ar1|ar1|revenue_musd
revenue_musd,all,baselines|guide_cushion|guide_cushion|revenue_musd
revenue_musd,all,baselines|naive|naive|revenue_musd
revenue_musd,all,baselines|street|street|revenue_musd
revenue_musd,all,baselines|trailing4|trailing4|revenue_musd
revenue_musd,all,guidance-policy|print_from_guide|guide_mid*(1+c_mean8)
revenue_musd,all,"guidance-policy|print_kernel_policy|kernel(w=2/3,k=3)"
revenue_musd,all,kernel-lambda|revenue_level_h1|kernel|w=0.6667|season_mean|h1|naive_gbv
revenue_musd,all,kernel-lambda|revenue_level_next_q_ex_covid|kernel|w=0.6667|season_mean|h0|est_from_2022Q1
revenue_musd,all,kernel-lambda|revenue_level_next_q_last3_ex_covid|kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1
revenue_musd,all,kernel-lambda|revenue_level_next_q_last3|kernel|w=0.6667|season_mean_last3|h0
revenue_musd,all,kernel-lambda|revenue_level_next_q_w033|kernel|w=0.33|season_mean|h0
revenue_musd,all,kernel-lambda|revenue_level_next_q_w038|kernel|w=0.38|season_mean|h0
revenue_musd,all,kernel-lambda|revenue_level_next_q|kernel|w=0.6667|season_mean|h0
revenue_musd,noguide,baselines|ar1|ar1|revenue_musd
revenue_musd,noguide,baselines|naive|naive|revenue_musd
revenue_musd,noguide,baselines|trailing4|trailing4|revenue_musd
revenue_musd,noguide,"guidance-policy|print_kernel_policy|kernel(w=2/3,k=3)"
revenue_musd,noguide,kernel-lambda|revenue_level_h1|kernel|w=0.6667|season_mean|h1|naive_gbv
revenue_musd,noguide,kernel-lambda|revenue_level_next_q_ex_covid|kernel|w=0.6667|season_mean|h0|est_from_2022Q1
revenue_musd,noguide,kernel-lambda|revenue_level_next_q_last3_ex_covid|kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1
revenue_musd,noguide,kernel-lambda|revenue_level_next_q_last3|kernel|w=0.6667|season_mean_last3|h0
revenue_musd,noguide,kernel-lambda|revenue_level_next_q_w033|kernel|w=0.33|season_mean|h0
revenue_musd,noguide,kernel-lambda|revenue_level_next_q_w038|kernel|w=0.38|season_mean|h0
revenue_musd,noguide,kernel-lambda|revenue_level_next_q|kernel|w=0.6667|season_mean|h0
revenue_musd,parsimonious,baselines|ar1|ar1|revenue_musd
revenue_musd,parsimonious,baselines|guide_cushion|guide_cushion|revenue_musd
revenue_musd,parsimonious,baselines|naive|naive|revenue_musd
revenue_musd,parsimonious,baselines|street|street|revenue_musd
revenue_musd,parsimonious,baselines|trailing4|trailing4|revenue_musd
revenue_musd,parsimonious,guidance-policy|print_from_guide|guide_mid*(1+c_mean8)
revenue_yoy,all,baselines|ar1|ar1|revenue_yoy
revenue_yoy,all,baselines|naive|naive|revenue_yoy
revenue_yoy,all,baselines|trailing4|trailing4|revenue_yoy
revenue_yoy,all,kernel-lambda|revenue_yoy_next_q|kernel|w=0.6667|season_mean|h0|yoy
revenue_yoy,all,tracker-backlog|revenue_yoy_next_q|funds_raw
revenue_yoy,all,tracker-backlog|revenue_yoy_next_q|funds_rnpl_scenario_k0.5
revenue_yoy,all,tracker-backlog|revenue_yoy_next_q|funds_rnpl_scenario_k1.0
revenue_yoy,all,tracker-backlog|revenue_yoy_next_q|funds_rnpl_scenario_k1.5
revenue_yoy,all,tracker-backlog|revenue_yoy_next_q|unearned_raw
revenue_yoy,all,tracker-backlog|revenue_yoy_next_q|unearned_rnpl_scenario_k0.5
revenue_yoy,all,tracker-backlog|revenue_yoy_next_q|unearned_rnpl_scenario_k1.0
revenue_yoy,all,tracker-backlog|revenue_yoy_next_q|unearned_rnpl_scenario_k1.5
revenue_yoy,parsimonious,baselines|ar1|ar1|revenue_yoy
revenue_yoy,parsimonious,baselines|naive|naive|revenue_yoy
revenue_yoy,parsimonious,baselines|trailing4|trailing4|revenue_yoy
revenue_yoy,parsimonious,tracker-backlog|revenue_yoy_next_q|funds_raw
revenue_yoy,parsimonious,tracker-backlog|revenue_yoy_next_q|funds_rnpl_scenario_k0.5
revenue_yoy,parsimonious,tracker-backlog|revenue_yoy_next_q|funds_rnpl_scenario_k1.0
revenue_yoy,parsimonious,tracker-backlog|revenue_yoy_next_q|funds_rnpl_scenario_k1.5
revenue_yoy,parsimonious,tracker-backlog|revenue_yoy_next_q|unearned_raw
