cand_spec,n,rmse,mae,bias,rmse_ratio_to_naive,target,pool,window,prior_basis
baselines|guide_cushion|guide_cushion|revenue_musd,14,35.45650841938924,30.99369334791806,10.59840023284148,0.3770734507160094,revenue_musd,all,W1,PIT
guidance-policy|print_from_guide|guide_mid*(1+c_mean8),14,35.617154908228606,29.167359647161025,14.689491191810346,0.3787818966006286,revenue_musd,all,W1,PIT
kernel-lambda|revenue_level_next_q_last3_ex_covid|kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,14,52.20737664053565,38.506613563959036,0.2559381390630863,0.5552158557133039,revenue_musd,all,W1,PIT
kernel-lambda|revenue_level_next_q_ex_covid|kernel|w=0.6667|season_mean|h0|est_from_2022Q1,14,53.138807968727875,39.530505492131006,2.2714978881546943,0.5651214567068404,revenue_musd,all,W1,PIT
"guidance-policy|print_kernel_policy|kernel(w=2/3,k=3)",14,72.0055873100457,52.70397066717698,37.287287788988806,0.7657661875974288,revenue_musd,all,W1,PIT
kernel-lambda|revenue_level_next_q_last3|kernel|w=0.6667|season_mean_last3|h0,14,72.0055873100457,52.70397066717698,37.287287788988806,0.7657661875974288,revenue_musd,all,W1,PIT
kernel-lambda|revenue_level_next_q|kernel|w=0.6667|season_mean|h0,14,78.12685885620732,61.09552130073621,59.02313961721234,0.8308647855016339,revenue_musd,all,W1,PIT
baselines|naive|naive|revenue_musd,14,94.03077398332425,75.09338228616916,12.776585933082401,1.0,revenue_musd,all,W1,PIT
baselines|street|street|revenue_musd,14,100.90377311365235,87.71428571428571,-68.28571428571429,1.073093082606626,revenue_musd,all,W1,PIT
baselines|ar1|ar1|revenue_musd,14,103.54187204946781,90.11654979880127,-48.778194413840424,1.101148779949746,revenue_musd,all,W1,PIT
kernel-lambda|revenue_level_h1|kernel|w=0.6667|season_mean|h1|naive_gbv,14,109.91690995982775,88.26014492663266,70.2139222129432,1.1689461364991083,revenue_musd,all,W1,PIT
