quarter_printed,published_at,source_reference,guidance_metric_observed,gaap_revenue_guide_available,matched_consensus_available,status,guide_table_rows
2015Q1,2015-05-07T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2015Q2,2015-08-04T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2015Q3,2015-11-03T07:00:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/188/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2015Q4,2016-02-23T07:00:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/178/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2016Q1,2016-05-10T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/173/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2016Q2,2016-08-09T07:34:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/170/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2016Q3,2016-11-09T07:00:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/167/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2016Q4,2017-02-22T07:00:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/158/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2017Q1,2017-05-10T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/153/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2017Q2,2017-08-08T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/150/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2017Q3,2017-11-09T07:01:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/145/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2017Q4,2018-02-22T07:00:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/137/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2018Q1,2018-05-02T08:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/128/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | Approx. 2.75% | Approx. 2.0% | Approx. 3.0% | Approx. 2.5%
2018Q2,2018-08-09T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/121/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | Approx. 3.5% | Approx. 3.5% | Approx. 3.5% | Approx. 3.25%
2018Q3,2018-11-08T07:00:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/117/norwegian-cruise-line-holdings-reports-financial-results,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | Approx. 3.75% | Approx. 4.0% | Approx. 3.6% | Approx. 3.3%
2018Q4,2019-02-21T07:00:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/106/norwegian-cruise-line-holdings-reports-fourth-quarter-and,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | Approx. 2.0% | Approx. 2.5% | 2.5% to 3.5% | 3.0% to 4.0%
2019Q1,2019-05-09T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/101/norwegian-cruise-line-holdings-reports-record-first-quarter,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | Approx. 5.0% | Approx. 5.5% | 3.0% to 4.0% | 3.5% to 4.5%
2019Q2,2019-08-08T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/98/norwegian-cruise-line-holdings-reports-record-second,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | Approx. 1.50% | Approx. 1.75% | Approx. 2.1% | Approx. 2.6%
2019Q3,2019-11-07T07:00:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/91/norwegian-cruise-line-holdings-reports-third-quarter-2019,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | Approx. (1.0%) | Flat | Approx. 2.4% | Approx. 3.0%
2019Q4,2020-02-20T07:00:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/80/norwegian-cruise-line-holdings-reports-fourth-quarter-and,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,Net Yield | Approx. Flat | Approx. 0.25% | 2.0% to 3.0% | 2.0% to 3.0%
2020Q1,2020-05-14T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/62/norwegian-cruise-line-holdings-reports-first-quarter-2020,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2020Q2,2020-08-06T07:00:00-04:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/46/norwegian-cruise-line-holdings-reports-second-quarter-2020,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2020Q3,2020-11-09T16:20:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/39/norwegian-cruise-line-holdings-reports-third-quarter-2020,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
2020Q4,2021-02-25T07:00:00-05:00,https://www.nclhltd.com/investors/news-events/press-releases/detail/24/norwegian-cruise-line-holdings-reports-fourth-quarter-and,net_yield_or_eps_cost_ebitda; requires metric match,False,False,not_comparable_to_GAAP_revenue_kernel,
