quarter,metric,row,source_url
2015Q1,passenger_ticket_revenue_usd_m,"Passenger ticket | $ 670,483 | $ 448,580",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results
2015Q1,onboard_other_revenue_usd_m,"Onboard and other | 267,699 | 215,448",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results
2015Q1,total_revenue_usd_m,"Total revenue | 938,182 | 664,028",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results
2015Q1,onboard_other_revenue_usd_m,"Onboard and other | 58,645 | 47,924",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results
2015Q1,advance_ticket_sales_current_usd_m,"Advance ticket sales | 1,056,625 | 817,207",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results
2015Q1,advance_ticket_sales_current_usd_m,"Advance ticket sales | 255,556 | 118,320",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results
2015Q1,capacity_days,"Capacity Days | 3,556,468 | 2,895,984",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results
2015Q1,occupancy_pct,Occupancy Percentage | 106.0% | 106.2%,https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results
2015Q1,passenger_ticket_revenue_usd_m,"Passenger ticket revenue | $ 670,483 | $ 678,693 | $ 448,580",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results
2015Q1,onboard_other_revenue_usd_m,"Onboard and other revenue | 267,699 | 267,699 | 215,448",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results
2015Q1,total_revenue_usd_m,"Total revenue | 938,182 | 946,392 | 664,028",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results
2015Q1,capacity_days,"Capacity Days | 3,556,468 | 3,556,468 | 2,895,984",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results
2015Q1,net_yield_usd_per_capacity_day,Net Yield | $ 198.99 | $ 200.75 | $ 172.41,https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results
2015Q1,capacity_days,"Capacity Days | 3,556,468 | 3,556,468 | 2,895,984",https://www.nclhltd.com/investors/news-events/press-releases/detail/198/norwegian-cruise-line-holdings-reports-financial-results
2015Q2,passenger_ticket_revenue_usd_m,"Passenger ticket | $ 787,991 | $ 528,782 | $ 1,458,474 | $ 977,362",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results
2015Q2,onboard_other_revenue_usd_m,"Onboard and other | 297,442 | 237,145 | 565,141 | 452,593",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results
2015Q2,total_revenue_usd_m,"Total revenue | 1,085,433 | 765,927 | 2,023,615 | 1,429,955",https://www.nclhltd.com/investors/news-events/press-releases/detail/192/norwegian-cruise-line-holdings-reports-financial-results
