guide_id,print_quarter,print_date,target_period,metric,guide_type,value_low,value_mid,unit,actual,outcome,revision_delta,quote
ABNB-4Q20-adj_ebitda_margin_pct-FY2021-004,4Q20,2021-02-25,FY2021,adj_ebitda_margin_pct,qualitative,,,narrative,26.57,qualitative,,we expect our Adjusted EBITDA margins to be lower in the first half of 2021 than the second half
ABNB-1Q21-adj_ebitda_margin_pct-FY2021-010,1Q21,2021-05-13,FY2021,adj_ebitda_margin_pct,qualitative,,,narrative,26.57,qualitative,,we expect our Adjusted EBITDA margins to be lower in the first half of 2021 than the second half
ABNB-4Q21-adj_ebitda_margin_yoy_pts-FY2022-033,4Q21,2022-02-15,FY2022,adj_ebitda_margin_yoy_pts,point,,0.0,pts,7.99,beat,,we would expect Adjusted EBITDA margin to be directionally in-line with 2021
ABNB-1Q22-adj_ebitda_margin_yoy_pts-FY2022-040,1Q22,2022-05-03,FY2022,adj_ebitda_margin_yoy_pts,floor,0.0,,pts,7.99,met,0.0,We currently anticipate delivering modest Adjusted EBITDA margin expansion for the full-year 2022 relative to 2021
ABNB-2Q22-adj_ebitda_margin_yoy_pts-FY2022-048,2Q22,2022-08-02,FY2022,adj_ebitda_margin_yoy_pts,floor,0.0,,pts,7.99,met,0.0,We continue to forecast delivering Adjusted EBITDA margin expansion for the full-year 2022 relative to 2021
ABNB-4Q22-adj_ebitda_margin_yoy_pts-FY2023-064,4Q22,2023-02-14,FY2023,adj_ebitda_margin_yoy_pts,point,,0.0,pts,2.27,beat,,"For the full year 2023, we expect to maintain the strong Adjusted EBITDA margin we delivered in 2022"
ABNB-1Q23-adj_ebitda_margin_yoy_pts-FY2023-074,1Q23,2023-05-09,FY2023,adj_ebitda_margin_yoy_pts,point,,0.0,pts,2.27,beat,0.0,We continue to anticipate a full year Adjusted EBITDA margin that is broadly in-line with full-year 2022
ABNB-2Q23-adj_ebitda_margin_yoy_pts-FY2023-082,2Q23,2023-08-03,FY2023,adj_ebitda_margin_yoy_pts,floor,0.0,,pts,2.27,met,0.0,"For the full-year 2023, we expect an Adjusted EBITDA margin that is modestly higher than the full-year 2022"
ABNB-3Q23-adj_ebitda_margin_yoy_pts-FY2023-089,3Q23,2023-11-01,FY2023,adj_ebitda_margin_yoy_pts,point,,1.5,pts,2.27,beat,1.5,we expect an Adjusted EBITDA margin for full-year 2023 that is approximately 150 bps higher than full-year 2022
ABNB-4Q23-adj_ebitda_margin_pct-FY2024-097,4Q23,2024-02-13,FY2024,adj_ebitda_margin_pct,floor,35.0,,pct,36.4,met,,"For the full-year 2024, we expect to maintain an Adjusted EBITDA Margin of at least 35%"
ABNB-1Q24-adj_ebitda_margin_pct-FY2024-105,1Q24,2024-05-08,FY2024,adj_ebitda_margin_pct,floor,35.0,,pct,36.4,met,0.0,"For the full-year 2024, consistent with our prior guidance, we expect to grow Adjusted EBITDA on a nominal basis and to deliver an Adjusted EBITDA Mar"
ABNB-2Q24-adj_ebitda_margin_pct-FY2024-114,2Q24,2024-08-06,FY2024,adj_ebitda_margin_pct,floor,35.0,,pct,36.4,met,0.0,"For the full-year 2024, consistent with our prior guidance, we expect to grow Adjusted EBITDA on a nominal basis and to deliver an Adjusted EBITDA Mar"
ABNB-3Q24-adj_ebitda_margin_pct-FY2024-123,3Q24,2024-11-07,FY2024,adj_ebitda_margin_pct,point,,35.5,pct,36.4,beat,0.5,"For the full-year 2024, we now expect to deliver an Adjusted EBITDA Margin of approximately 35.5%"
ABNB-4Q24-adj_ebitda_margin_pct-FY2025-133,4Q24,2025-02-13,FY2025,adj_ebitda_margin_pct,floor,34.5,,pct,35.1,met,,we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%
ABNB-1Q25-adj_ebitda_margin_pct-FY2025-143,1Q25,2025-05-01,FY2025,adj_ebitda_margin_pct,floor,34.5,,pct,35.1,met,0.0,"For full-year 2025, consistent with our prior guidance, we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%"
ABNB-2Q25-adj_ebitda_margin_pct-FY2025-153,2Q25,2025-08-06,FY2025,adj_ebitda_margin_pct,floor,34.5,,pct,35.1,met,0.0,"For 2025, consistent with our prior guidance, we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%"
ABNB-3Q25-adj_ebitda_margin_pct-FY2025-162,3Q25,2025-11-06,FY2025,adj_ebitda_margin_pct,point,,35.0,pct,35.1,at_point,0.5,"For the full-year 2025, we now expect to deliver an Adjusted EBITDA Margin of approximately 35%"
ABNB-4Q25-adj_ebitda_margin_yoy_pts-FY2026-171,4Q25,2026-02-12,FY2026,adj_ebitda_margin_yoy_pts,point,,0.0,pts,,pending,,"For 2026, we expect our Adjusted EBITDA Margin to be stable year-over-year"
ABNB-1Q26-adj_ebitda_margin_pct-FY2026-180,1Q26,2026-05-07,FY2026,adj_ebitda_margin_pct,floor,35.0,,pct,,pending,,"For 2026, we now expect our Adjusted EBITDA Margin to be at least 35%"
ABNB-2Q26-adj_ebitda_margin_pct-FY2026-190,2Q26,2026-08-06,FY2026,adj_ebitda_margin_pct,floor,35.5,,pct,,pending,0.5,"For 2026, we now expect to deliver a full-year Adjusted EBITDA Margin of at least 35.5%"
