print_quarter,print_date,guide_id,target_period,metric,guide_type,value_low,value_high,value_mid,actual,outcome,distance_from_mid,comparator_value,direction_family,margin_clause,november,quote
2Q21,2021-08-12,ABNB-2Q21-adj_ebitda_margin_pct-3Q21-014,3Q21,adj_ebitda_margin_pct,directional,,,,49.2,met,11.9,37.3,up,,False,to deliver the highest Adjusted EBITDA dollars and margin ever
3Q21,2021-11-04,ABNB-3Q21-adj_ebitda_margin_yoy_pts-4Q21-025,4Q21,adj_ebitda_margin_yoy_pts,directional,,,,24.1,met,12.2,11.9,up,,True,we expect to deliver greater year-over-year and year-over-two year margin expansion in Q4 2021 than we delivered in Q3 2021
4Q21,2022-02-15,,,,,,,,,,,,none,,False,"(no next-quarter margin sentence; 4Q21 letter Q1 outlook gives EBITDA dollars only: ""we expect to achieve our first positive Q1 Adjusted EBITDA in Airbnb history"")"
1Q22,2022-05-03,ABNB-1Q22-adj_ebitda_margin_yoy_pts-2Q22-039,2Q22,adj_ebitda_margin_yoy_pts,floor,10.0,,,17.5,met,7.5,,up,,False,driving a low double-digit EBITDA margin percentage improvement on a year-over-year basis
2Q22,2022-08-02,ABNB-2Q22-adj_ebitda_margin_pct-3Q22-047,3Q22,adj_ebitda_margin_pct,ceiling,,49.0,,50.5,not_met,1.5,,flat_to_down,,False,We expect Q3 2022 Adjusted EBITDA margin to be at or slightly below last year's all-time high margin of 49%
3Q22,2022-11-01,ABNB-3Q22-adj_ebitda_margin_pct-4Q22-055,4Q22,adj_ebitda_margin_pct,floor,22.0,,,26.6,met,4.6,,flat_to_up,,True,expect quarterly Adjusted EBITDA margin to be in-line to modestly higher than last year's margin of 22%
4Q22,2023-02-14,ABNB-4Q22-adj_ebitda_margin_yoy_pts-1Q23-062,1Q23,adj_ebitda_margin_yoy_pts,ceiling,,0.0,,-0.8,met,-0.8,,down,,False,"In Q1 2023, we expect Adjusted EBITDA margin to be slightly down on a year-over-year basis"
1Q23,2023-05-09,ABNB-1Q23-adj_ebitda_margin_yoy_pts-2Q23-072,2Q23,adj_ebitda_margin_yoy_pts,ceiling,,0.0,,-0.8,met,-0.8,,down,,False,"we expect Adjusted EBITDA to be similar to Adjusted EBITDA in Q2 2022 on a nominal basis, but lower on a margin basis"
2Q23,2023-08-03,ABNB-2Q23-adj_ebitda_margin_yoy_pts-3Q23-081,3Q23,adj_ebitda_margin_yoy_pts,floor,0.0,,,3.5,met,3.5,,up,,False,We expect a record-high Adjusted EBITDA in Q3 2023 on a nominal basis and an Adjusted EBITDA margin that exceeds Q3 2022
3Q23,2023-11-01,ABNB-3Q23-adj_ebitda_margin_yoy_pts-4Q23-088,4Q23,adj_ebitda_margin_yoy_pts,floor,0.0,,,6.7,met,6.7,,up,,True,we expect a record-high fourth quarter Adjusted EBITDA in 2023 on a nominal basis and an Adjusted EBITDA margin that exceeds Q4 2022
4Q23,2024-02-13,ABNB-4Q23-adj_ebitda_margin_yoy_pts-1Q24-096,1Q24,adj_ebitda_margin_yoy_pts,floor,0.0,,,5.4,met,5.4,,up,,False,We expect Adjusted EBITDA Margin in Q1 2024 to expand relative to Q1 2023
1Q24,2024-05-08,ABNB-1Q24-adj_ebitda_margin_yoy_pts-2Q24-104,2Q24,adj_ebitda_margin_yoy_pts,ceiling,,0.0,,-0.5,met,-0.5,,down,,False,"we expect Adjusted EBITDA to be flat to up on a nominal basis, but down on an Adjusted EBITDA Margin basis, relative to Q2 2023"
2Q24,2024-08-06,ABNB-2Q24-adj_ebitda_margin_yoy_pts-3Q24-112,3Q24,adj_ebitda_margin_yoy_pts,ceiling,,0.0,,-1.5,met,-1.5,,down,,False,"we expect Adjusted EBITDA to approximate Q3 2023 on a nominal basis, but for Adjusted EBITDA Margin to decline relative to Q3 2023"
3Q24,2024-11-07,ABNB-3Q24-adj_ebitda_margin_yoy_pts-4Q24-121,4Q24,adj_ebitda_margin_yoy_pts,ceiling,,0.0,,-2.5,met,-2.5,,down,,True,Q4 2024 Adjusted EBITDA Margin is expected to decline relative to the same time period last year
4Q24,2025-02-13,ABNB-4Q24-adj_ebitda_margin_yoy_pts-1Q25-132,1Q25,adj_ebitda_margin_yoy_pts,ceiling,,0.0,,-1.4,met,-1.4,,down,,False,"In Q1 2025, we expect Adjusted EBITDA and Adjusted EBITDA Margin to decline compared to Q1 2024"
1Q25,2025-05-01,ABNB-1Q25-adj_ebitda_margin_yoy_pts-2Q25-141,2Q25,adj_ebitda_margin_yoy_pts,ceiling,,0.0,,1.2,not_met,1.2,,flat_to_down,,False,"we expect Adjusted EBITDA to increase on a year-over- year basis, but for Adjusted EBITDA Margin to be flat to down slightly compared to Q2 2024"
2Q25,2025-08-06,ABNB-2Q25-adj_ebitda_margin_yoy_pts-3Q25-151,3Q25,adj_ebitda_margin_yoy_pts,ceiling,,0.0,,-2.4,met,-2.4,,down,,False,we anticipate that Adjusted EBITDA Margin during Q3 2025 will be lower than in Q3 2024
3Q25,2025-11-06,ABNB-3Q25-adj_ebitda_margin_yoy_pts-4Q25-161,4Q25,adj_ebitda_margin_yoy_pts,ceiling,,0.0,,-2.5,met,-2.5,,down,and for Adjusted EBITDA Margin to decline over the same ti,True,We expect Adjusted EBITDA in Q4 2025 to be flat- to-down slightly on a year-over-year basis and for Adjusted EBITDA Margin to decline over the same ti
4Q25,2026-02-12,ABNB-4Q25-adj_ebitda_margin_yoy_pts-1Q26-169,1Q26,adj_ebitda_margin_yoy_pts,point,,,0.0,1.0,beat,1.0,,flat,,False,We expect Adjusted EBITDA Margin to be approximately flat year-over-year
1Q26,2026-05-07,ABNB-1Q26-adj_ebitda_margin_yoy_pts-2Q26-178,2Q26,adj_ebitda_margin_yoy_pts,floor,0.0,,,1.3,met,1.3,,up,,False,We expect Adjusted EBITDA and Adjusted EBITDA Margin to be up year-over-year in Q2 2026
2Q26,2026-08-06,ABNB-2Q26-adj_ebitda_margin_yoy_pts-3Q26-188,3Q26,adj_ebitda_margin_yoy_pts,ceiling,,0.0,,,pending,,,down,,False,"We expect Adjusted EBITDA to increase year-over-year and Adjusted EBITDA Margin to be down slightly compared to Q3 2025, due to timing of investments"
