print_quarter,print_date,target_period,guide_type,value_low,value_mid,actual,outcome,revision_delta,quote
4Q20,2021-02-25,FY2021,qualitative,,,26.57,qualitative,,we expect our Adjusted EBITDA margins to be lower in the first half of 2021 than the second half
1Q21,2021-05-13,FY2021,qualitative,,,26.57,qualitative,,we expect our Adjusted EBITDA margins to be lower in the first half of 2021 than the second half
4Q21,2022-02-15,FY2022,point,,0.0,7.99,beat,,we would expect Adjusted EBITDA margin to be directionally in-line with 2021
1Q22,2022-05-03,FY2022,floor,0.0,,7.99,met,0.0,We currently anticipate delivering modest Adjusted EBITDA margin expansion for the full-year 2022 relative to 2021
2Q22,2022-08-02,FY2022,floor,0.0,,7.99,met,0.0,We continue to forecast delivering Adjusted EBITDA margin expansion for the full-year 2022 relative to 2021
4Q22,2023-02-14,FY2023,point,,0.0,2.27,beat,,"For the full year 2023, we expect to maintain the strong Adjusted EBITDA margin we delivered in 2022"
1Q23,2023-05-09,FY2023,point,,0.0,2.27,beat,0.0,We continue to anticipate a full year Adjusted EBITDA margin that is broadly in-line with full-year 2022
2Q23,2023-08-03,FY2023,floor,0.0,,2.27,met,0.0,"For the full-year 2023, we expect an Adjusted EBITDA margin that is modestly higher than the full-year 2022"
3Q23,2023-11-01,FY2023,point,,1.5,2.27,beat,1.5,we expect an Adjusted EBITDA margin for full-year 2023 that is approximately 150 bps higher than full-year 2022
4Q23,2024-02-13,FY2024,floor,35.0,,36.4,met,,"For the full-year 2024, we expect to maintain an Adjusted EBITDA Margin of at least 35%"
1Q24,2024-05-08,FY2024,floor,35.0,,36.4,met,0.0,"For the full-year 2024, consistent with our prior guidance, we expect to grow Adjusted EBITDA on a nominal basis and to deliver an Adjusted EBITDA Mar"
2Q24,2024-08-06,FY2024,floor,35.0,,36.4,met,0.0,"For the full-year 2024, consistent with our prior guidance, we expect to grow Adjusted EBITDA on a nominal basis and to deliver an Adjusted EBITDA Mar"
2Q24,2024-08-06,FY2024,floor,2.0,,3.99,met,,We also expect to continue to deliver a full-year 2024 Free Cash Flow margin several points above our EBITDA margin
3Q24,2024-11-07,FY2024,point,,35.5,36.4,beat,0.5,"For the full-year 2024, we now expect to deliver an Adjusted EBITDA Margin of approximately 35.5%"
3Q24,2024-11-07,FY2024,floor,2.0,,3.99,met,0.0,we expect to deliver a full-year 2024 Free Cash Flow Margin several points above our Adjusted EBITDA Margin
4Q24,2025-02-13,FY2025,floor,34.5,,35.1,met,,we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%
1Q25,2025-05-01,FY2025,floor,34.5,,35.1,met,0.0,"For full-year 2025, consistent with our prior guidance, we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%"
2Q25,2025-08-06,FY2025,floor,34.5,,35.1,met,0.0,"For 2025, consistent with our prior guidance, we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%"
3Q25,2025-11-06,FY2025,point,,35.0,35.1,at_point,0.5,"For the full-year 2025, we now expect to deliver an Adjusted EBITDA Margin of approximately 35%"
4Q25,2026-02-12,FY2026,point,,0.0,,pending,,"For 2026, we expect our Adjusted EBITDA Margin to be stable year-over-year"
1Q26,2026-05-07,FY2026,floor,35.0,,,pending,,"For 2026, we now expect our Adjusted EBITDA Margin to be at least 35%"
2Q26,2026-08-06,FY2026,floor,35.5,,,pending,0.5,"For 2026, we now expect to deliver a full-year Adjusted EBITDA Margin of at least 35.5%"
