path,sha256,claim,result
deck\drafts\lane4_v2\review_v1\01_seasonal_conversion.png,52ffcb5cef1e965127370afca0d233d0de57efeed8dd369e98e662823a7642ac,receipt output,PASS
deck\drafts\lane4_v2\review_v1\01_seasonal_conversion.svg,851d5cee2aca6204aabbaeba3d3144c2ee40f896ab0773bb4a3763f7f48c59fe,receipt output,PASS
deck\drafts\lane4_v2\review_v1\02_weight_identification.png,70664777090d6c6ead68763878c126d4591893b5725c2a785884c33761f0b27b,receipt output,PASS
deck\drafts\lane4_v2\review_v1\02_weight_identification.svg,cfa380225529c79283e14259248002f16efa92d83de457058b49e76e2d568350,receipt output,PASS
deck\drafts\lane4_v2\review_v1\03_chronological_validation.png,89b39cb8527bdd531caba51b7c50e9939254b43c6bbb25e537217f74acd72248,receipt output,PASS
deck\drafts\lane4_v2\review_v1\03_chronological_validation.svg,e0322de126adef6d857401cd944ac296e77aa04590fa78217e60a2343e5ca2e4,receipt output,PASS
deck\drafts\lane4_v2\review_v1\accepted_L3_exhibits.pdf,ac54e79e2e62a7aa010f47c62a6521bc9dc43ec3acf2ffae3ca342e0fc0f34c1,receipt output,PASS
deck\drafts\lane4_v2\review_v1\decision_register.csv,157808cb1a3e8aa0f8ea385c5d518a646149e0bba5b1d9bca0f4e7bf67b29294,receipt output,PASS
deck\drafts\lane4_v2\review_v1\decision_register.md,3ae7a19fe81c24ab36f78ebf4ec17f69be0c62c9cff33cedf4327bd5b7e2ad90,receipt output,PASS
deck\drafts\lane4_v2\review_v1\financial_scenarios.csv,c3a640fda7789e23708fdaae8875f7a3cd104d873a14a18ea716ad0d1290a51a,receipt output,PASS
deck\drafts\lane4_v2\review_v1\rejected_free_weight_descriptive_extremes.csv,db2803fd57325fcc83b89dc4673ba5019d37e70583f83742f5b0b24693062f49,receipt output,PASS
deck\drafts\lane4_v2\review_v1\review_memo.md,7b397ad6452dab08d217f02ca63c9cc37026af8763a24197930f532ebb648fb4,receipt output,PASS
deck\drafts\lane4_v2\review_v1\review_memo.pdf,f25ea92905d1d39d2d90738ce2e9e5c70852fbbb13072529788ff4ef96986402,receipt output,PASS
deck\drafts\lane4_v2\review_v1\same_basis_expectations.csv,d1588d403a7771db5eb4ee65fd52e40503cfaf524ffef320d68f0c23069280a9,receipt output,PASS
deck\drafts\lane4_v2\review_v1\source_assumption_ledger.csv,0105526e27cc3efc4adfc2a870c2d5a0ffca6dd274f929ea6d5a7abca5246d4e,receipt output,PASS
deck\drafts\lane4_v2\review_v1\unsigned_card.csv,c1026f83f047837cd0e564c4c265b9fd7bfedfa658ea94251369c7d1d37a758c,receipt output,PASS
deck\drafts\lane4_v2\review_v1\unsigned_card.json,c1c48a0c51d403004a007815183c209f29a33439fd01daf6de2978c88bae2c2b,receipt output,PASS
deck\drafts\lane4_v2\review_v1\unsigned_november_card.md,beda7d4ee84f3c3ee824193bf6c5a526435a3dc890b8cb4fa9974b4a26c1a821,receipt output,PASS
data\processed\forecast_methods\lane4_model_v2\snapshot_v1\annual.csv,2015f3862de12bf046a66ef06cee0544c0c8f5fff6ab21b0f16b93f7ccb1967e,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\00_annual.csv,2015f3862de12bf046a66ef06cee0544c0c8f5fff6ab21b0f16b93f7ccb1967e,snapshot input,PASS
data\processed\forecast_methods\lane4_model_v2\snapshot_v1\scenario_summary.csv,c3a640fda7789e23708fdaae8875f7a3cd104d873a14a18ea716ad0d1290a51a,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\01_scenario_summary.csv,c3a640fda7789e23708fdaae8875f7a3cd104d873a14a18ea716ad0d1290a51a,snapshot input,PASS
data\processed\forecast_methods\lane4_model_v2\snapshot_v1\horizon.json,eb53770783fe75aec867b6128f17dbad690e2a29e997c4ee016a57c9ff3ae215,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\02_horizon.json,eb53770783fe75aec867b6128f17dbad690e2a29e997c4ee016a57c9ff3ae215,snapshot input,PASS
data\processed\forecast_methods\lane4_model_v2\snapshot_v1\legacy_replication.json,d954db5c9b79a2a438f13cd3bfa2440fae31dac475c1338f44773452b9a5efc8,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\03_legacy_replication.json,d954db5c9b79a2a438f13cd3bfa2440fae31dac475c1338f44773452b9a5efc8,snapshot input,PASS
data\processed\forecast_methods\lane4_model_v2\snapshot_v1\input_manifest.json,553e61cde9f71dfaa5537ad9a10e4a791df4815aab1acc55dd0933e06b2c265c,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\04_input_manifest.json,553e61cde9f71dfaa5537ad9a10e4a791df4815aab1acc55dd0933e06b2c265c,snapshot input,PASS
data\processed\forecast_methods\lane4_model_v2\snapshot_v1\workbook_tieout.json,08144e34bc4bd89742005d5a16cb240438f7593445214490e4e61fc4d1f8a52e,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\05_workbook_tieout.json,08144e34bc4bd89742005d5a16cb240438f7593445214490e4e61fc4d1f8a52e,snapshot input,PASS
data\processed\forecast_methods\lane4_revenue_v2\snapshot_v1\forecast.csv,44381e679cc41d2ae7d952bbad78e2a2008392eeb085451ac8130b4ae509e397,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\06_forecast.csv,44381e679cc41d2ae7d952bbad78e2a2008392eeb085451ac8130b4ae509e397,snapshot input,PASS
data\processed\forecast_methods\lane4_revenue_v2\snapshot_v1\operating_inputs.csv,4e971be2a5ef8c53fc790fc1ef1465ff852e88f77b200b589f7b82e5a88d3b21,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\07_operating_inputs.csv,4e971be2a5ef8c53fc790fc1ef1465ff852e88f77b200b589f7b82e5a88d3b21,snapshot input,PASS
data\processed\forecast_methods\lane4_revenue_v2\snapshot_v1\expectations_comparison.csv,d1588d403a7771db5eb4ee65fd52e40503cfaf524ffef320d68f0c23069280a9,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\08_expectations_comparison.csv,d1588d403a7771db5eb4ee65fd52e40503cfaf524ffef320d68f0c23069280a9,snapshot input,PASS
data\processed\forecast_methods\lane4_revenue_v2\snapshot_v1\joint_scenarios.csv,76a15e37371c530d08ab895aa4f72b5bbe56153b804717d2351be4912567b662,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\09_joint_scenarios.csv,76a15e37371c530d08ab895aa4f72b5bbe56153b804717d2351be4912567b662,snapshot input,PASS
data\processed\forecast_methods\lane4_revenue_v2\snapshot_v1\descriptive_joint_extremes.csv,db2803fd57325fcc83b89dc4673ba5019d37e70583f83742f5b0b24693062f49,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\10_descriptive_joint_extremes.csv,db2803fd57325fcc83b89dc4673ba5019d37e70583f83742f5b0b24693062f49,snapshot input,PASS
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\integrity_receipt.json,9afb70a7abf8e8e988f5ded745802cc4d54ea4d3b95e9241e86ae75e2de470aa,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\11_integrity_receipt.json,9afb70a7abf8e8e988f5ded745802cc4d54ea4d3b95e9241e86ae75e2de470aa,snapshot input,PASS
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\row_dispositions.csv,661618b195e8a7e23919225fe2cf9d4a0db0b16102df0ee0909d90847fda28f4,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\12_row_dispositions.csv,661618b195e8a7e23919225fe2cf9d4a0db0b16102df0ee0909d90847fda28f4,snapshot input,PASS
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\accounting_eligibility.json,362d01b2575343358d9844377ce2f5156a9979fc447c4e6996031a051465c128,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\13_accounting_eligibility.json,362d01b2575343358d9844377ce2f5156a9979fc447c4e6996031a051465c128,snapshot input,PASS
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\accounting_interface.csv,87c4f7c92dafdf72fc9c8bf506ce3d1eae0e3838ce6fb61020fa7ef90aecec69,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\14_accounting_interface.csv,87c4f7c92dafdf72fc9c8bf506ce3d1eae0e3838ce6fb61020fa7ef90aecec69,snapshot input,PASS
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\chronological_scores.csv,3ac919a1c3f88bc5a9653c8776b015c8d3690acb186cb73676d3e4ce4d0f87a7,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\15_chronological_scores.csv,3ac919a1c3f88bc5a9653c8776b015c8d3690acb186cb73676d3e4ce4d0f87a7,snapshot input,PASS
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\summary.json,9ccdf1a8ddbbe1d49009334204d4e0c69f7b1bd8b3d2184b08167c417d1f98a8,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\16_summary.json,9ccdf1a8ddbbe1d49009334204d4e0c69f7b1bd8b3d2184b08167c417d1f98a8,snapshot input,PASS
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\claim_ledger.csv,be783ed3cb65cbe85c3ee9040dc674d970a6c2f0e40b22871ee6964b02288921,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\17_claim_ledger.csv,be783ed3cb65cbe85c3ee9040dc674d970a6c2f0e40b22871ee6964b02288921,snapshot input,PASS
deck\drafts\lane4_v1\review_v4\unsigned_card.json,020cf46190433267674a69afa7ba217a65356108dffcb9e4724bf3541e42a8c3,source input,PASS
data\processed\forecast_methods\lane4_review_v2\review_v1\inputs\18_unsigned_card.json,020cf46190433267674a69afa7ba217a65356108dffcb9e4724bf3541e42a8c3,snapshot input,PASS
