check,scenario,actual,independent,absolute_difference,tolerance,result
calendar fraction,all,0.7013698630136986,0.7013698630136986,0.0,1e-15,PASS
horizon_net_cash_musd,review_with_k,10029.055795273789,10029.055795273789,0.0,0.001,PASS
horizon_shares_m,review_with_k,578.8542107467383,578.8542107467383,0.0,0.001,PASS
enterprise_value_musd,review_with_k,95824.28660676908,95824.28660676908,0.0,0.001,PASS
equity_value_musd,review_with_k,105853.34240204286,105853.34240204286,0.0,0.001,PASS
value_per_share,review_with_k,182.86701631744037,182.86701631744037,0.0,0.001,PASS
december_value_per_share,review_with_k,184.66275525291607,184.66275525291607,0.0,0.001,PASS
date_only_value_difference,review_with_k,1.795738935475697,1.795738935475697,0.0,0.001,PASS
fcf 2026,review_with_k,5178.87037288186,5178.87037288186,0.0,0.001,PASS
sbc_adj_fcf 2026,review_with_k,3392.3403728818603,3392.3403728818603,0.0,0.001,PASS
op_income 2026,review_with_k,3294.8252769790497,3294.8252769790497,0.0,0.001,PASS
net_cash 2026,review_with_k,9433.58487288186,9433.58487288186,0.0,0.001,PASS
shares 2026,review_with_k,588.850030229746,588.8500302297462,1.1368683772161603e-13,0.001,PASS
fcf 2027,review_with_k,5536.825326066617,5536.825326066617,0.0,0.001,PASS
sbc_adj_fcf 2027,review_with_k,3571.642326066617,3571.642326066617,0.0,0.001,PASS
op_income 2027,review_with_k,3698.7794224556646,3698.7794224556646,0.0,0.001,PASS
net_cash 2027,review_with_k,10282.596148948478,10282.596148948478,0.0,0.001,PASS
shares 2027,review_with_k,574.598178232489,574.598178232489,0.0,0.001,PASS
fcf 2028,review_with_k,6329.569497383463,6329.569497383463,0.0,0.001,PASS
sbc_adj_fcf 2028,review_with_k,4207.171857383464,4207.171857383464,0.0,0.001,PASS
op_income 2028,review_with_k,4555.41078839148,4555.41078839148,0.0,0.001,PASS
net_cash 2028,review_with_k,11869.32647233194,11869.32647233194,0.0,0.001,PASS
shares 2028,review_with_k,561.5344334929384,561.5344334929383,1.1368683772161603e-13,0.001,PASS
horizon_net_cash_musd,review_without_k,10022.346257518431,10022.346257518431,0.0,0.001,PASS
horizon_shares_m,review_without_k,578.8542107467383,578.8542107467383,0.0,0.001,PASS
enterprise_value_musd,review_without_k,95666.76788508044,95666.76788508044,0.0,0.001,PASS
equity_value_musd,review_without_k,105689.11414259888,105689.11414259888,0.0,0.001,PASS
value_per_share,review_without_k,182.58330367201947,182.58330367201947,0.0,0.001,PASS
december_value_per_share,review_without_k,184.37229647251942,184.37229647251942,0.0,0.001,PASS
date_only_value_difference,review_without_k,1.7889928004999547,1.7889928004999547,0.0,0.001,PASS
fcf 2026,review_without_k,5178.42890499463,5178.42890499463,0.0,0.001,PASS
sbc_adj_fcf 2026,review_without_k,3391.8989049946304,3391.8989049946304,0.0,0.001,PASS
op_income 2026,review_without_k,3294.2778753748835,3294.2778753748835,0.0,0.001,PASS
net_cash 2026,review_without_k,9433.143404994631,9433.143404994631,0.0,0.001,PASS
shares 2026,review_without_k,588.850030229746,588.8500302297462,1.1368683772161603e-13,0.001,PASS
fcf 2027,review_without_k,5527.8884295749485,5527.8884295749485,0.0,0.001,PASS
sbc_adj_fcf 2027,review_without_k,3562.7054295749485,3562.7054295749485,0.0,0.001,PASS
op_income 2027,review_without_k,3689.347150643961,3689.347150643961,0.0,0.001,PASS
net_cash 2027,review_without_k,10273.21778456958,10273.21778456958,0.0,0.001,PASS
shares 2027,review_without_k,574.598178232489,574.598178232489,0.0,0.001,PASS
fcf 2028,review_without_k,6319.4682874563105,6319.4682874563105,0.0,0.001,PASS
sbc_adj_fcf 2028,review_without_k,4197.07064745631,4197.07064745631,0.0,0.001,PASS
op_income 2028,review_without_k,4544.662038720992,4544.662038720992,0.0,0.001,PASS
net_cash 2028,review_without_k,11849.846898025891,11849.846898025891,0.0,0.001,PASS
shares 2028,review_without_k,561.5344334929384,561.5344334929383,1.1368683772161603e-13,0.001,PASS
horizon_net_cash_musd,k0_conditional,10093.674094571294,10093.674094571294,0.0,0.001,PASS
horizon_shares_m,k0_conditional,578.8542107467383,578.8542107467383,0.0,0.001,PASS
enterprise_value_musd,k0_conditional,97155.52011311596,97155.52011311596,0.0,0.001,PASS
equity_value_musd,k0_conditional,107249.19420768725,107249.19420768725,0.0,0.001,PASS
value_per_share,k0_conditional,185.27842108867577,185.27842108867577,0.0,0.001,PASS
december_value_per_share,k0_conditional,187.1313166753386,187.1313166753386,0.0,0.001,PASS
date_only_value_difference,k0_conditional,1.8528955866628394,1.8528955866628394,0.0,0.001,PASS
