id,event,p27,p30,gates,base_rate,anchor
EU-AHA,"EU Affordable Housing Act adopted with a framework letting cities cap or restrict commercial multi-property STRs in housing-stress areas, and at least three large member states enforce under it",0.12,0.45,proposal presented 9 Sep 2026 (0.90) x adopted by end-2027 (0.40) x enabling caps (0.70) x enforcement by 3+ states by 2027 (0.45) -> 0.11; by 2030: 0.90 x 0.75 x 0.70 x 0.95,"EU ordinary legislative procedure median about 18 months from proposal to adoption; STR data regulation took 17 months (Nov 2022 to Apr 2024); housing is a shared competence so the act is framed as enabling, not a ban","Skift 4 Sep 2026: 'not designed as a complete ban'; excludes primary residences (The Local, 5 Sep 2026)"
EU-TAIL,"Tail: the act is adopted with binding quantitative caps and enforced quickly across France, Spain, Italy, Portugal and the Netherlands (adds to EU-AHA)",0.02,0.08,"logically conditional on the EU-AHA branch and now implemented as such (nested inside EU-AHA). The 2%/8% are read as MARGINAL, per the p27/p30 column definition and the 2026-09-05 note's prose; the implied conditional escalation rate is 0.02/0.12 = 16.7% by 2027 and 0.08/0.45 = 17.8% by 2030. Requires Council appetite for caps against member-state competence objections",no EU precedent for a binding sector cap on private lettings; fat-tailed by construction,none
ES-FINE,Spain's EUR64m consumer fine is upheld on the merits and paid (one-off cash; excluded from run-rate loss),0.55,0.7,Madrid High Court denied the stay (23 Mar 2026); EUR70m surety bond posted May 2026; merits appeal pending; possible CJEU reference on platform liability (Airbnb Ireland C-390/18 precedent favours platforms),platform-liability fines in the EU are more often reduced or annulled than paid in full at first instance; Spain's consumer authority has a mixed record on appeal,Airbnb 10-Q: loss 'neither probable nor estimable'
ES-REMOVE,"A further Spanish mass removal order or platform-verified registry takes at least 25,000 more Airbnb ads offline (beyond the July 2025 cohort) with enforcement in force",0.35,0.55,needs replacement legislation after the Supreme Court annulled RD1312/2024's single registry (May 2026); EU data-sharing regulation applies since May 2026 and lowers the cost of a redesigned registry,"Spain has run three enforcement waves in 24 months (removal order May 2025, fine Dec 2025, registry Jul 2025); INE tourist dwellings -10.7% y/y May 2026",Spain about 6% of global revenue (20% of EU platform nights x ~30% EU share of revenue)
ES-REGIONS,"Regional implementations (Canary Islands Law 6/2025, Balearics enforcement, Malaga moratorium, Andalusia) remove or freeze a measurable share of Spanish supply",0.45,0.65,Canary law enacted Dec 2025 with phased municipal implementation; Malaga moratorium to Aug 2028,Ibiza supply almost halved in 2025 (Exceltur via Reuters); Canaries -4.6% y/y,none
BCN-2028,"Barcelona lets at least 70% of its 10,101 tourist-apartment licences lapse in Nov 2028 and enforces removal",0.0,0.45,Constitutional Court upheld the Catalan decree (Mar 2025); 2027 Barcelona municipal election (May 2027) could change the council; Catalan decree allows 5-year renewals at municipal discretion,announced phase-outs of legal STR stock at city scale: NYC enforced as planned; Amsterdam/Paris tightened as planned; Portugal national reversed. Roughly half of announced European STR phase-outs survive in substantially original form 4+ years later,"phase-2 matched cohort: 5,146 licence ids, $23.9m net loss = 0.20% of FY25 revenue"
BCN-PARTIAL,Barcelona phase-out proceeds only partially (30% to 70% of licences) or with a grandfathering period past 2029,0.0,0.55,"one ordinal ladder with BCN-2028 on a single Barcelona uniform: full phase-out 45%, else partial with conditional probability 0.55, so the effective unconditional probability is exactly 0.55 x (1 - 0.45) = 30.25% and the remaining 24.75% is blocked or delayed past 2030. (Before the 2026-09-06 fix the partial branch used its own correlated uniform gated on the full branch, which delivered 23.05%, not the stated 30.25%.)",as above,as above
MAUI,Maui Bill 9 phase-out proceeds on schedule (West Maui Jan 2029) with fewer than half of the Minatoya units exempted by hotel rezoning,0.0,0.4,"lawsuits filed Dec 2025 (Kaanapali Royal owners), no injunction as of mid-2026; Planning Commission recommended against hotel rezoning (Feb 2026) so rezoning needs a 2/3 council supermajority; 2031 phase for the rest of the county falls outside the 2030 horizon",US county-level STR phase-outs challenged in court: most survive but with delays (Honolulu 2022 ordinance partly enjoined then upheld),"phase-2 matched cohort: 3,862 units, $18.0m = 0.15% post-2031; West Maui portion about 35%"
PARIS-PRO,"Paris enacts a quota or ban on non-primary-residence (professional) tourist furnished rentals under the Nov 2024 Le Meur law powers, in force by the horizon",0.3,0.55,Le Meur law (Nov 2024) gives municipalities quota powers; Constitutional Council validated co-ownership bans (19 Mar 2026); Council of State upheld Paris' commercial-space authorisation rule (15 Jul 2026); Paris municipal election March 2026 outcome decides appetite,"Paris has tightened every 2 years since 2017 (registration 2017, 120-day enforcement 2019, 90 days 2025); each step was implemented",Paris about 1.0% of global GBV (supply panel); multi-listing hosts 36% of Paris listings
PARIS-COPRO,"Co-ownership bans and the 90-night cap keep eroding Paris occasional-host supply (attrition already legal, in force)",0.9,0.95,law in force,Inside Airbnb Paris listings -4% to -14% y/y in 2025 to 2026 while reviews flat,supply panel
GR-FREEZE,Greece extends the Athens and Thessaloniki registration freezes into 2027 and adds at least one more area; transfer rule erodes incumbent supply,0.7,0.8,joint ministerial decision needed before 31 Dec 2026; none published as of mid-Aug 2026; law permits extension,"the 2025 freeze was extended once already (to 2026) and expanded (Thessaloniki, Jul 2026)","Greece 5.5% of EU platform nights, growing 15%"
IE-REG,Ireland's register launches (Dec 2026) and planning-compliance enforcement removes more than 20% of Irish listings within 12 months,0.35,0.55,"launch 1 Dec 2026 (0.80, already delayed once from May 2026) x enforcement removes >20% (0.45)",registration schemes with planning declarations (Scotland 2023) removed 10% to 20% of supply in year one,Ireland about 0.4% of global revenue
UK-ENG,"England's registration scheme goes live and councils use it to remove or cap supply in at least two large tourist areas (London, Cornwall, Lake District type)",0.2,0.45,"scheme not live as of Jul 2026 after three slipped dates (2024, Apr 2026, 'later 2026'); C5 planning use class needed for caps",UK government digital-registration launches slip a median of 12+ months,London about 0.8% of global GBV
IT-NAT,"Italy adds national or art-city restrictions beyond CIN and the 3-property business threshold (night caps or zone bans in Rome, Venice, Milan), or Florence's transition ends with removals in May 2028",0.3,0.6,Florence expansion enacted Jun 2026; transition ends May 2028; national 2026 budget law raised the business threshold,"Italy has added one national STR measure per year since 2023 (cedolare 26%, CIN, business threshold)",Italy 14.6% of EU platform nights; Rome 0.6% of global GBV
PT-RETIGHT,Portugal re-tightens nationally or Lisbon containment converts to removals of existing AL,0.2,0.35,national policy reversed toward liberalisation (Oct 2024); referendum blocked by Constitutional Court; Lisbon containment in force Dec 2025,one reversal already; Portugal platform nights +4.9% y/y Q1 2026 (slowest large market),Portugal 5.2% of EU platform nights
NL-AMS,Amsterdam extends the 15-night cap citywide or the Netherlands adopts a national cap,0.3,0.5,eight districts since Apr 2026; council evaluation due 2027,"Amsterdam tightened in 2019 (30 nights), 2021 (permits), 2026 (15 nights)",Netherlands 1.3% of EU platform nights
US-CITY,"At least one more top-10 US Airbnb market (Los Angeles, Chicago, San Diego, Boston, Washington DC, Honolulu) enacts NYC-style platform-verified registration that removes more than 30% of its listings",0.3,0.55,Chicago suit (Jun 2026) seeks injunction; Houston platform enforcement Apr 2026; California SB 346 (Jan 2026) mandates platform data sharing; DC legislation announced,"since 2019, one large US city per ~2 years has adopted platform-verified registration (NYC 2023, Houston 2026); Clark County NV rules partly enjoined","LA 0.8%, Chicago 0.2%, San Diego 0.4% of global GBV"
NYC-LOOSEN,"NYC materially loosens Local Law 18 for owner-occupied one- and two-family homes (Int 879-2026 or successor enacted), a revenue gain",0.2,0.35,"Int 879 introduced 30 Apr 2026, six sponsors, no committee hearing as of 31 Aug 2026; 51-member council; mayoral position unknown","NYC has not loosened LL18 in three years despite 2024 lobbying; registered hosts 3,500+ (Sep 2026)",NYC 0.35% of GBV today vs about 1% of revenue before LL18
CHI-SUIT,Chicago's suit against Airbnb ends in a judgment or settlement with an injunction changing platform practice or a fine above $10m,0.4,0.6,filed 23 Jun 2026 in Cook County; motion practice through 2027,"city-versus-platform enforcement suits mostly settle with compliance terms within 2 years (SF 2017, Boston 2019, NYC data-sharing 2020)",Chicago 0.2% of GBV
COMPLIANCE,"Recurring compliance, legal and mitigation spending rises (EU data-sharing, registries, Spain rural commitment $50m over 3 years); modelled as an EBITDA cost equal to this % of revenue",0.9,0.95,EU data-sharing regulation applies since 20 May 2026,Airbnb's 10-K legal and regulatory expense is not broken out; $50m Spain commitment is the one disclosed mitigation cost,none
