measure,jurisdiction,date,market_size_gate,qualifies_under_B05_convention,register_id
Paris 90-night principal-residence cap (Le Meur law),FR/Paris,2024-11-07 enacted; 2025-01-01 effective,Paris ~2.5% EMEA,yes,REG-08
Greece: Athens districts 1-3 freeze on new STR registrations (national law),EL/Athens,late 2024 enacted; 2025-01-01 effective,national measure; Athens ~0.5% EMEA,yes (national instrument) / no (city-only reading),REG-04
Italy CIN national identification code mandatory,IT national,2025-01-01,Italy 11.7% EMEA,marginal (registration without removal),REG-14 context
Spain Horizontal Property Law: neighbour approval for new tourist lets,ES national,2025-04-03,Spain 15.9% EMEA,yes,REG-18
"Spain national registry (RD 1312/2024) + consumer removal order (65,935 ads)",ES national,2025-05-19 order; 2025-07-01 registry,Spain 15.9% EMEA,yes,REG-02/03
Malaga citywide moratorium on new tourist homes,ES/Malaga,2025-08-23,Malaga <1% EMEA,no (gate),REG-13
Madrid Plan RESIDE enforcement,ES/Madrid,2025-09,Madrid ~0.7% EMEA,no (gate),REG-12
Greece national STR operating and safety standards,EL national,2025-10-01,Greece 4.4% EMEA,"no (standards, not a supply restriction)",REG-20
Lisbon revised AL containment zones,PT/Lisbon,2025-12-02,Lisbon ~0.55% EMEA,no (gate),REG-06
Canary Islands Law 6/2025 (sustainable tourist use of housing),ES/Canarias,2025-12-10 enacted; phased,Canaries ~2.2% EMEA (14% of Spain INE dwellings),yes,REG-16
Budapest district VI zero-day rule,HU/Budapest,2026-01-01,<1% EMEA,no (gate),REG-15
Thessaloniki first municipal community freeze,EL/Thessaloniki,2026-03/07-01,<1% EMEA,no (gate),REG-05
Amsterdam 15-night cap in eight districts,NL/Amsterdam,2026-04-01,Amsterdam ~0.35% EMEA,no (gate),REG-09
Florence historic-centre restriction expansion,IT/Florence,2026-06-21,Florence ~0.4% EMEA,no (gate),REG-14
EU STR data-sharing regulation applies,EU,2026-05-20,EU,"no (data sharing, not a restriction)",REG-17
