id,jurisdiction,title,status,dates,next_catalyst
REG-01,United States / New York City,Local Law 18: transaction verification makes existing STR limits enforceable,Enforced,Enacted 2022-01-09; platform enforcement 2023-09-05; FY26 update available,Registration renewals expected October 2026; enforcement and any enacted amendments.
REG-02,Spain / national consumer enforcement,Listing removals and EUR64.1m Airbnb fine,Implemented enforcement; fine disputed; May 2026 surety bond suspends enforcement pending court proceedings,Removal order 2025-05-19; removals July 2025; fine December 2025; stay denied March 2026,"Court resolution, bond conditions, and changes in accounting recognition or cash settlement."
REG-03,Spain / national registration,2025 national registration rollout; 2026 partial annulment,Implemented historically; material provisions annulled,"Operational rollout 2025-07-01; judgment 2026-05-19, published 2026-06-08; consolidated law updated 2026-07-18","Replacement legislation, platform implementation notices, and any reactivation of listings."
REG-04,"Greece / Athens districts 1, 2 and 3",Freeze on first registrations; transfer-related loss of eligibility,In force,2025-01-01 through 2026-12-31; Law 5313/2026 adds current transfer treatment,"Year-end extension, enforcement against transfer/re-registration workarounds."
REG-06,Portugal / Lisbon,Revised AL containment zones,In force,Approved 2025-12-02; published 2025-12-05,"Monthly ratio monitoring, containment maps, exceptions and licence transfers."
REG-08,France / Paris,Principal-residence cap reduced from 120 to 90 days,In force,2025-01-01,Enforcement and separate proposals targeting multi-property operators.
REG-10,Canada / British Columbia,Principal-residence requirement and platform registry verification,In force,Residence rule 2024-05-01; registry 2025-05-01,"Registry enforcement, geographic exemptions and annual opt-in/out changes."
REG-12,Spain / Madrid,Plan RESIDE and enforcement against illegal tourist flats,In force,September 2025,"Licence issuance, illegal-unit closures, and hotel-pilot conversion economics."
REG-14,Italy / Florence,Historic-centre restriction expands to surrounding zones,In force,"Regulation 2025-05-31; expansion approved 2026-06-04, effective 2026-06-21","Authorisation enforcement, litigation and May 2028 transition end."
REG-07,Portugal / national,Mais Habitacao restrictions partly reversed,Historical tightening followed by liberalisation,2023 housing package; Decree-Law 76/2024 published 2024-10-23,Municipal containment decisions and national changes to the decentralised framework.
REG-09,Netherlands / Amsterdam selected districts,15-night cap in eight central neighbourhoods,In force,2026-04-01,"Compliance, cancellations and any further geographic expansion."
REG-05,Greece / Thessaloniki first municipal community,Athens-style freeze expands to a second city,In force,2026-07-01 through 2026-12-31,Extension beyond December 2026 and expansion to other districts.
REG-11,Canada / Montreal,Seasonal restriction on principal-residence tourist rentals,In force,2025-06-10 framework; commercial guidance updated 2026-01-16,2026 autumn enforcement; legal commercial supply and borough changes.
