scenario,quarter,guide_musd,comparison_basis,consensus_musd,gap_musd,gap_pct,consensus_register_id,consensus_vendor,consensus_period,consensus_metric,consensus_unit,consensus_n_estimates,consensus_as_of_timestamp,consensus_url,consensus_source_path,consensus_role,consensus_pit_usable,consensus_vendor_attributed,consensus_note,consensus_panel_family,consensus_observed_timestamp,consensus_observation_status
review_with_k,2026Q4,3123.41911517339,different_objects_guide_minus_revenue_not_surprise,3160,-36.580884826612,-1.15762293755101,CU-2026Q4-revenue-SPGlobal-20260910,S&P Global Market Intelligence via StockAnalysis,2026Q4,revenue,musd,35,2026-09-10,https://stockanalysis.com/stocks/abnb/forecast/,data/raw/consensus/2026-09-11/stockanalysis_forecast_ABNB.csv,current,True,True,"vendor-stated 'Last updated: Sep 10, 2026'. Quarterly tab. Agrees with Yahoo 3160 against Zacks 3200.",S&P Global,2026-09-10 00:00:00+00:00,older_dated_anchor_not_refreshed_on_execution
review_with_k,2026Q4,3123.41911517339,different_objects_guide_minus_revenue_not_surprise,3200,-76.580884826612,-2.39315265083162,CU-2026Q4-revenue-Zacks-20260911,Zacks,2026Q4,revenue,musd,10,2026-09-11,https://www.zacks.com/stock/quote/ABNB/detailed-earning-estimates,data/raw/consensus/2026-09-11/zacks_detailed_earnings_estimates_ABNB.csv,current,True,True,high 3700 / low 3050; YoY +15.17%. Unchanged vs 2026-09-04. HIGH OUTLIER: +40M above Yahoo/S&P 3160 and +42M above Alpha Vantage 3158 on the same day.,Zacks,2026-09-11 00:00:00+00:00,older_dated_anchor_not_refreshed_on_execution
review_with_k,2026Q4,3123.41911517339,different_objects_guide_minus_revenue_not_surprise,3161.02149,-37.602374826612,-1.18956403635877,CU-2026Q4-revenue-Yahoo-20260913T1520Z,Yahoo Finance (LSEG family),2026Q4,revenue,musd,36,2026-09-13T15:20Z,https://finance.yahoo.com/quote/ABNB/analysis/,data/processed/forecast_methods/consensus_stamp_v2/capture_20260913T152058Z/yfinance_revenue_estimate.csv,current,True,True,"capture_method=yfinance.Ticker(ABNB).revenue_estimate; captured_utc=2026-09-13T15:20:58Z; source_period=+1q; high=3223.0; low=3051.97974; same LSEG-family panel as Alpha Vantage, count once. USD source converted to USD millions exactly.",LSEG family,2026-09-13 15:20:00+00:00,captured_at_frozen_information_snapshot_not_refreshed_on_execution
review_without_k,2026Q4,3120.06200721492,different_objects_guide_minus_revenue_not_surprise,3160,-39.9379927850837,-1.26386053117353,CU-2026Q4-revenue-SPGlobal-20260910,S&P Global Market Intelligence via StockAnalysis,2026Q4,revenue,musd,35,2026-09-10,https://stockanalysis.com/stocks/abnb/forecast/,data/raw/consensus/2026-09-11/stockanalysis_forecast_ABNB.csv,current,True,True,"vendor-stated 'Last updated: Sep 10, 2026'. Quarterly tab. Agrees with Yahoo 3160 against Zacks 3200.",S&P Global,2026-09-10 00:00:00+00:00,older_dated_anchor_not_refreshed_on_execution
review_without_k,2026Q4,3120.06200721492,different_objects_guide_minus_revenue_not_surprise,3200,-79.9379927850837,-2.49806227453386,CU-2026Q4-revenue-Zacks-20260911,Zacks,2026Q4,revenue,musd,10,2026-09-11,https://www.zacks.com/stock/quote/ABNB/detailed-earning-estimates,data/raw/consensus/2026-09-11/zacks_detailed_earnings_estimates_ABNB.csv,current,True,True,high 3700 / low 3050; YoY +15.17%. Unchanged vs 2026-09-04. HIGH OUTLIER: +40M above Yahoo/S&P 3160 and +42M above Alpha Vantage 3158 on the same day.,Zacks,2026-09-11 00:00:00+00:00,older_dated_anchor_not_refreshed_on_execution
review_without_k,2026Q4,3120.06200721492,different_objects_guide_minus_revenue_not_surprise,3161.02149,-40.9594827850838,-1.29576729910443,CU-2026Q4-revenue-Yahoo-20260913T1520Z,Yahoo Finance (LSEG family),2026Q4,revenue,musd,36,2026-09-13T15:20Z,https://finance.yahoo.com/quote/ABNB/analysis/,data/processed/forecast_methods/consensus_stamp_v2/capture_20260913T152058Z/yfinance_revenue_estimate.csv,current,True,True,"capture_method=yfinance.Ticker(ABNB).revenue_estimate; captured_utc=2026-09-13T15:20:58Z; source_period=+1q; high=3223.0; low=3051.97974; same LSEG-family panel as Alpha Vantage, count once. USD source converted to USD millions exactly.",LSEG family,2026-09-13 15:20:00+00:00,captured_at_frozen_information_snapshot_not_refreshed_on_execution
nights_case_a,2026Q4,3123.41911517339,different_objects_guide_minus_revenue_not_surprise,3160,-36.580884826612,-1.15762293755101,CU-2026Q4-revenue-SPGlobal-20260910,S&P Global Market Intelligence via StockAnalysis,2026Q4,revenue,musd,35,2026-09-10,https://stockanalysis.com/stocks/abnb/forecast/,data/raw/consensus/2026-09-11/stockanalysis_forecast_ABNB.csv,current,True,True,"vendor-stated 'Last updated: Sep 10, 2026'. Quarterly tab. Agrees with Yahoo 3160 against Zacks 3200.",S&P Global,2026-09-10 00:00:00+00:00,older_dated_anchor_not_refreshed_on_execution
nights_case_a,2026Q4,3123.41911517339,different_objects_guide_minus_revenue_not_surprise,3200,-76.580884826612,-2.39315265083162,CU-2026Q4-revenue-Zacks-20260911,Zacks,2026Q4,revenue,musd,10,2026-09-11,https://www.zacks.com/stock/quote/ABNB/detailed-earning-estimates,data/raw/consensus/2026-09-11/zacks_detailed_earnings_estimates_ABNB.csv,current,True,True,high 3700 / low 3050; YoY +15.17%. Unchanged vs 2026-09-04. HIGH OUTLIER: +40M above Yahoo/S&P 3160 and +42M above Alpha Vantage 3158 on the same day.,Zacks,2026-09-11 00:00:00+00:00,older_dated_anchor_not_refreshed_on_execution
nights_case_a,2026Q4,3123.41911517339,different_objects_guide_minus_revenue_not_surprise,3161.02149,-37.602374826612,-1.18956403635877,CU-2026Q4-revenue-Yahoo-20260913T1520Z,Yahoo Finance (LSEG family),2026Q4,revenue,musd,36,2026-09-13T15:20Z,https://finance.yahoo.com/quote/ABNB/analysis/,data/processed/forecast_methods/consensus_stamp_v2/capture_20260913T152058Z/yfinance_revenue_estimate.csv,current,True,True,"capture_method=yfinance.Ticker(ABNB).revenue_estimate; captured_utc=2026-09-13T15:20:58Z; source_period=+1q; high=3223.0; low=3051.97974; same LSEG-family panel as Alpha Vantage, count once. USD source converted to USD millions exactly.",LSEG family,2026-09-13 15:20:00+00:00,captured_at_frozen_information_snapshot_not_refreshed_on_execution
adr_mean_reversion,2026Q4,3074.81193163394,different_objects_guide_minus_revenue_not_surprise,3160,-85.1880683660597,-2.69582494829302,CU-2026Q4-revenue-SPGlobal-20260910,S&P Global Market Intelligence via StockAnalysis,2026Q4,revenue,musd,35,2026-09-10,https://stockanalysis.com/stocks/abnb/forecast/,data/raw/consensus/2026-09-11/stockanalysis_forecast_ABNB.csv,current,True,True,"vendor-stated 'Last updated: Sep 10, 2026'. Quarterly tab. Agrees with Yahoo 3160 against Zacks 3200.",S&P Global,2026-09-10 00:00:00+00:00,older_dated_anchor_not_refreshed_on_execution
