print,active_conflict,letter_or_call_geopolitical_language,resolves_yes_under_B06,rev2_coding,narrow_class_outbreak_rule,twelve_month_outbreak_class,major_war_ongoing_anywhere
4Q20,none,no,no,no,False,False,False
1Q21,none,no,no,no,False,False,False
2Q21,none,no,no,no,False,False,False
3Q21,none,no,no,no,False,False,False
4Q21,none,no,no,no,False,False,False
1Q22,Ukraine war (from 24 Feb 2022),"yes: outlook lists ""any impact to travel from the conflict in Ukraine"" as a risk to Q2 nights","named in guide paragraph, not quantified","no under convention 2 as revised (risk list, not a factor in or assumption behind the guide); resolver risk",True,True,True
2Q22,Ukraine war,"no: EMEA ""despite the continued war in Ukraine"" only",no,no,True,True,True
3Q22,Ukraine war,"headline ""despite geopolitical and macroeconomic headwinds""; not in outlook",no,no,True,True,True
4Q22,Ukraine war,outlook mentions Ukraine only as an easier Q1 2022 comparison,no,no,True,True,True
1Q23,none named,no,no,no,False,False,True
2Q23,none,no,no,no,False,False,True
3Q23,Israel-Hamas war (from 7 Oct 2023),"yes: outlook ""closely monitoring macroeconomic trends and geopolitical conflicts that may impact travel demand. We currently expect our nights booked growth in Q4 2023 to moderate""","named in guide paragraph, not quantified; 1Q24 call later attributed the October dislocation to Israel","named in guide paragraph, not quantified; 1Q24 call later attributed the October dislocation to Israel",True,True,True
4Q23,Israel-Hamas war,no mention,no,no,True,True,True
1Q24,none,"no (call: October 2023 dislocation ""related to the conflict breaking out in Israel"")",no,no,False,True,True
2Q24,none,no,no,no,False,True,True
3Q24,none,no (Airbnb.org disaster/conflict housing only),no,no,False,False,True
4Q24,none,no,no,no,False,False,True
1Q25,tariffs (not a geopolitical conflict),no,no,no,False,False,True
2Q25,none,no,no,no,False,False,True
3Q25,none,no,no,no,False,False,True
4Q25,none,no,no,no,False,False,True
1Q26,Iran war (from 28 Feb 2026),"yes: ""approximately 100bps headwind"" quantified for Q1 and assumed in the Q2 guide; named in the FY paragraph",quantified >=0.5pt and named in guide paragraph,quantified >=0.5pt and named in guide paragraph,True,True,True
2Q26,Iran war (ceasefire 8 Apr-8 Jul; fighting resumed 8 Jul),"letter: EMEA ""steady recovery"" only; call: ""In Q3, we are not assuming any significant impact related to the conflict""","no (negation, not a headwind attribution)","no (negation, not a headwind attribution)",True,True,True
