scenario,quarter,step,change,revenue_musd,guide_musd,delta_revenue_musd,delta_guide_musd,evidence_status
joint_reference,2026Q3,0,reference,4808.36292949392,4723.78400064566,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_reference,2026Q3,1,operating_GBV_replacement,4808.36292949392,4723.78400064566,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_reference,2026Q3,2,fixed_weight_seasonal_lambda_stress,4808.36292949392,4723.78400064566,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_reference,2026Q3,3,cushion_replacement,4808.36292949392,4723.78400064566,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_reference,2026Q4,0,reference,3179.3436542864,3123.41911517339,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_reference,2026Q4,1,operating_GBV_replacement,3179.3436542864,3123.41911517339,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_reference,2026Q4,2,fixed_weight_seasonal_lambda_stress,3179.3436542864,3123.41911517339,-4.54747350886464e-13,-4.54747350886464e-13,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_reference,2026Q4,3,cushion_replacement,3179.3436542864,3123.41911517339,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_reference,2027Q1,0,reference,3055.68058044242,3001.93127029552,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_reference,2027Q1,1,operating_GBV_replacement,3055.68058044242,3001.93127029552,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_reference,2027Q1,2,fixed_weight_seasonal_lambda_stress,3055.68058044242,3001.93127029552,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_reference,2027Q1,3,cushion_replacement,3055.68058044242,3001.93127029552,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_soft,2026Q3,0,reference,4808.36292949392,4723.78400064566,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_soft,2026Q3,1,operating_GBV_replacement,4808.36292949392,4723.78400064566,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_soft,2026Q3,2,fixed_weight_seasonal_lambda_stress,4780.49626282725,4696.40750763098,-27.8666666666668,-27.3764930146772,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_soft,2026Q3,3,cushion_replacement,4780.49626282725,4693.35276100127,0,-3.05474662970573,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_soft,2026Q4,0,reference,3179.3436542864,3123.41911517339,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_soft,2026Q4,1,operating_GBV_replacement,3129.86616348533,3074.81193163394,-49.47749080107,-48.6071835394478,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_soft,2026Q4,2,fixed_weight_seasonal_lambda_stress,3103.8713895762,3049.27440485135,-25.9947739091326,-25.5375267825893,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_soft,2026Q4,3,cushion_replacement,3103.8713895762,2987.93934306527,0,-61.3350617860815,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_soft,2027Q1,0,reference,3055.68058044242,3001.93127029552,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_soft,2027Q1,1,operating_GBV_replacement,2983.60898719445,2931.12741374852,-72.0715932479679,-70.8038565469988,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_soft,2027Q1,2,fixed_weight_seasonal_lambda_stress,2960.16684915721,2908.09762206578,-23.4421380372414,-23.0297916827385,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_soft,2027Q1,3,cushion_replacement,2960.16684915721,2906.20606955561,0,-1.89155251017428,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_firm,2026Q3,0,reference,4808.36292949392,4723.78400064566,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_firm,2026Q3,1,operating_GBV_replacement,4808.36292949392,4723.78400064566,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_firm,2026Q3,2,fixed_weight_seasonal_lambda_stress,4836.22959616059,4751.16049366034,27.8666666666677,27.376493014679,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_firm,2026Q3,3,cushion_replacement,4836.22959616059,4751.16049366034,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
joint_firm,2026Q4,0,reference,3179.3436542864,3123.41911517339,0,0,conditional_fixed_K0_assumed_stress_no_probability_no_predictive_band
