quarter,region,nights_m,adr_reported_usd,gbv_musd,nights_yoy_pct,adr_yoy_pct
2026Q3,na,43.01205330383155,207.74440187865926,8935.513287177495,6.0,2.1923399999999997
2026Q3,emea,54.95997762417997,241.7127668095341,13284.528255330624,7.0,1.9741052000000001
2026Q3,latam,27.292987517867445,51.22527277365448,1398.0907304107068,16.0,6.9389175000000005
2026Q3,apac,20.849141933780956,75.54116933775548,1574.9685613666459,15.0,1.52467
2026Q4,na,35.92299416292285,241.83874979203637,8687.571997147881,6.0,3.0
2026Q4,emea,52.14539767906891,164.84240075650428,8595.772541820364,7.0,3.0
2026Q4,latam,26.063622918084995,104.66867491816971,2728.0448744027963,16.0,3.0
2026Q4,apac,19.328884780454995,144.63481088281725,2795.629594796873,15.0,3.0
2027Q1,na,48.35779006850913,269.2876141605336,13022.153913624772,6.0,3.0
2027Q1,emea,67.6373012243019,153.35396966105787,10372.448639907425,7.0,3.0
2027Q1,latam,30.521391956708477,172.54268755639796,5266.242996172708,16.0,3.0
2027Q1,apac,24.213787614166772,168.94458668514324,4090.788340557246,15.0,3.0
2027Q2,na,46.52592193323265,263.95331476158424,12280.671316615455,6.0,3.0
2027Q2,emea,62.22232473859284,213.08580194601623,13258.6939658685,7.0,3.0
2027Q2,latam,30.021912319440673,75.84473086032698,2277.0038597803127,16.0,3.0
2027Q2,apac,23.43120004223432,101.90077619964485,2387.657471592828,15.0,3.0
2027Q3,na,45.59277650206145,213.97673393501904,9755.793406940391,6.0,3.0
2027Q3,emea,58.807176057872574,248.96414981382011,14640.878590199884,7.0,3.0
2027Q3,latam,31.659865520726235,52.762030956864116,1670.4388046947124,16.0,3.0
2027Q3,apac,23.976513223848098,77.80740441788814,1865.5502609387918,15.0,3.0
2027Q4,na,38.07837381269822,249.09391228579747,9485.091106486057,6.0,3.0
2027Q4,emea,55.79557551660373,169.7876727791994,9473.400918340225,7.0,3.0
2027Q4,latam,30.23380258497859,107.80873516571481,3259.4680159364607,16.0,3.0
2027Q4,apac,22.228217497523243,148.97385520930177,3311.4232550368956,15.0,3.0
