source_id,path,unit,timing,allowed_use,decision_reason,original_booking_date,stay_date,monetary_value,cancellation_history,platform_fees,historical_vintage,date_columns,manifest,direct_current_corporate_cohort_eligible,local_exists,n_rows,n_columns,actual_columns,sha256,max_commit_lag_days,manifest_raw_paths_local,manifest_claimed_rows,manifest_claimed_columns,manifest_claimed_dates,captured_or_pulled_at,distinct_dtstamp,adoption_date_best_nonnull
K2_recommended,data/processed/forecast_methods/kernel_leadtime_v2/K2_recommended_prior.csv,season x weighting; accommodation shares,Mar2016-Feb2017; Jan-Mar pools years,old_proxy_sensitivity_only,Saved reconstructed Melbourne accommodation shares; not corporate fees; raw absent; reverse shares cannot identify forward conversion.,"reconstructed in upstream raw, not rows",pooled month groups,relative accommodation proxy,absent,absent,single old sample,,,False,True,12.0,20.0,northern_stay_quarter|seasonal_role|melbourne_months|weighting|n_reservations|phi0|phi0_lo|phi0_hi|phi1|phi1_lo|phi1_hi|phi2|phi2_lo|phi2_hi|phi3|phi3_lo|phi3_hi|booked_before_quarter|booked_before_quarter_lo|booked_before_quarter_hi,70c399a4df899bc00f9cb97a947b90b7fb10e0222de06aadc1dd2319285e8705,,,,,,,,
K2_leadtime_month,data/processed/forecast_methods/kernel_leadtime_v2/K2_leadtime_by_stay_month.csv,stay month,2014-2017 old study,old_proxy_sensitivity_only,Processed means/CDFs only; no booking-cohort denominator or cancellation ledger.,absent,absent,absent,absent,absent,absent,stay_ym,,False,True,12.0,7.0,melbourne_stay_month|n|W_for_month|mean_lead_days|median_lead_days|value_wtd_mean_lead|share_value_lead_gt_180,5d100024a70110f396cf741d908eee7f518b034c10960a3d9c247c896de4f4de,,,,,,,,
K2_raw_coverage,data/processed/forecast_methods/kernel_leadtime_v2/K2_booked_date_coverage_by_month.csv,stay month,2014-2017 old study,source_diagnostic,"Shows severe booking-date coverage truncation, not quarterly fee conversion.",absent,absent,absent,absent,absent,absent,stay_ym,,False,True,29.0,4.0,stay_ym|r_nights|nights_with_booked_date|pct_covered,722cde413d3e6ac89597001fced95f44f258394fbe7e4668e03fa52c0eb87122,,,,,,,,
K2_truncation,data/processed/forecast_methods/kernel_leadtime_v2/K2_truncation_validation.csv,simulation specification,old Melbourne sample,source_diagnostic,Upstream truncation correction failed reference-mean recovery; preserve as uncertainty evidence.,absent,absent,absent,absent,absent,absent,,,False,True,4.0,11.0,B0_sim|wsim_min|wsim_max|n_kept|pct_of_panel_kept|naive_mean_lead|ipw_mean_lead|true_mean_lead|naive_pct_le90|ipw_pct_le90|true_pct_le90,b80bab428282c5e8d4681803e12a6fa072b69a33f4de32a11fd74ce65e90d591,,,,,,,,
financial_kpi,data/processed/overnight/02_kpi_panel_quarterly.csv,corporate fiscal quarter; USD millions,printed quarterly series,aggregate_model_input,Provides reported net GBV and total revenue margins only; cannot uniquely allocate joint cohort cells.,absent,absent,corporate revenue / net reported GBV,absent,absent,separate publication calendar required,quarter,,False,True,24.0,120.0,quarter|nights_m|gbv_busd|adr_usd|revenue_musd|adj_ebitda_musd|sbc_musd|fcf_musd|buybacks_musd|diluted_wa_shares_m|rsu_tax_withholding_musd|cost_of_revenue_musd|ops_support_musd|product_dev_musd|sales_marketing_musd|g_and_a_musd|restructuring_musd|operating_income_musd|cfo_musd|capex_musd|basic_wa_shares_m|net_income_musd|income_tax_musd|cfo_musd_xbrl|capex_musd_xbrl|revenue_musd_xbrl|diluted_wa_shares_m_xbrl|cash_and_equivalents_musd|short_term_investments_musd|restricted_cash_musd|funds_held_for_clients_musd|unearned_fees_musd|long_term_debt_musd|cash_plus_st_investments_musd|revenue_yoy_reported_pct|revenue_yoy_exfx_pct|gbv_yoy_reported_pct|gbv_yoy_exfx_pct|adr_yoy_exfx_pct|nights_yoy_na_pct|nights_yoy_emea_pct|nights_yoy_latam_pct|nights_yoy_apac_pct|nights_yoy_na_pct_qual|nights_yoy_emea_pct_qual|cross_border_share_pct|cross_border_nights_yoy_pct|urban_share_pct|urban_nights_yoy_pct|non_urban_nights_yoy_pct|long_term_stays_share_pct|active_listings_m|active_listings_yoy_pct|active_listings_yoy_ex_removals_pct|active_listings_yoy_qual|app_share_of_nights_pct|app_nights_yoy_pct|first_time_bookers_yoy_pct|guest_arrivals_cumulative_b|guest_arrivals_in_quarter_m|fully_diluted_shares_letter_m|buyback_authorization_announced_busd|adr_yoy_na_pct|adr_yoy_emea_pct|adr_yoy_emea_exfx_pct|adr_yoy_latam_pct|adr_yoy_apac_pct|marketing_commentary|active_listings_ex_china_yoy_pct|nights_ex_china_yoy_pct|na_share_of_nights_pct|nights_yoy_ex_na_pct|travel_insurance_revenue_yoy_pct|removed_listings_cum_k|cash_investments_restricted_letter_busd|funds_held_letter_busd|bedroom_nights_yoy_pct|experiences_supply_yoy_pct|single_fee_pct|cross_currency_share_of_gbv_pct|gbv_musd|take_rate_pct|adj_ebitda_margin_pct|fcf_margin_pct|net_income_margin_pct|sbc_pct_revenue|cost_of_revenue_pct_rev|ops_support_pct_rev|product_dev_pct_rev|sales_marketing_pct_rev|g_and_a_pct_rev|exsbc__cor_cash|exsbc__ops_cash|exsbc__pd_cash|exsbc__sm_cash|exsbc__ga_cash|exsbc__cor_cash_pct_rev|exsbc__ops_cash_pct_rev|exsbc__pd_cash_pct_rev|exsbc__sm_cash_pct_rev|exsbc__ga_cash_pct_rev|exsbc__cor_cash_per_night|exsbc__ops_cash_per_night|exsbc__pd_cash_per_night|exsbc__sm_cash_per_night|exsbc__ga_cash_per_night|nights_yoy_pct|gbv_yoy_pct|adr_yoy_pct|revenue_yoy_pct|adj_ebitda_yoy_pct|fcf_yoy_pct|sbc_yoy_pct|sales_marketing_yoy_pct|unearned_fees_yoy_pct|funds_held_yoy_pct|nights_yoy_accel_pts|fx_pts_revenue|adr_yoy_reported_pct|fx_pts_adr,c8a42085fb1bda12e979308257413ae877efd36c14b79152ecee558ccb8c16ac,,,,,,,,
calendar_reopen,data/processed/overnight2/A/A2_market_interval_table.csv,market x capture interval,2025-09 to2026-08; multiple capture intervals,descriptive_corrob_only,"Reopening can be cancellation, blocks or delisting; rates lack prices/actual completion and original booking dates; no W1/W2.",availability interval only,future-horizon bands,absent,reopening proxy only,absent,snapshot0/snapshot1,snapshot0|snapshot1,,False,True,130.0,33.0,market|region|us|australia|europe|interval|interval_label|snapshot0|snapshot1|interval_days|n_vintages|matched_future_row_retention_pct|unavailable_row_retention_pct|stable_panel_listings|broad_rate_pct|stable_rate_pct|screened_rate_pct|short_run_rate_pct|short_run_reopened|short_run_initial_unavailable|short_run_top10_share_pct|broad_reclosed_pct|short_run_reclosed_pct|short_run_reopened_followed|short_run_d001_030_pct|short_run_d001_030_initial|short_run_d031_060_pct|short_run_d031_060_initial|short_run_d061_090_pct|short_run_d061_090_initial|short_run_d091_180_pct|short_run_d091_180_initial|short_run_rate_per90_pct,f61a6d40eb47d6f7c75958792045341913a488045144f9aae4462ff08496dd6e,,,,,,,,
rnpl_scenario_matrix,data/processed/overnight2/D/D1_cohort_matrix_stay.csv,booking quarter x assumed stay quarter; million nights,2025-2026 scenario,scenario_only,Already a constructed allocation; not observed cohorts and cannot validate another fitted matrix.,scenario index,scenario columns,absent,scenario elsewhere,absent,absent,booking_quarter,,False,True,8.0,12.0,booking_quarter|units|matrix|1Q25|2Q25|3Q25|4Q25|1Q26|2Q26|3Q26|4Q26|total_in_window,355a43bbe44194470821e54e94df59f0a0a613af76947b017fd96912d6e45e8c,,,,,,,,
rnpl_scenario_parameters,data/processed/overnight2/D/D1_rnpl_parameters.csv,parameter,mixed sourced/assumed,assumption_audit,Separates sourced disclosures from assumed quarterly RNPL shares and timing parameters.,absent,absent,absent,absent,absent,absent,,,False,True,19.0,4.0,parameter|value|label|source,86674854779e91fd897b9c6e55bc963901be6e6c12fe320472ed016fcf7ced6a,,,,,,,,
PR60_daio_PIT,data/processed/govdata_v2/qtd75_pit.csv,quarter; 75-day flights YoY percent,day75 and actual git commit_date,dated_demand_feature_candidate,Use only commit_date <= origin; target-quarter day75 unavailable at preceding-quarter guide. Demand proxy cannot identify booking-to-fee cells.,absent,absent,absent,absent,absent,commit+commit_date,q_start|day75|commit_date|last_entry_in_file,,False,True,17.0,15.0,quarter|q_start|day75|commit|commit_date|lag_days|last_entry_in_file|note|eu40_flt_da_cur|eu40_flt_da_prev|eu40_flt_da_yoy|eu_core_flt_da_cur|eu_core_flt_da_prev|eu_core_flt_da_yoy|days_cur_present,7af9d132b762c5ead5a5abf4261b5cae24a07c48d61bd3d9d819d149c3d31f6d,16.0,,,,,,,
PR60_daio_features,data/processed/govdata_v2/C_feature_panel.csv,quarter; flights YoY and nights targets,2019-2026,conditional_feature_candidate,Use dedicated PIT table to gate release; full-quarter targets/features cannot be used before available. Flight quantity is neither booking date nor fee.,absent,absent,absent,absent,absent,PIT variant linked externally,quarter,,False,True,31.0,17.0,quarter|eu40_flt_da_full|eu40_flt_da_lag1|eu40_flt_da_vs2019|eu40_flt_da_full_s2019|eu40_flt_da_full_sdrop|eu40_flt_da_qtd75|eu40_flt_da_qtd75pit|eu_core_flt_da_full|eu_core_flt_da_lag1|eu_core_flt_da_vs2019|eu_core_flt_da_full_s2019|eu_core_flt_da_full_sdrop|eu_core_flt_da_qtd75|eu_core_flt_da_qtd75pit|total_nights_yoy|emea_nights_yoy_mid,49491234113f84e166e39d3c171c3edb36f308fef95dbf468106242cde9139a5,,,,,,,,
