slug,manifest_sha256,advertised_file_entries,string_file_entries,advertised_files_present,advertised_csv_files,advertised_csv_files_present,pulled_at
aarushisingh-pead-investor-attention,d3864ca5fd2e3c396fdc330905fb03d4c88dafc370708c8dba4eeb88e4ffa775,27,27,27,19,19,2026-09-14
abhi2303shek-oyo-mumbai-price-snapshot,0bf2b6a0d8a6c7235b3ec7583a0090ee012c3145a8679381f699eb8ac3d6ea17,2,2,2,1,1,2026-09-14
airbnb-github-org,6a298fb88fea0c79dd918c6d09fbb0676f98a0493e84320220e64dc438843dc4,4,4,4,3,3,2026-09-14
asifmehdiyev-booking-reviews-timeseries-nb,78aefb91fbfa0b1fa64292b35d60155433e69d7366ceca4e9f43d1dda0a8d01c,7,7,7,2,2,2026-09-14
augustliu-bnpl-merchant-dataset,78696e44f1d1c40d381a46fef9844052a36e388922d6c5da8decdd0c76975ffe,10,10,10,8,8,2026-09-14
bookingcom-multi-destination-trip-wsdm2021,fcb3d9a10dbc93ec4dc1549a0bc271e7a559489a357729432c5220a4c7bc9b13,4,4,1,3,0,2026-09-14
bookingcom-rectour24-accommodation-reviews,e5ca3916994ec8d4a7e22a0c627f04d2fbe9687eb0fabad09cabd90a6564aa63,6,6,1,5,0,2026-09-14
boston-str-monitor-2015-2019,69299933d301b23ab20a60db3239e509a876b8accde320b25e4124b7d58d78bd,11,11,11,10,10,2026-09-14
brightdata-booking-listings-hf,543d58399b31ddd8cbeff0693f31b190bb1392421dcb554744cf4121be4648db,2,2,1,1,0,2026-09-14
brightdata-booking-listings-sample-1001,f7ced15d82453e66d1379ea5d3db3c335d71fc034d6a08b4b01a7d6bb451c3b6,1,1,0,1,0,2026-09-14
bts-canada-border-crossings-plus-intercept-survey,4f671059f53834ae4f6ff5d78cd2867bae727c41d3687e5a824eb52c48765430,4,4,4,2,2,2026-09-14
chicagoboothml-insideairbnb-2015-30cities,0f32209968bd7147b515e19becfe61d7e865e9b24c58df15e7b98a0fcf2eb082,7,7,7,5,5,2026-09-14
crux-top-lists-monthly-csv,f039ebbbac08dc964d88022a28dee2fb341cabd19a12a578be26899a0dfe5435,3,3,3,3,3,2026-09-14
databnb-10city-zillow-panel,8a7fe2eb5fa76ff96e6d9b44a28b5257523ec6e3e34dbb1f2e2f3fcd3a0a6808,11,11,11,4,4,2026-09-14
defeatbeta-api-yahoo-finance-hf,c6c659c249432fd1a51c588c98c75044f967cc8eabebe7048affebc2d9796bb2,9,9,9,8,8,2026-09-14
dgunning-edgartools,8bcb608fc7b8427863b1bd65381ab01ed755aefc643195f65351f3454c157dba,22,22,22,4,4,2026-09-14
dolthub-post-no-preference-earnings-consensus-vintages,2f5e63c6289a95290ec5f2aff3bc207eb16b2625773e1876853d933c570914e7,5,5,5,3,3,2026-09-14
