market,date_a,date_b,segment,weight,n_matched,share_unchanged,excess_share_12_20,baseline_share_12_20,mean_jump_pp,theta,share_gt_10,share_lt_m10,theta_recomputed_repo,theta_payout_neutral
austin,2026-03-25,2026-04-23,all,count,7058,0.257013318220459,0.0008033954827952,0.0882673942701228,11.500000000000044,0.8333333333333364,0.1776707282516293,0.255454803060357,0.8333333333333365,0.7774000000000024
austin,2026-03-25,2026-04-23,all,nights,7058,0.257013318220459,0.0021802618328298,0.0957908933966335,11.500000000000044,0.8333333333333365,0.1776707282516293,0.255454803060357,0.8333333333333365,0.7774000000000025
austin,2026-03-25,2026-04-23,entire,count,6241,0.2446723281525396,0.0019890260631001,0.0867283950617284,11.655172413793148,0.8445777111444309,0.1767344976766544,0.2571703252683864,0.8445777111444309,0.7878896551724164
austin,2026-03-25,2026-04-23,entire,nights,6241,0.2446723281525396,0.0022957052576293,0.0964869848507049,11.599635278514633,0.8405532810517848,0.1767344976766544,0.2571703252683864,0.840553281051785,0.7841353448275886
austin,2026-04-23,2026-05-25,all,count,7402,0.2560118886787355,0.0015683996514667,0.0786813825152483,11.500000000000044,0.8333333333333364,0.1609024587949203,0.2661442853282896,0.8333333333333365,0.7774000000000024
austin,2026-04-23,2026-05-25,all,nights,7402,0.2560118886787355,0.0023655125598789,0.0887104045015953,11.500000000000044,0.8333333333333364,0.1609024587949203,0.2661442853282896,0.8333333333333365,0.7774000000000024
austin,2026-04-23,2026-05-25,entire,count,6468,0.2359307359307359,0.0006149243809207,0.0827156390227688,11.500000000000044,0.8333333333333364,0.1725417439703154,0.2605132962275819,0.8333333333333365,0.7774000000000024
austin,2026-04-23,2026-05-25,entire,nights,6468,0.2359307359307359,0.0020778648996046,0.0888127738880773,11.525857425031468,0.8352070597848889,0.1725417439703154,0.2605132962275819,0.8352070597848889,0.7791479619321268
austin,2026-05-25,2026-06-22,all,count,7742,0.3390596745027124,0.0023151909017059,0.086880584890333,12.909356725146242,0.935460632256974,0.1978816843192973,0.1732110565745285,0.9354606322569741,0.8726725146198855
austin,2026-05-25,2026-06-22,all,nights,7742,0.3390596745027124,0.0073322386970511,0.0997517165887152,12.637528557533578,0.9157629389517083,0.1978816843192973,0.1732110565745285,0.9157629389517085,0.8542969304892691
