quarter,take_rate_pct,take_rate_pct_lag4,d_take_bps,rev_migrated_share,bok_migrated_share,d_rev_migrated_share
2021Q3,18.8,16.72,208.00000000000017,0.0,0.0,0.0
2021Q4,13.56,14.55,-99.00000000000003,0.0,0.0,0.0
2022Q1,8.77,8.61,16.000000000000014,0.0,0.0,0.0
2022Q2,12.38,9.96,242.0,0.0,0.0,0.0
2022Q3,18.49,18.8,-31.000000000000227,0.0,0.0,0.0
2022Q4,14.09,13.56,52.999999999999936,0.0,0.0,0.0
2023Q1,8.91,8.77,14.000000000000057,0.0,0.0,0.0
2023Q2,13.01,12.38,62.9999999999999,0.0,0.0,0.0
2023Q3,18.56,18.49,7.000000000000028,0.0,0.0,0.0
2023Q4,14.31,14.09,22.000000000000064,0.0,0.0,0.0
2024Q1,9.35,8.91,43.99999999999995,0.0,0.0,0.0
2024Q2,12.96,13.01,-4.999999999999893,0.0,0.0,0.0
2024Q3,18.57,18.56,1.0000000000001563,0.0,0.0,0.0
2024Q4,14.09,14.31,-22.000000000000064,0.0,0.0,0.0
2025Q1,9.27,9.35,-8.000000000000007,0.0,0.0,0.0
2025Q2,13.17,12.96,20.999999999999908,0.0,0.0,0.0
2025Q3,17.88,18.57,-69.00000000000013,0.0,0.0,0.0
2025Q4,13.62,14.09,-47.000000000000064,0.0,0.07090464547677261,0.0
2026Q1,9.17,9.27,-9.999999999999964,0.04726976365118174,0.24144310823311751,0.04726976365118174
2026Q2,13.26,13.17,8.999999999999986,0.18459695398100254,0.47053800170794186,0.18459695398100254
