quarter,theta_case,theta_label,rev_migrated_share,bok_migrated_share,revenue_mult,gbv_mult,take_mult,take_effect_pct,revenue_effect_pct,gbv_effect_pct
2026Q1,lo,11.5 pp modal jump,0.01593625498007968,0.16342412451361868,1.000170079914261,0.996276049748156,1.0039085855442267,0.39085855442266837,0.01700799142609899,-0.37239502518440215
2026Q1,central,theta 0.833 (Austin),0.04726976365118174,0.24144310823311751,1.0008590091079557,0.996249095980219,1.004627269571774,0.4627269571773951,0.08590091079556661,-0.3750904019780954
2026Q1,hi,theta = 1 UPPER BOUND,0.1007462686567164,0.33673469387755106,1.0040822824525768,1.0020449015787596,1.0020332231326234,0.20332231326234407,0.4082282452576802,0.20449015787595837
2026Q2,lo,11.5 pp modal jump,0.11691754383245229,0.3714821763602251,1.0012478041958728,0.9915350249032727,1.00979569964616,0.9795699646159894,0.12478041958727815,-0.8464975096727279
2026Q2,central,theta 0.833 (Austin),0.18459695398100254,0.47053800170794186,1.0033545855219566,0.992690025840945,1.0107430914015452,1.0743091401545168,0.33545855219565546,-0.7309974159054988
2026Q2,hi,theta = 1 UPPER BOUND,0.2748629302467256,0.5758928571428571,1.0111375650132848,1.0034972464500376,1.007613691607302,0.7613691607301964,1.1137565013284778,0.3497246450037572
2026Q3,lo,11.5 pp modal jump,0.30212949241135634,0.5945945945945947,1.003224481424858,0.9864509557761092,1.0170039124099708,1.700391240997079,0.32244814248580944,-1.3549044223890805
2026Q3,central,theta 0.833 (Austin),0.39417303721633373,0.7028928850664582,1.0071631039151798,0.9890803106066476,1.0182824317849795,1.8282431784979458,0.7163103915179825,-1.0919689393352416
2026Q3,hi,theta = 1 UPPER BOUND,0.4961734693877551,0.8076923076923077,1.0201051639383045,1.0049049037868147,1.0151260682420895,1.5126068242089508,2.0105163938304527,0.49049037868147405
2026Q4,lo,11.5 pp modal jump,0.5202237885164716,0.8979591836734695,1.005552095988553,0.9795381781108587,1.0265573292180044,2.6557329218004355,0.5552095988553107,-2.046182188914125
2026Q4,central,theta 0.833 (Austin),0.6254412572802861,0.9578355586788475,1.0113658223565416,0.9851196860675404,1.0266425863376785,2.6642586337678464,1.13658223565416,-1.4880313932459588
2026Q4,hi,theta = 1 UPPER BOUND,0.7304258241758241,0.9887892376681614,1.0295971708401639,1.006004657999105,1.0234516934424371,2.345169344243714,2.959717084016389,0.6004657999105101
2027Q1,lo,11.5 pp modal jump,0.7968376539805111,0.9579831932773109,1.0085042615117805,0.9781704092680017,1.0310108054346876,3.1010805434687594,0.850426151178052,-2.1829590731998305
2027Q1,central,theta 0.833 (Austin),0.8728546674747177,0.9861207494795282,1.0158619390360268,0.9846802656316002,1.0316668003744605,3.1666800374460458,1.586193903602684,-1.531973436839984
2027Q1,hi,theta = 1 UPPER BOUND,0.9284235943428767,1.0,1.0376201262664977,1.0060727380217707,1.0313569656074355,3.1356965607435505,3.762012626649769,0.6072738021770663
2027Q2,lo,11.5 pp modal jump,0.9379751900760304,0.9579831932773109,1.0100105539291742,0.9781704092680017,1.0325507134130132,3.255071341301319,1.001055392917416,-2.1829590731998305
2027Q2,central,theta 0.833 (Austin),0.976692352545968,0.9930819785541335,1.0177489278918093,0.9845721204776149,1.0336966756666848,3.369667566668477,1.7748927891809263,-1.5427879522385113
2027Q2,hi,theta = 1 UPPER BOUND,0.9962630792227204,1.0,1.0403690115841313,1.0060727380217707,1.0340892584265795,3.4089258426579505,4.036901158413131,0.6072738021770663
2027Q3,lo,11.5 pp modal jump,0.9579831932773109,0.9579831932773109,1.0102240896358545,0.9781704092680017,1.03276901454404,3.276901454404002,1.0224089635854527,-2.1829590731998305
2027Q3,central,theta 0.833 (Austin),0.9907615688625984,0.9930819785541335,1.0180046005253127,0.9845721204776149,1.0339563545954154,3.395635459541535,1.800460052531272,-1.5427879522385113
2027Q3,hi,theta = 1 UPPER BOUND,1.0,1.0,1.040520433232984,1.0060727380217707,1.0342397660818714,3.4239766081871403,4.052043323298404,0.6072738021770663
2027Q4,lo,11.5 pp modal jump,0.9579831932773109,0.9579831932773109,1.0102240896358545,0.9781704092680017,1.03276901454404,3.276901454404002,1.0224089635854527,-2.1829590731998305
2027Q4,central,theta 0.833 (Austin),0.9930819785541334,0.9930819785541335,1.0180467681374448,0.9845721204776149,1.0339991829583712,3.3999182958371232,1.8046768137444769,-1.5427879522385113
2027Q4,hi,theta = 1 UPPER BOUND,1.0,1.0,1.040520433232984,1.0060727380217707,1.0342397660818714,3.4239766081871403,4.052043323298404,0.6072738021770663
