method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,sd,knowable_from,spec_id,notes,q05,q10,q25,q75,q90,q95
fee-takerate,take_rate_mechanism,take_rate_pct,2026Q3,2026-09-11,0,18.184029953890278,18.184029953890278,LIVE,PIT,3,18,0.45,2026-08-06,mechanism_theta_lo,same-quarter-last-year take rate times the migration multiplier,17.443845821762114,17.607331749395208,17.88050956630204,18.487550341478514,18.760728158385348,18.92421408601844
fee-takerate,take_rate_mechanism,take_rate_pct,2026Q3,2026-09-11,0,18.206889880315433,18.206889880315433,LIVE,PIT,3,18,0.45,2026-08-06,mechanism_theta_central,same-quarter-last-year take rate times the migration multiplier,17.46670574818727,17.630191675820363,17.903369492727197,18.51041026790367,18.783588084810503,18.947074012443597
fee-takerate,take_rate_mechanism,take_rate_pct,2026Q3,2026-09-11,0,18.15045410016856,18.15045410016856,LIVE,PIT,3,18,0.45,2026-08-06,mechanism_theta_hi,same-quarter-last-year take rate times the migration multiplier,17.410269968040396,17.57375589567349,17.846933712580324,18.453974487756795,18.72715230466363,18.890638232296723
fee-takerate,take_rate_mechanism,take_rate_pct,2026Q4,2026-09-11,1,13.981710823949218,13.981710823949218,LIVE,PIT,3,18,0.45,2026-08-06,mechanism_theta_lo,same-quarter-last-year take rate times the migration multiplier,13.241526691821054,13.405012619454148,13.678190436360982,14.285231211537454,14.558409028444288,14.72189495607738
fee-takerate,take_rate_mechanism,take_rate_pct,2026Q4,2026-09-11,1,13.98287202591918,13.98287202591918,LIVE,PIT,3,18,0.45,2026-08-06,mechanism_theta_central,same-quarter-last-year take rate times the migration multiplier,13.242687893791018,13.40617382142411,13.679351638330944,14.286392413507416,14.55957023041425,14.723056158047342
fee-takerate,take_rate_mechanism,take_rate_pct,2026Q4,2026-09-11,1,13.939412064685992,13.939412064685992,LIVE,PIT,3,18,0.45,2026-08-06,mechanism_theta_hi,same-quarter-last-year take rate times the migration multiplier,13.199227932557829,13.362713860190922,13.635891677097757,14.242932452274228,14.516110269181063,14.679596196814154
fee-takerate,take_rate_mechanism,take_rate_pct,2027Q1,2026-09-11,2,9.454369085836085,9.454369085836085,LIVE,PIT,3,18,0.45,2026-08-06,mechanism_theta_lo,same-quarter-last-year take rate times the migration multiplier,8.714184953707921,8.877670881341015,9.150848698247849,9.75788947342432,10.031067290331155,10.194553217964247
fee-takerate,take_rate_mechanism,take_rate_pct,2027Q1,2026-09-11,2,9.460384559433802,9.460384559433802,LIVE,PIT,3,18,0.45,2026-08-06,mechanism_theta_central,same-quarter-last-year take rate times the migration multiplier,8.720200427305638,8.883686354938732,9.156864171845566,9.763904947022038,10.037082763928872,10.200568691561964
fee-takerate,take_rate_mechanism,take_rate_pct,2027Q1,2026-09-11,2,9.457543374620183,9.457543374620183,LIVE,PIT,3,18,0.45,2026-08-06,mechanism_theta_hi,same-quarter-last-year take rate times the migration multiplier,8.71735924249202,8.880845170125113,9.154022987031947,9.761063762208419,10.034241579115253,10.197727506748345
fee-takerate,take_rate_mechanism,take_rate_pct,2027Q2,2026-09-11,3,13.691622459856555,13.691622459856555,LIVE,PIT,3,18,0.45,2026-08-06,mechanism_theta_lo,same-quarter-last-year take rate times the migration multiplier,12.951438327728393,13.114924255361485,13.38810207226832,13.995142847444791,14.268320664351625,14.431806591984717
fee-takerate,take_rate_mechanism,take_rate_pct,2027Q2,2026-09-11,3,13.70681791934024,13.70681791934024,LIVE,PIT,3,18,0.45,2026-08-06,mechanism_theta_central,same-quarter-last-year take rate times the migration multiplier,12.966633787212078,13.13011971484517,13.403297531752004,14.010338306928476,14.28351612383531,14.447002051468402
fee-takerate,take_rate_mechanism,take_rate_pct,2027Q2,2026-09-11,3,13.712023566736445,13.712023566736445,LIVE,PIT,3,18,0.45,2026-08-06,mechanism_theta_hi,same-quarter-last-year take rate times the migration multiplier,12.971839434608281,13.135325362241375,13.408503179148209,14.01554395432468,14.288721771231515,14.452207698864607
fee-takerate,take_rate_mechanism,take_rate_pct,2026Q3,2026-09-11,0,18.184029953890278,18.184029953890278,LIVE,full_sample,3,18,0.45,2026-08-06,mechanism_theta_lo,same-quarter-last-year take rate times the migration multiplier,17.443845821762114,17.607331749395208,17.88050956630204,18.487550341478514,18.760728158385348,18.92421408601844
fee-takerate,take_rate_mechanism,take_rate_pct,2026Q3,2026-09-11,0,18.206889880315433,18.206889880315433,LIVE,full_sample,3,18,0.45,2026-08-06,mechanism_theta_central,same-quarter-last-year take rate times the migration multiplier,17.46670574818727,17.630191675820363,17.903369492727197,18.51041026790367,18.783588084810503,18.947074012443597
fee-takerate,take_rate_mechanism,take_rate_pct,2026Q3,2026-09-11,0,18.15045410016856,18.15045410016856,LIVE,full_sample,3,18,0.45,2026-08-06,mechanism_theta_hi,same-quarter-last-year take rate times the migration multiplier,17.410269968040396,17.57375589567349,17.846933712580324,18.453974487756795,18.72715230466363,18.890638232296723
