regression,n,alpha,beta,se_beta,t_beta,r2
flowthrough_musd_all,22,19.82702375603385,1.3250946125321212,0.22535826158221742,5.879946904226039,0.633523614934271
flowthrough_musd_all_rw,22,22.560784342002748,0.7273560952659074,0.3198746098122301,2.2738788042379277,0.20541982553344773
flowthrough_musd_W1,14,36.353228970744304,0.5714795713396014,0.411598638143858,1.3884389266124426,0.1384115095131081
flowthrough_musd_W2,10,39.21512595488071,0.4276220519088762,0.4468427084601721,0.9569856323323913,0.10271868951618546
flowthrough_pct_all,22,23.218163809781732,5.499124065852612,3.9200568161337874,1.4028174395891033,0.08958057248379214
flowthrough_pct_W1,14,0.5184514680783258,5.06702698556935,1.516142018002309,3.3420530038773935,0.4820736693844566
flowthrough_pct_W2,10,1.194791079043678,5.064861328081691,1.8743879928133922,2.702141364275124,0.4771777621208405
margin_pts_on_rev_pct_all,22,-0.6755109193920598,1.7228893373909295,0.12770179689927832,13.49150426403018,0.9010002378139028
margin_pts_on_rev_pct_W1,14,0.8045834673131076,0.6143856551030124,0.31953343123734335,1.9227586068972495,0.23552274350887636
margin_pts_on_rev_pct_W2,10,0.8538267585263214,0.5397238263856092,0.3579762154926115,1.5077086214873092,0.2212736579486939
