fy,guide_date,guide_type,floor_pct,when,lookup_date,cons_margin_pct,lseg_margin_mean_field_pct,gap_to_floor_pts,cons_ebitda_musd,cons_revenue_musd,n_est
FY2024,2024-02-13,floor,35.0,pre_guide,2024-02-12,36.60466932122817,36.6,1.6046693212281724,4043.59634,11046.66813,40
FY2024,2024-02-13,floor,35.0,post_guide_5td,2024-02-21,36.3596872035712,36.6,1.3596872035711982,4030.17141,11084.17514,40
FY2024,2024-02-13,floor,35.0,post_guide_60td,2024-05-09,36.315779642471554,36.6,1.3157796424715542,4049.51583,11150.84371,42
FY2024,2024-05-08,floor,35.0,pre_guide,2024-05-07,36.37837564148762,36.6,1.3783756414876223,4037.4212,11098.40978,42
FY2024,2024-05-08,floor,35.0,post_guide_5td,2024-05-15,36.239738379631795,36.6,1.2397383796317953,4047.98056,11170.00492,42
FY2024,2024-05-08,floor,35.0,post_guide_60td,2024-08-05,36.30618238015248,36.375,1.3061823801524781,4065.55092,11197.95763,41
FY2024,2024-08-06,floor,35.0,pre_guide,2024-08-05,36.30618238015248,36.375,1.3061823801524781,4065.55092,11197.95763,41
FY2024,2024-08-06,floor,35.0,post_guide_5td,2024-08-13,35.43591433836739,35.65833,0.4359143383673896,3905.57342,11021.51163,41
FY2024,2024-08-06,floor,35.0,post_guide_60td,2024-10-30,35.42641954260586,35.55333,0.42641954260586346,3907.50408,11029.91533,43
FY2024,2024-11-07,point,35.5,pre_guide,2024-11-06,35.39062423239624,35.55333,-0.10937576760375833,3903.82469,11030.67486,43
FY2024,2024-11-07,point,35.5,post_guide_5td,2024-11-14,35.55420463357632,35.61429,0.054204633576318884,3927.20756,11045.69094,43
FY2024,2024-11-07,point,35.5,post_guide_60td,2025-02-06,35.59596644655503,35.31808,0.09596644655503184,3929.12982,11038.13216,43
FY2025,2025-02-13,floor,34.5,pre_guide,2025-02-12,34.460255291421994,33.54222,-0.03974470857800583,4186.0666,12147.52057,43
FY2025,2025-02-13,floor,34.5,post_guide_5td,2025-02-21,34.91372560222338,33.88467,0.41372560222337995,4257.19008,12193.45689,43
FY2025,2025-02-13,floor,34.5,post_guide_60td,2025-05-12,34.84084077539537,33.50438,0.34084077539537105,4187.61419,12019.26847,43
FY2025,2025-05-01,floor,34.5,pre_guide,2025-04-30,34.83144114980878,33.508,0.33144114980878214,4217.45659,12108.18861,43
FY2025,2025-05-01,floor,34.5,post_guide_5td,2025-05-08,34.83162043417665,33.58875,0.3316204341766493,4186.63649,12019.64318,43
FY2025,2025-05-01,floor,34.5,post_guide_60td,2025-07-29,34.88874913073222,33.99625,0.38874913073222217,4206.63721,12057.28871,43
FY2025,2025-08-06,floor,34.5,pre_guide,2025-08-05,34.88874913073222,33.99625,0.38874913073222217,4206.63721,12057.28871,43
FY2025,2025-08-06,floor,34.5,post_guide_5td,2025-08-13,34.97033524332438,34.09636,0.4703352433243779,4238.44647,12120.11964,43
FY2025,2025-08-06,floor,34.5,post_guide_60td,2025-10-30,34.99110550727937,33.30182,0.4911055072793715,4241.394,12121.34895,43
FY2025,2025-11-06,point,35.0,pre_guide,2025-11-05,34.994900887423974,33.30182,-0.0050991125760262435,4241.82503,12121.26602,43
FY2025,2025-11-06,point,35.0,post_guide_5td,2025-11-13,35.09648740613514,33.77152,0.09648740613513951,4272.51022,12173.61205,43
FY2025,2025-11-06,point,35.0,post_guide_60td,2026-02-04,35.141798502790344,33.56269,0.14179850279034412,4276.93958,12170.5199,41
FY2026,2026-05-07,floor,35.0,pre_guide,2026-05-06,35.18341977200111,34.27539,0.18341977200110904,4824.96441,13713.74483,42
FY2026,2026-05-07,floor,35.0,post_guide_5td,2026-05-14,35.40878307322492,33.90593,0.40878307322491736,4947.2195,13971.72981,42
FY2026,2026-05-07,floor,35.0,post_guide_60td,2026-08-04,35.45389320711155,34.47655,0.45389320711154824,4949.2194,13959.59358,43
FY2026,2026-08-06,floor,35.5,pre_guide,2026-08-05,35.45389320711155,34.47655,-0.046106792888451764,4949.2194,13959.59358,43
FY2026,2026-08-06,floor,35.5,post_guide_5td,2026-08-13,35.60627091371096,34.5731,0.10627091371095787,5051.02849,14185.78346,43
FY2026,2026-08-06,floor,35.5,post_guide_60td,2026-09-13,35.61578506074649,34.65933,0.11578506074648942,5053.72214,14189.55705,44
