target_quarter,guide_date,print_date,path_start,path_end,n_trading_days,ebitda_pre_guide_musd,ebitda_post_guide_1td_musd,ebitda_post_guide_5td_musd,ebitda_post_guide_20td_musd,ebitda_at_print_musd,guide_jump_5td_pct,drift_post_guide_to_print_pct,total_drift_pct,revenue_pre_guide_musd,revenue_post_guide_5td_musd,revenue_at_print_musd,revenue_guide_jump_5td_pct,revenue_total_drift_pct,margin_pre_guide_pct,margin_post_guide_5td_pct,margin_at_print_pct,n_est_pre_guide,n_est_at_print,n_mean_changes,lseg_actual_ebitda_musd,after_2020Q4_print_musd,after_2020Q4_print_margin_pct,after_2021Q1_print_musd,after_2021Q1_print_margin_pct,after_2021Q2_print_musd,after_2021Q2_print_margin_pct,after_2021Q3_print_musd,after_2021Q3_print_margin_pct,after_2021Q4_print_musd,after_2021Q4_print_margin_pct,after_2022Q1_print_musd,after_2022Q1_print_margin_pct,after_2022Q2_print_musd,after_2022Q2_print_margin_pct,after_2022Q3_print_musd,after_2022Q3_print_margin_pct,after_2022Q4_print_musd,after_2022Q4_print_margin_pct,after_2023Q1_print_musd,after_2023Q1_print_margin_pct,after_2023Q2_print_musd,after_2023Q2_print_margin_pct,after_2023Q3_print_musd,after_2023Q3_print_margin_pct,after_2023Q4_print_musd,after_2023Q4_print_margin_pct,after_2024Q1_print_musd,after_2024Q1_print_margin_pct,after_2024Q2_print_musd,after_2024Q2_print_margin_pct,after_2024Q3_print_musd,after_2024Q3_print_margin_pct,after_2024Q4_print_musd,after_2024Q4_print_margin_pct,after_2025Q1_print_musd,after_2025Q1_print_margin_pct,after_2025Q2_print_musd,after_2025Q2_print_margin_pct,after_2025Q3_print_musd,after_2025Q3_print_margin_pct,after_2025Q4_print_musd,after_2025Q4_print_margin_pct,after_2026Q1_print_musd,after_2026Q1_print_margin_pct,after_2026Q2_print_musd,after_2026Q2_print_margin_pct
2021Q4,2021-11-04,2022-02-15,2021-11-03,2022-02-14,71,228.2091,277.91766,285.11076,282.21903,278.36141,24.93400131721304,-2.367272985418034,21.97647245442884,1437.17413,1467.38142,1456.74161,2.10185316931637,1.3615246469820486,15.87901530067202,19.429901190925534,19.10849584367951,29,29,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022Q1,2022-02-15,2022-05-03,2022-02-14,2022-05-02,54,-8.31322,76.30596,76.30596,76.53659,74.16235,-1017.886931898831,-2.809230104699545,-992.1013758808261,1237.20392,1456.45914,1451.55794,17.721833600397897,17.325682252930452,-0.6719361186634455,5.239141827212537,5.109155339675936,20,30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022Q2,2022-05-03,2022-08-02,2022-05-02,2022-08-01,63,483.9639,582.58953,589.06503,588.58228,591.12562,21.716729284973525,0.3498068795562359,22.142502777583207,1965.15171,2098.9572,2105.14727,6.808914004914146,7.123905970598066,24.62730472854943,28.064651818531605,28.080012663437085,30,30,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022Q3,2022-08-02,2022-11-01,2022-08-01,2022-10-31,65,1258.31535,1381.46045,1381.46045,1382.41177,1386.5411,9.786505425686798,0.3677738295005062,10.190271460965628,2770.32703,2839.86413,2843.03363,2.510068278834221,2.624477154236904,45.42118444406183,48.645300858108314,48.76977484082733,30,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022Q4,2022-11-01,2023-02-14,2022-10-31,2023-02-13,72,409.04014,427.6075,423.49052,423.53535,435.07486,3.5327535336751925,2.735442578502112,6.364832556530997,1853.08467,1851.02767,1862.3796,-0.11100410214931467,0.5015922990718069,22.073472767976654,22.878670419875466,23.36123419736771,30,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023Q1,2023-02-14,2023-05-09,2023-02-13,2023-05-08,59,226.39181,260.52093,260.52093,260.52093,259.32331,15.075244992298975,-0.4597020285472042,14.54624175671373,1687.88192,1793.45436,1790.80776,6.2547290037919145,6.097928935692365,13.412775343905574,14.526209075094613,14.480801110667512,23,28,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023Q2,2023-05-09,2023-08-03,2023-05-08,2023-08-02,60,838.41465,732.89037,729.69011,726.78735,728.426,-12.967872162062054,-0.1732392946918182,-13.11864600648378,2419.14804,2413.03852,2420.65478,-0.25254841369691805,0.06228391049603044,34.65743460660639,30.239472099268436,30.092105905328644,27,30,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023Q3,2023-08-03,2023-11-01,2023-08-02,2023-10-31,64,1650.87045,1724.8159,1734.34465,1734.34465,1746.68068,5.056374956617593,0.7112790413370318,5.803618933272436,3221.13823,3363.91807,3369.74713,4.432589656358843,4.613552396352771,51.25115198797289,51.557279752654615,51.834176649332136,30,29,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023Q4,2023-11-01,2024-02-13,2023-10-31,2024-02-12,71,643.45629,644.25111,645.52254,645.62254,644.00653,0.32111738312481375,-0.23485004876825366,0.0855131900256989,2179.82937,2158.21132,2163.91532,-0.991731293169984,-0.7300594357988577,29.518654021988883,29.91007108608809,29.76117059885689,29,31,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024Q1,2024-02-13,2024-05-08,2024-02-12,2024-05-07,60,319.30748,324.16168,323.93587,324.68136,326.51288,1.4495087932171247,0.7955309178943271,2.2565710017190987,2029.7536,2057.82036,2060.66564,1.3827668540654425,1.5229454452008406,15.7313419717546,15.741698172332205,15.845019864552116,25,33,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024Q2,2024-05-08,2024-08-06,2024-05-07,2024-08-05,62,917.78807,860.85818,855.67636,855.43394,862.38206,-6.767543840485956,0.7836724623314417,-6.036906755608618,2743.19875,2725.33439,2738.95127,-0.6512236854876119,-0.15483675763559024,33.45685652561631,31.397114539034604,31.485848961453048,32,32,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024Q3,2024-08-06,2024-11-07,2024-08-05,2024-11-06,67,2012.40584,1873.22409,1857.6419,1861.88303,1858.95021,-7.690493484157246,0.07042853630723211,-7.6254812498457,3836.80858,3715.42139,3717.03782,-3.163754132347152,-3.1216245872761283,52.44999321806146,49.99814839306828,50.01160332557499,32,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024Q4,2024-11-07,2025-02-13,2024-11-06,2025-02-12,66,725.52906,670.69235,655.901,653.93203,652.95932,-9.596867146851428,-0.44849451365371884,-10.00232023786889,2423.68256,2423.68564,2420.03731,0.00012707934822220324,-0.1504012967770807,29.934987030644805,27.06213170450603,26.98137410121169,34,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
