period,vendor,as_of_row_date,found,calcdate_used,ebitda_mean,ebitda_median,ebitda_n,ebitda_sd,ebitda_high,ebitda_low,ebitda_obs_date,ebitda_staleness_days,revenue_mean,revenue_median,revenue_n,revenue_sd,revenue_high,revenue_low,revenue_obs_date,revenue_staleness_days,eps_mean,eps_median,eps_n,eps_sd,eps_obs_date,eps_staleness_days,implied_margin_pct,lseg_margin_mean_pct,ebitda_reported_mean,ebit_mean,ebit_obs_date,ebit_n,netprofit_mean,netprofit_obs_date,netprofit_n,fcf_mean,fcf_obs_date,cogs_mean,cogs_obs_date,grossincome_mean,grossincome_obs_date,pretaxprofit_mean,pretaxprofit_obs_date,capex_mean,capex_obs_date,metric,guide_type,value_low,value_high,value_mid,unit,quote
3Q26,LSEG,2026-09-11,True,2026-09-11,2361.52179,2357.809,36.0,20.0425,2420.15,2323.0,2026-09-07,4.0,4744.32212,4743.6,37.0,24.27626,4792.0,4677.0,2026-09-07,4.0,2.84539,2.825,34.0,0.15154,2026-09-08,3.0,49.775747309501824,49.93375,2289.02714,1908.641,2026-09-07,33.0,1703.46609,2026-08-31,30.0,1735.8375,2026-08-31,631.98444,2026-08-31,4088.37594,2026-08-13,2086.93565,2026-08-31,14.13571,2026-08-07,,,,,,,
4Q26,LSEG,2026-09-11,True,2026-09-11,913.68388,909.5,36.0,26.52396,974.0,871.0,2026-09-07,4.0,3161.81627,3174.0,37.0,48.55902,3223.0,3052.0,2026-09-07,4.0,0.86154,0.83,34.0,0.12907,2026-09-08,3.0,28.897437484563266,28.05833,841.14007,454.07985,2026-09-07,,505.76557,2026-08-31,,723.875,2026-08-31,550.77033,2026-08-31,2580.65118,2026-08-13,639.08296,2026-08-31,13.08571,2026-08-07,,,,,,,
FY26,LSEG,2026-09-11,True,2026-09-11,5053.72214,5052.0,44.0,40.21549,5144.46,4946.0,2026-09-07,4.0,14189.55705,14195.0,44.0,59.21929,14296.0,14067.5,2026-09-07,4.0,5.31259,5.26,43.0,0.18225,2026-09-08,3.0,35.61578506074649,34.65933,4816.60256,3234.70586,2026-09-07,42.0,3185.949,2026-08-31,38.0,4917.945,2026-08-31,2394.30084,2026-08-31,11708.81728,2026-08-16,3948.03736,2026-08-31,49.2155,2026-08-31,,,,,,,
FY27,LSEG,2026-09-11,True,2026-09-11,5766.09917,5776.0,44.0,154.22275,6255.0,5492.624,2026-09-10,1.0,15819.33924,15757.0,44.0,258.17766,16381.0,15420.0,2026-09-08,3.0,6.22753,6.125,43.0,0.45891,2026-09-08,3.0,36.449684038762676,35.05862,5525.49775,3804.41627,2026-09-07,,3673.10096,2026-08-31,,5353.28071,2026-08-31,2658.42384,2026-08-31,13071.86894,2026-09-08,4568.60679,2026-08-31,59.26042,2026-09-02,,,,,,,
FY28,LSEG,2026-09-11,True,2026-09-11,6602.71735,6563.75,26.0,271.9227,7063.0,6040.625,2026-09-08,3.0,17535.09557,17585.167,27.0,513.94985,18997.0,16780.0,2026-09-08,3.0,7.51977,7.356,26.0,0.80287,2026-09-08,3.0,37.65429919467499,35.10615,5951.39333,4510.0635,2026-08-24,,4363.9685,2026-08-24,,5771.48889,2026-08-31,2945.08182,2026-08-24,14668.559,2026-09-08,5556.67012,2026-08-24,60.49821,2026-09-02,,,,,,,
3Q26,"Bloomberg BEST (pull 2026-09-05, obs_date label 2026-09-30)",2026-09-05 (pull date; series label 2026-09-30),True,,2359.941,,,,,,,,4743.743,,,,,,,,2.856,,,,,,49.74850028764205,,,,,,,,,,,,,,,,,,,,,,,,,
4Q26,"Bloomberg BEST (pull 2026-09-05, obs_date label 2026-09-30)",2026-09-05 (pull date; series label 2026-09-30),True,,,,,,,,,,3154.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY26,"Bloomberg BEST (pull 2026-09-05, obs_date label 2026-09-30)",2026-09-05 (pull date; series label 2026-09-30),True,,5046.838,,,,,,,,14161.85,,,,,,,,5.289,,,,,,35.63685535434989,,,,,,,,,,,,,,,,,,,,,,,,,
FY27,"Bloomberg BEST (pull 2026-09-05, obs_date label 2026-09-30)",2026-09-05 (pull date; series label 2026-09-30),True,,,,,,,,,,15760.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Q26,"Management guide (2Q26 letter, 2026-08-06)",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adj_ebitda_margin_yoy_pts,ceiling,,0.0,,pts,"We expect Adjusted EBITDA to increase year-over-year and Adjusted EBITDA Margin to be down slightly compared to Q3 2025, due to timing of investments"
3Q26,"Management guide (2Q26 letter, 2026-08-06)",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,revenue_usd_m,range,4690.0,4770.0,4730.0,USD m,We expect to generate revenue of $4.69 billion to $4.77 billion
3Q26,"Management guide (2Q26 letter, 2026-08-06)",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,revenue_yoy_pct,range,15.0,17.0,16.0,pct,"representing year-over-year growth of 15% to 17%, inclusive of an approximate three percentage point FX tailwind after factoring in our hedging progra"
FY2026,"Management guide (2Q26 letter, 2026-08-06)",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adj_ebitda_margin_pct,floor,35.5,,,pct,"For 2026, we now expect to deliver a full-year Adjusted EBITDA Margin of at least 35.5%"
