ticker,period_label,row_date,period,ebitda_mean_musd,ebitda_n,revenue_mean_musd,lseg_margin_mean_pct,implied_margin_pct,ebitda_obs_date
BKNG,FQ1,2021-01-31,2020Q4,-64.20346,26,1161.76112,,-5.526390829811899,2021-01-21
BKNG,FQ1,2021-02-28,2021Q1,-143.9475,24,1159.40188,,-12.415669017200491,2021-02-27
BKNG,FQ1,2021-03-31,2021Q1,-142.7178,26,1178.16993,,-12.113515747257274,2021-03-31
BKNG,FQ1,2021-04-30,2021Q1,-155.63379,27,1166.6085,,-13.34070427225586,2021-04-22
BKNG,FQ1,2021-05-31,2021Q2,66.44652,27,1912.79341,,3.473794903967178,2021-05-26
BKNG,FQ1,2021-06-30,2021Q2,44.38677,26,1921.45854,,2.310056088954175,2021-06-15
BKNG,FQ1,2021-07-31,2021Q2,19.24224,26,1909.03288,,1.0079574952108734,2021-07-21
BKNG,FQ1,2021-08-31,2021Q3,1793.56882,26,4280.43963,,41.90150954190656,2021-08-16
BKNG,FQ1,2021-09-30,2021Q3,1786.62845,26,4275.40762,,41.788493841904135,2021-09-27
BKNG,FQ1,2021-10-31,2021Q3,1795.39512,26,4296.08454,,41.791428992689234,2021-10-31
BKNG,FQ1,2021-11-30,2021Q4,795.30379,26,2863.02128,,27.77847987214402,2021-11-26
BKNG,FQ1,2021-12-31,2021Q4,792.74684,26,2860.32469,,27.715274520110516,2021-12-01
BKNG,FQ1,2022-01-31,2021Q4,798.44504,26,2849.90878,,28.01651216359283,2022-01-09
BKNG,FQ1,2022-02-28,2022Q1,210.60064,26,2623.26077,,8.028200719061568,2022-02-25
BKNG,FQ1,2022-03-31,2022Q1,147.6266,27,2553.81915,,5.780620761654168,2022-03-29
BKNG,FQ1,2022-04-30,2022Q1,138.9666,27,2542.63758,,5.4654505657074415,2022-04-29
BKNG,FQ1,2022-05-31,2022Q2,964.48483,27,4332.2308,,22.263006624670133,2022-05-11
BKNG,FQ1,2022-06-30,2022Q2,966.94188,26,4313.55192,,22.416372816024897,2022-06-29
BKNG,FQ1,2022-07-31,2022Q2,975.19148,26,4329.67577,,22.523429739405177,2022-07-25
BKNG,FQ1,2022-08-31,2022Q3,2596.0096,26,5903.9055,,43.97105610853697,2022-08-12
BKNG,FQ1,2022-09-30,2022Q3,2612.38744,25,5924.24554,,44.096542291526966,2022-09-11
BKNG,FQ1,2022-10-31,2022Q3,2604.26504,25,5920.89496,,43.98431415510199,2022-10-31
BKNG,FQ1,2022-11-30,2022Q4,1152.87046,25,3863.118,,29.84300401903333,2022-11-23
BKNG,FQ1,2022-12-31,2022Q4,1154.39783,25,3852.57142,,29.96434599517431,2022-12-21
BKNG,FQ1,2023-01-31,2022Q4,1167.53667,25,3883.19648,,30.066381549666012,2023-01-25
BKNG,FQ1,2023-02-28,2023Q1,626.32692,25,3755.736,,16.676542760194007,2023-02-28
BKNG,FQ1,2023-03-31,2023Q1,634.63475,25,3775.62946,,16.80871379788418,2023-03-28
BKNG,FQ1,2023-04-30,2023Q1,634.95365,24,3774.15013,,16.823751788591412,2023-04-24
BKNG,FQ1,2023-05-31,2023Q2,1472.35705,24,5165.67087,,28.502726694238657,2023-05-19
BKNG,FQ1,2023-06-30,2023Q2,1472.2622,25,5157.4972,,28.546059123405826,2023-06-30
