print_quarter,print_date,prior_guide_date,actual_adj_ebitda_musd,actual_revenue_musd,actual_margin_pct,actual_fcf_musd,actual_operating_income_musd,lseg_act_ebitda_musd,lseg_act_eps_usd,lseg_act_fcf_musd,lseg_report_timestamp,cons_ebitda_at_print_musd,cons_ebitda_median_musd,cons_ebitda_n,cons_ebitda_sd_musd,cons_ebitda_obs_date,cons_ebitda_staleness_days,cons_revenue_at_print_musd,cons_revenue_n,cons_revenue_obs_date,cons_eps_at_print_usd,cons_fcf_at_print_musd,cons_ebit_at_print_musd,street_margin_pct,lseg_margin_mean_field_pct,lookup_date_at_print,cons_ebitda_at_guide_musd,cons_revenue_at_guide_musd,street_margin_at_guide_pct,cons_ebitda_post_guide_5td_musd,cons_revenue_post_guide_5td_musd,street_margin_post_guide_pct,ebitda_surprise_musd,ebitda_surprise_pct,revenue_surprise_musd,revenue_surprise_pct,margin_surprise_pts,implied_incremental_margin_pct,street_revision_incremental_margin_pct,eps_surprise_usd,fcf_surprise_musd,lseg_vs_letter_ebitda_diff_musd,guide_implied_margin_pct,guide_implied_type,guide_quote,margin_ly_pct,actual_vs_guide_implied_pts,street_vs_guide_implied_pts,repo16_cons_ebitda_musd,repo16_cons_revenue_musd,repo16_cons_eps_usd,repo16_vendor,lseg_vs_repo16_ebitda_pct,lseg_vs_repo16_revenue_pct,quarter_of_year,in_W1,in_W2
2021Q1,2021-05-13,2021-02-25,-59.0,886.9,-6.652384710790393,598.7,-446.9,-58.638,-1.12,486.662,2021-05-13 16:03:00,-362.08663,-365.2,27,66.11373,2021-05-12,0,714.41418,28,2021-05-12,-1.17408,-627.6,-624.64178,-50.68301275878931,,2021-05-12,-402.92392,591.67989,-68.0982955158405,-363.16479,693.9906,-52.32992925264406,303.08663,83.70555687184583,172.48582,24.14367251221133,44.03062804799892,175.71683863635863,33.272926416896205,0.054079999999999906,1226.3000000000002,0.3620000000000019,,,,,,,,714.4,-1.07,Refinitiv,,0.0019848824188040126,1,False,False
2021Q2,2021-08-12,2021-05-13,217.0,1335.2,16.252246854403833,782.0,-51.3,217.394,-0.11,783.647,2021-08-12 16:03:00,42.34193,40.6,28,63.08262,2021-08-09,2,1255.69015,27,2021-08-09,-0.47457,64.7,-222.05926,3.372004630282399,,2021-08-11,-163.52311,991.08443,-16.499412668605842,17.96044,1206.40563,1.4887563149054601,174.65807,412.4943525247905,79.50985000000014,6.331964139401759,12.880242224121433,219.668468749469,77.80067641772827,0.36457,717.3,0.39400000000000546,,,,,,,,1260.0,-0.41,Refinitiv,,-0.342051587301595,2,False,False
2021Q3,2021-11-04,2021-08-12,1101.0,2237.4,49.20890319120407,529.2,852.0,1101.281,1.22,517.672,2021-11-04 16:26:00,817.27121,799.3,29,133.32072,2021-10-31,3,2050.29173,30,2021-10-31,0.753,464.7068,567.40472,39.86121575001427,,2021-11-03,620.09179,1948.71785,31.820501361959607,768.24607,2031.84771,37.8102190542617,283.72879,34.716601604013434,187.10827000000018,9.125933995744118,9.347687441189805,151.63882921903974,194.12413900108987,0.46699999999999997,64.49320000000006,0.28099999999994907,,,,37.3,,,,2050.0,,Refinitiv,,0.01423073170732092,3,False,False
2021Q4,2022-02-15,2021-11-04,333.0,1532.4,21.73061863743148,378.1,75.2,333.369,0.08,376.391,2022-02-15 16:06:00,278.36141,277.7,29,60.77087,2022-02-07,7,1456.74161,31,2022-02-14,0.03336,-172.2,47.60072,19.10849584367951,,2022-02-14,228.2091,1437.17413,15.87901530067202,285.11076,1467.38142,19.429901190925534,54.63859000000002,19.62865111223572,75.65839000000005,5.19367261020299,2.62212279375197,72.21748969281528,256.30438871024853,0.04664,550.3,0.3690000000000282,,directional:directional,we expect to deliver greater year-over-year and year-over-two year margin expansion in Q4 2021 than we delivered in Q3 2021,-2.4,,,,1460.0,0.03,Refinitiv,,-0.22317739726027686,4,False,False
2022Q1,2022-05-03,2022-02-15,229.0,1509.0,15.175612988734262,1196.0,-5.0,229.146,-0.03,,2022-05-03 16:05:00,74.16235,75.7,30,41.9612,2022-05-02,0,1451.55794,32,2022-05-02,-0.29174,98.525,-134.029,5.109155339675936,,2022-05-02,-8.31322,1237.20392,-0.6719361186634455,76.30596,1456.45914,5.239141827212537,154.83765,208.7820167510873,57.44206000000008,3.95726952518341,10.066457649058325,269.55448672975825,38.476334616910854,0.26174,1097.475,0.14599999999998658,,,,-6.7,,,,1450.0,-0.29,Refinitiv,,0.10744413793102314,1,False,False
2022Q2,2022-08-02,2022-05-03,711.0,2104.0,33.79277566539924,796.0,369.0,711.2,0.56,794.699,2022-08-02 16:06:00,591.12562,591.0,30,20.33477,2022-08-01,0,2105.14727,31,2022-08-01,0.42682,923.0714,364.04716,28.080012663437085,,2022-08-01,483.9639,1965.15171,24.62730472854943,589.06503,2098.9572,28.064651818531605,119.87437999999997,20.2790026255333,-1.147269999999935,-0.054498324955666165,5.712763001962156,,76.54651333228006,0.13318000000000008,-127.07140000000004,0.20000000000004547,26.3,floor:yoy_pts(+10.0 on 16.3),driving a low double-digit EBITDA margin percentage improvement on a year-over-year basis,16.3,7.49277566539924,1.780012663437084,,2110.0,0.43,Refinitiv,,-0.22998720379147075,2,False,False
2022Q3,2022-11-01,2022-08-02,1457.0,2884.0,50.520110957004164,958.0,1203.0,1457.0,1.79,959.964,2022-11-01 16:05:00,1386.5411,1382.0,30,30.3758,2022-10-31,0,2843.03363,31,2022-10-31,1.46923,1246.29325,1135.98627,48.76977484082733,,2022-10-31,1258.31535,2770.32703,45.42118444406183,1381.46045,2839.86413,48.645300858108314,70.45890000000009,5.081630829407083,40.9663700000001,1.4409386356784002,1.7503361161768325,171.99205104089017,176.36053673256603,0.32077,-288.29324999999994,0.0,49.0,ceiling:margin_pct,We expect Q3 2022 Adjusted EBITDA margin to be at or slightly below last year's all-time high margin of 49%,49.2,1.5201109570041638,-0.23022515917266873,,2800.0,1.4229,Refinitiv,,1.5369153571428429,3,False,False
2022Q4,2023-02-14,2022-11-01,506.0,1902.0,26.603575184016826,455.0,235.0,506.0,0.48,455.0,2023-02-14 16:05:00,435.07486,427.0,30,29.32307,2023-02-13,0,1862.3796,31,2023-02-13,0.25125,79.29825,194.59292,23.36123419736771,,2023-02-13,409.04014,1853.08467,22.073472767976654,423.49052,1851.02767,22.878670419875466,70.92514,16.301824472229907,39.62040000000002,2.127407323404961,3.242340986649115,179.01167075546934,,0.22875,375.70175,0.0,22.0,floor:margin_pct,expect quarterly Adjusted EBITDA margin to be in-line to modestly higher than last year's margin of 22%,21.7,4.603575184016826,1.3612341973677111,432.0,1860.0,0.25,Refinitiv,0.7117731481481426,0.12793548387097786,4,False,False
2023Q1,2023-05-09,2023-02-14,262.0,1818.0,14.411441144114411,1581.0,-5.0,262.0,0.18,1581.0,2023-05-09 16:10:00,259.32331,262.701,28,16.65497,2023-05-08,0,1790.80776,29,2023-05-08,0.0865,1131.4956,-7.43183,14.480801110667512,,2023-05-08,226.39181,1687.88192,13.412775343905574,260.52093,1793.45436,14.526209075094613,2.676690000000008,1.0321825677761123,27.192240000000083,1.5184343404900191,-0.06935996655310106,9.843580374400931,31.99536676115545,0.0935,449.50440000000003,0.0,15.2,ceiling:yoy_pts(+0.0 on 15.2),"In Q1 2023, we expect Adjusted EBITDA margin to be slightly down on a year-over-year basis",15.2,-0.7885588558855883,-0.7191988893324872,,1790.0,0.09,Refinitiv,,0.04512625698323003,1,True,False
2023Q2,2023-08-03,2023-05-09,819.0,2484.0,32.971014492753625,900.0,523.0,819.0,0.98,900.0,2023-08-03 16:00:00,728.426,724.177,30,20.02634,2023-07-31,2,2420.65478,31,2023-07-31,0.77591,758.24633,470.88896,30.092105905328644,,2023-08-02,838.41465,2419.14804,34.65743460660639,729.69011,2413.03852,30.239472099268436,90.57399999999996,12.43420745552739,63.345220000000154,2.616863029101579,2.8789085874249807,142.9847429687666,,0.20409,141.75367000000006,0.0,33.8,ceiling:yoy_pts(+0.0 on 33.8),"we expect Adjusted EBITDA to be similar to Adjusted EBITDA in Q2 2022 on a nominal basis, but lower on a margin basis",33.8,-0.8289855072463723,-3.707894094671353,,2420.0,0.78,Refinitiv,,0.02705702479337546,2,True,False
