quarter_std,nights_m,adr,gbv_musd,identity_musd,dev_musd,dev_pct
2023Q1,121.1,168.43,20400.0,20396.873,-3.1270000000004075,-0.015328431372551018
2023Q2,115.1,166.01,19100.0,19107.750999999997,7.750999999996566,0.040581151832442756
2023Q3,113.2,161.38,18300.0,18268.216,-31.78399999999965,-0.17368306010928772
2023Q4,98.8,156.73,15500.0,15484.923999999999,-15.076000000000931,-0.09726451612903828
2024Q1,132.6,172.88,22900.0,22923.888,23.88799999999901,0.10431441048034502
2024Q2,125.1,169.53,21200.0,21208.202999999998,8.2029999999977,0.03869339622640425
2024Q3,122.8,163.64,20100.0,20094.992,-5.00800000000163,-0.024915422885580248
2024Q4,111.0,158.13,17600.0,17552.43,-47.56999999999971,-0.2702840909090893
2025Q1,143.1,171.34,24500.0,24518.754,18.754000000000815,0.07654693877551352
2025Q2,134.4,174.48,23500.0,23450.112,-49.88799999999901,-0.21228936170212342
2025Q3,133.6,171.29,22900.0,22884.343999999997,-15.656000000002678,-0.06836681222708592
2025Q4,121.9,167.51,20400.0,20419.469,19.46900000000096,0.09543627450980863
2026Q1,156.2,186.82,29200.0,29181.283999999996,-18.716000000003987,-0.06409589041097256
2026Q2,148.3,183.73,27200.0,27247.159,47.15899999999965,0.17337867647058697
