window,signal,outcome,primary_family,eligible_event_ids,n,intercept,slope,slope_hc1_se,slope_95_lo,slope_95_hi,slope_hc1_t,slope_hc1_p,r2,n_parameters,status,pearson,pearson_95_lo,pearson_95_hi,spearman,spearman_asymptotic_p,pearson_permutation_p,holm_12_primary_p,holm_family_n
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,16,-2.30035066023756,1.11666586564768,0.971159137899789,-0.966263325169515,3.19959505646488,1.14982789335903,0.269478397439462,0.105268127186353,2,descriptive_approximate_HC1_interval,0.324450500363851,-0.204076891963942,0.706524235729467,0.255882352941176,0.338789908071246,0.22055,1,12
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,16,-0.091857749903275,0.513773745049372,0.37647166648998,-0.293677673616569,1.32122516371531,1.36470760160923,0.19387862973474,0.0960433674168134,2,descriptive_approximate_HC1_interval,0.309908643662634,-0.219520103450227,0.698333612975305,0.258823529411765,0.333072306633608,0.24085,1,12
all,published_guide_vs_revenue_consensus_pct,cc_excess_pct,False,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,16,-2.4032478946015,1.64963646306142,1.11333491830027,-0.738229448903047,4.03750237502589,1.48170728856679,0.160573471571319,0.180627774228891,2,descriptive_approximate_HC1_interval,0.425003263786164,-0.0895729768110625,0.760491082917876,0.429411764705882,0.0969364852227238,,,
all,published_guide_vs_revenue_consensus_pct,open_5d_excess_pct,False,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,16,-1.16645504124121,0.775270076367042,0.473587532700672,-0.240474159333197,1.79101431206728,1.63701538329356,0.123900327064864,0.128073085913375,2,descriptive_approximate_HC1_interval,0.357873002493027,-0.167556835306888,0.724969131237819,0.394117647058824,0.130912854298991,,,
all,published_guide_vs_revenue_consensus_pct,open_20d_excess_pct,False,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,16,-1.56550205699792,0.338378470046734,0.989020001786181,-1.78285846386871,2.45961540396218,0.342135112976096,0.737331061033188,0.0110292934573017,2,descriptive_approximate_HC1_interval,0.105020443044684,-0.412140593633366,0.570999974774225,0.202941176470588,0.45096124172271,,,
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,15,-4.23422571020347,0.973699979287605,0.933443489178169,-1.04288207731218,2.99028203588739,1.04312686367857,0.315900227704975,0.0822289798915872,2,descriptive_approximate_HC1_interval,0.28675595877259,-0.264336432942076,0.696680345384697,0.271428571428571,0.327789306841173,0.30075,1,12
all,published_guide_vs_implied_guide_pct,session_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,15,-1.02431471612304,0.336139377987505,0.321818062910399,-0.359106278207691,1.0313850341827,1.0445012779817,0.315287823481311,0.0432697139073756,2,descriptive_approximate_HC1_interval,0.208013734900789,-0.340535825935948,0.650916417647698,0.121428571428571,0.666401113723389,0.45635,1,12
all,published_guide_vs_implied_guide_pct,cc_excess_pct,False,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,15,-5.34813261752998,1.34585501330476,1.11310233366603,-1.05885637978292,3.75056640639244,1.20910267870175,0.248154794063096,0.118618344169105,2,descriptive_approximate_HC1_interval,0.344410139469071,-0.203810729285771,0.728198076330385,0.282142857142857,0.308284456820055,,,
all,published_guide_vs_implied_guide_pct,open_5d_excess_pct,False,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,15,-2.66116662706859,0.527441501968631,0.38461072188302,-0.303459446526973,1.35834245046423,1.37136453031347,0.19346908678619,0.064610579912962,2,descriptive_approximate_HC1_interval,0.254186112746078,-0.296711575385273,0.678147324995018,0.185714285714286,0.507540962933674,,,
all,published_guide_vs_implied_guide_pct,open_20d_excess_pct,False,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,15,-1.18551863466251,-0.19968579498542,0.878728571881577,-2.09806345921669,1.69869186924585,-0.227243999313512,0.823768660542029,0.00435382715259802,2,descriptive_approximate_HC1_interval,-0.0659835369815685,-0.559340171701131,0.46189166762653,0.00714285714285714,0.979844227761598,,,
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,13,-1.62960215902075,0.850036307528771,1.28422487200162,-1.97652357796738,3.67659619302492,0.661906124122862,0.521656259403829,0.0472775462127815,2,descriptive_approximate_HC1_interval,0.217434004269759,-0.378950706750648,0.686209402125856,0.148351648351648,0.628609417889416,0.4783,1,12
