event,metric,difference_pp,pass
2020Q4,gap_excess_pct,0,True
2020Q4,session_excess_pct,0,True
2020Q4,cc_excess_pct,2.30926389122033e-14,True
2020Q4,open_5d_excess_pct,0,True
2020Q4,open_20d_excess_pct,0,True
2021Q1,gap_excess_pct,-2.22044604925031e-16,True
2021Q1,session_excess_pct,0,True
2021Q1,cc_excess_pct,-4.44089209850063e-16,True
2021Q1,open_5d_excess_pct,0,True
2021Q1,open_20d_excess_pct,0,True
2021Q2,gap_excess_pct,0,True
2021Q2,session_excess_pct,-4.44089209850063e-14,True
2021Q2,cc_excess_pct,-2.22044604925031e-14,True
2021Q2,open_5d_excess_pct,0,True
2021Q2,open_20d_excess_pct,0,True
2021Q3,gap_excess_pct,0,True
2021Q3,session_excess_pct,0,True
2021Q3,cc_excess_pct,0,True
2021Q3,open_5d_excess_pct,0,True
2021Q3,open_20d_excess_pct,0,True
2021Q4,gap_excess_pct,0,True
2021Q4,session_excess_pct,0,True
2021Q4,cc_excess_pct,0,True
2021Q4,open_5d_excess_pct,0,True
2021Q4,open_20d_excess_pct,0,True
2022Q1,gap_excess_pct,0,True
2022Q1,session_excess_pct,-2.22044604925031e-14,True
2022Q1,cc_excess_pct,0,True
2022Q1,open_5d_excess_pct,-1.4210854715202e-14,True
2022Q1,open_20d_excess_pct,-2.48689957516035e-14,True
2022Q2,gap_excess_pct,0,True
2022Q2,session_excess_pct,0,True
2022Q2,cc_excess_pct,0,True
2022Q2,open_5d_excess_pct,0,True
2022Q2,open_20d_excess_pct,0,True
2022Q3,gap_excess_pct,0,True
2022Q3,session_excess_pct,0,True
2022Q3,cc_excess_pct,1.77635683940025e-15,True
2022Q3,open_5d_excess_pct,0,True
2022Q3,open_20d_excess_pct,0,True
2022Q4,gap_excess_pct,1.77635683940025e-15,True
2022Q4,session_excess_pct,0,True
2022Q4,cc_excess_pct,0,True
2022Q4,open_5d_excess_pct,0,True
2022Q4,open_20d_excess_pct,0,True
2023Q1,gap_excess_pct,0,True
2023Q1,session_excess_pct,0,True
2023Q1,cc_excess_pct,0,True
2023Q1,open_5d_excess_pct,0,True
2023Q1,open_20d_excess_pct,0,True
2023Q2,gap_excess_pct,0,True
2023Q2,session_excess_pct,0,True
2023Q2,cc_excess_pct,-8.32667268468867e-17,True
2023Q2,open_5d_excess_pct,2.22044604925031e-16,True
2023Q2,open_20d_excess_pct,0,True
2023Q3,gap_excess_pct,0,True
2023Q3,session_excess_pct,0,True
2023Q3,cc_excess_pct,0,True
2023Q3,open_5d_excess_pct,-2.30926389122033e-14,True
2023Q3,open_20d_excess_pct,0,True
2023Q4,gap_excess_pct,2.17603712826531e-14,True
2023Q4,session_excess_pct,0,True
2023Q4,cc_excess_pct,2.22044604925031e-14,True
2023Q4,open_5d_excess_pct,0,True
2023Q4,open_20d_excess_pct,0,True
2024Q1,gap_excess_pct,0,True
2024Q1,session_excess_pct,5.55111512312578e-17,True
2024Q1,cc_excess_pct,0,True
2024Q1,open_5d_excess_pct,0,True
2024Q1,open_20d_excess_pct,0,True
2024Q2,gap_excess_pct,0,True
2024Q2,session_excess_pct,0,True
2024Q2,cc_excess_pct,-1.77635683940025e-15,True
2024Q2,open_5d_excess_pct,0,True
2024Q2,open_20d_excess_pct,0,True
2024Q3,gap_excess_pct,0,True
2024Q3,session_excess_pct,0,True
2024Q3,cc_excess_pct,0,True
2024Q3,open_5d_excess_pct,-1.11022302462516e-14,True
2024Q3,open_20d_excess_pct,0,True
2024Q4,gap_excess_pct,-1.77635683940025e-15,True
2024Q4,session_excess_pct,0,True
2024Q4,cc_excess_pct,0,True
2024Q4,open_5d_excess_pct,0,True
2024Q4,open_20d_excess_pct,1.77635683940025e-15,True
2025Q1,gap_excess_pct,0,True
2025Q1,session_excess_pct,0,True
2025Q1,cc_excess_pct,0,True
2025Q1,open_5d_excess_pct,0,True
2025Q1,open_20d_excess_pct,-2.77555756156289e-17,True
2025Q2,gap_excess_pct,0,True
2025Q2,session_excess_pct,0,True
2025Q2,cc_excess_pct,0,True
2025Q2,open_5d_excess_pct,0,True
2025Q2,open_20d_excess_pct,0,True
2025Q3,gap_excess_pct,0,True
2025Q3,session_excess_pct,4.44089209850063e-16,True
2025Q3,cc_excess_pct,0,True
2025Q3,open_5d_excess_pct,0,True
2025Q3,open_20d_excess_pct,0,True
2025Q4,gap_excess_pct,0,True
2025Q4,session_excess_pct,0,True
2025Q4,cc_excess_pct,0,True
2025Q4,open_5d_excess_pct,0,True
2025Q4,open_20d_excess_pct,-1.11022302462516e-16,True
2026Q1,gap_excess_pct,0,True
2026Q1,session_excess_pct,0,True
2026Q1,cc_excess_pct,0,True
2026Q1,open_5d_excess_pct,0,True
2026Q1,open_20d_excess_pct,0,True
2026Q2,gap_excess_pct,0,True
2026Q2,session_excess_pct,0,True
2026Q2,cc_excess_pct,0,True
2026Q2,open_5d_excess_pct,-1.77635683940025e-15,True
2026Q2,open_20d_excess_pct,0,True
