print_quarter,guided_quarter,guide_mid_musd,guide_id,guide_source,matches
2021Q3,2021Q4,1435,ABNB-3Q21-revenue_usd_m-4Q21-021,data/raw/letters/3Q21_d245727dex991.htm,True
2021Q4,2022Q1,1445,ABNB-4Q21-revenue_usd_m-1Q22-027,data/raw/letters/4Q21_d251410dex991.htm,True
2022Q1,2022Q2,2080,ABNB-1Q22-revenue_usd_m-2Q22-035,data/raw/letters/1Q22_d711122dex991.htm,True
2022Q2,2022Q3,2830,ABNB-2Q22-revenue_usd_m-3Q22-042,data/raw/letters/2Q22_d353427dex991.htm,True
2022Q3,2022Q4,1840,ABNB-3Q22-revenue_usd_m-4Q22-049,data/raw/letters/3Q22_d408297dex991.htm,True
2022Q4,2023Q1,1785,ABNB-4Q22-revenue_usd_m-1Q23-056,data/raw/letters/4Q22_d451233dex991.htm,True
2023Q1,2023Q2,2400,ABNB-1Q23-revenue_usd_m-2Q23-067,data/raw/letters/1Q23_d453262dex991.htm,True
2023Q2,2023Q3,3350,ABNB-2Q23-revenue_usd_m-3Q23-075,data/raw/letters/2Q23_d446942dex991.htm,True
2023Q3,2023Q4,2150,ABNB-3Q23-revenue_usd_m-4Q23-083,data/raw/letters/3Q23_d481318dex991.htm,True
2023Q4,2024Q1,2050,ABNB-4Q23-revenue_usd_m-1Q24-091,data/raw/letters/4Q23_d646462dex991.htm,True
2024Q1,2024Q2,2710,ABNB-1Q24-revenue_usd_m-2Q24-099,data/raw/letters/1Q24_d813800dex991.htm,True
2024Q2,2024Q3,3700,ABNB-2Q24-revenue_usd_m-3Q24-107,data/raw/letters/2Q24_d831385dex991.htm,True
2024Q3,2024Q4,2415,ABNB-3Q24-revenue_usd_m-4Q24-116,data/raw/letters/3Q24_d886752dex991.htm,True
2024Q4,2025Q1,2250,ABNB-4Q24-revenue_usd_m-1Q25-127,data/raw/letters/4Q24_d915198dex991.htm,True
2025Q1,2025Q2,3020,ABNB-1Q25-revenue_usd_m-2Q25-136,data/raw/letters/1Q25_d40594dex991.htm,True
2025Q2,2025Q3,4060,ABNB-2Q25-revenue_usd_m-3Q25-145,data/raw/letters/2Q25_d17531dex991.htm,True
2025Q3,2025Q4,2690,ABNB-3Q25-revenue_usd_m-4Q25-155,data/raw/letters/3Q25_d40503dex991.htm,True
2025Q4,2026Q1,2610,ABNB-4Q25-revenue_usd_m-1Q26-164,data/raw/letters/4Q25_d58192dex991.htm,True
2026Q1,2026Q2,3570,ABNB-1Q26-revenue_usd_m-2Q26-172,data/raw/letters/1Q26_d23351dex991.htm,True
2026Q2,2026Q3,4730,ABNB-2Q26-revenue_usd_m-3Q26-182,data/raw/letters/2Q26_d70413dex991.htm,True
