market,country,selection_group,selection_reason
austin,United States,existing_panel,Retain the original team market; coverage exclusion remains visible
barcelona,Spain,existing_panel,Retain the original team market
chicago,United States,existing_panel,Retain the original team market
london,United Kingdom,existing_panel,Retain the original team market and disclosed hotel destination
los-angeles,United States,existing_panel,Retain the original team market
mexico-city,Mexico,existing_panel,Retain the original team market
nashville,United States,existing_panel,Retain the original team market
new-orleans,United States,existing_panel,Retain the original team market
new-york-city,United States,existing_panel,Retain the original team market and disclosed hotel destination
paris,France,existing_panel,Retain the original team market and disclosed hotel destination
rome,Italy,existing_panel,Retain the original team market and disclosed hotel destination
san-diego,United States,existing_panel,Retain the original team market
sydney,Australia,existing_panel,Retain the original team market
madrid,Spain,rollout_extension,Add named Summer Release hotel destination with existing history
singapore,Singapore,rollout_extension,Add named Summer Release hotel destination with existing history
san-francisco,United States,us_extension,Add major US urban hotel market with existing history
amsterdam,The Netherlands,geographic_extension,European urban comparison with existing history
berlin,Germany,geographic_extension,European urban comparison with existing history
lisbon,Portugal,geographic_extension,European urban comparison with existing history
milan,Italy,geographic_extension,European urban comparison with existing history
tokyo,Japan,geographic_extension,Japanese urban comparison with existing history
bangkok,Thailand,geographic_extension,Southeast Asian urban comparison with existing history
cape-town,South Africa,geographic_extension,African urban comparison with existing history
buenos-aires,Argentina,geographic_extension,Latin American urban comparison with existing history
rio-de-janeiro,Brazil,geographic_extension,Latin American urban comparison with existing history
