ymi,us_minus_controls_pp
24288,-5.436894578694745
24289,-2.7083814421800114
24290,-3.4389656545056657
24291,-2.479685481858122
24292,-5.831455667880212
24293,0.47192464881513907
24294,-0.3570407650106378
24295,-3.0624442109768
24296,0.48347121748000405
24297,-9.161004560405837
24298,-4.553949827420823
24299,1.988281634853014
24300,-2.5546407258236603
24301,-6.547405969681604
24302,-5.0074804861974345
24303,-12.523382499638297
24304,-2.021046087565806
24305,-7.315050510205133
24306,-4.9879227620676065
24307,-1.9625104656637846
24308,-6.582451681181251
24309,-2.085100394144717
24310,0.7503594454551281
24311,-9.213064624946922
24312,-0.20984842304932333
24313,-2.547504163662324
24314,2.0583969334791683
24315,2.478070297336389
24316,-2.180993857828689
24317,10.313790373305483
