event_month,ymi,att_pp,lo90,hi90
-12,24295,1.542770354660696,-3.2270985190747266,6.363421835109176
-11,24296,5.088685783117505,0.8778794486652005,8.977283985251388
-10,24297,-4.555789994768341,-14.14309232270406,2.73277085354793
-9,24298,0.051264738216674766,-3.9747233603102186,4.053839518926241
-8,24299,6.593496200490511,4.026594272580139,9.671449047761985
-7,24300,2.050573839813838,-0.6621611085805912,4.543517205609995
-6,24301,-1.9421914040441044,-4.996452294716504,1.0835651070360175
-5,24302,-0.40226592055993615,-3.001365757038609,2.5901970596861417
-4,24303,-7.918167934000799,-11.498033532140127,-4.778949459822136
-3,24304,2.5841684780716934,0.2724181124749537,4.8035513318335195
-2,24305,-2.7098359445676343,-5.541179289071994,-0.06600416482203954
-1,24306,-0.38270819643010795,-3.314110413213186,2.2813718222225496
0,24307,2.6427040999737152,-0.399155914551934,6.232774526709992
1,24308,-1.9772371155437507,-5.228364758211453,2.585402012319629
2,24309,2.5201141714927817,-7.408729695730405,19.186955153155363
3,24310,5.355574011092629,-1.8155329678914904,14.669196131679344
4,24311,-4.607850059309423,-10.734010817400637,1.98206942444582
5,24312,4.395366142588175,-0.7383556656954379,8.981217677780636
6,24313,2.0577104019751746,-3.7194841435221413,7.924180787439385
7,24314,6.6636114991166675,1.533051894381695,13.060628488317752
8,24315,7.083284862973888,1.6996844591745286,12.785067921175875
9,24316,2.4242207078088085,-2.6619287141756485,7.590286484494722
10,24317,14.919004938942985,9.571025729568042,20.1406007227663
