quarter,phase,stays_yoy,print_yoy,I_pp,street_yoy,source,I_yoy_pp,I_yoy_wave_pp,stays_level_m,print_level_m
3Q25,observed,7.936756519562026,8.795,0.8582434804379737,,"Stage C: mapped = stays-implied, actual = print",,,,
4Q25,observed,9.48281209838697,9.82,0.3371879016130297,,"Stage C: mapped = stays-implied, actual = print",,,,
1Q26,observed,9.95595456659238,9.154,-0.8019545665923786,,"Stage C: mapped = stays-implied, actual = print",,,,
2Q26,observed,8.790116967344007,10.342,1.5518830326559936,,"Stage C: mapped = stays-implied, actual = print",,,,
3Q26,nets: July writing laps the US launch,8.918185788296213,9.886,0.9678142117037858,11.526946107784442,"stays = v2 read +/-1.85; print base = DEC-0029; print range 8.92-10.47 under I in {0, +0.49, +1.55}",0.10957073126581207,0.6936395522180199,145.51469621316375,146.807696
4Q26,"small hit: laps 4Q25 writing, little new access",8.12,8.12,0.0,9.926168990976203,"base carries the -0.78 lap, no drag; short print 7.61 (drag -0.51, DEC-0020 deferred)",-0.3371879016130297,,131.79828,131.79828
1Q27,flat: laps the -0.07,8.21,8.21,0.0,,0.291 x NA +2.31 + 0.709 x ex-NA +10.773 - 0.742 fee/cancel lap - 0.363 ex-NA RNPL lap (40%) + 1.0 event (DEC-0025),0.8019545665923786,,169.02,169.02
2Q27,THE HIT: laps the 2Q26 wave at the ceiling,5.93,5.93,0.0,,0.291 x NA +2.31 + 0.709 x ex-NA +10.452 - 0.742 - 0.907 ex-NA RNPL lap (full) - 0.5 World Cup lap (DEC-0025),-1.5518830326559936,,157.1,157.1
3Q27,laps land,6.23,6.23,0.0,,0.291 x NA +2.31 + 0.709 x ex-NA +10.131 - 0.742 - 0.907 (DEC-0025),,,155.96,155.96
4Q27,laps land,6.05,6.05,0.0,,0.291 x NA +2.31 + 0.709 x ex-NA +9.810 - 0.742 - 0.907 (DEC-0025),,,139.77,139.77
