print_quarter,print_date,target_period,guide_type,value_low,value_high,direction,comparator_value,actual,outcome,quote
4Q23,2024-02-13,1Q24,directional,,,below,12.0,9.5,met,we expect the growth rate of nights booked in Q1 2024 to moderate relative to Q4 2023
1Q24,2024-05-08,2Q24,directional,,,stable,9.5,8.69,met,We expect the year-over-year growth rate of nights booked in Q2 2024 to be relatively stable to that of Q1 2024
2Q24,2024-08-06,3Q24,directional,,,below,8.7,8.48,met,we expect a sequential moderation in the year-over-year growth of Nights and Experiences Booked relative to Q2 2024
3Q24,2024-11-07,4Q24,directional,,,above,8.5,12.35,met,we expect year-over-year growth of Nights and Experienced Booked in Q4 2024 to be higher than Q3 2024
4Q24,2025-02-13,1Q25,directional,,,stable,8.5,7.92,met,We expect year-over-year growth of Nights and Experiences Booked in Q1 2025 to be relatively stable compared to Q1 2024 after excluding Leap Day
1Q25,2025-05-01,2Q25,directional,,,below,7.9,7.43,met,"In Q2 2025, we expect year-over-year growth of Nights and Experiences Booked to moderate relative to Q1 2025"
2Q25,2025-08-06,3Q25,directional,,,stable,7.4,8.79,met,"In Q3 2025, we expect year-over-year growth of Nights and Seats Booked to be relatively stable compared to Q2 2025"
3Q25,2025-11-06,4Q25,bucket,4.0,6.0,,,9.82,above_range,"In Q4 2025, we expect year-over-year growth of Nights and Seats Booked in the mid-single-digit range due to the challenging Q4 2024 comparison"
4Q25,2026-02-12,1Q26,bucket,7.0,9.0,,,9.15,above_range,driven by high-single-digit growth in Nights and Seats Booked and a moderate increase in ADR due to price appreciation and FX
1Q26,2026-05-07,2Q26,directional,,,below,9.1,10.34,not_met,"In Q2 2026, we expect Nights and Seats booked growth to slightly decelerate, relative to Q1 2026, assuming an estimated roughly 100bps headwind relate"
2Q26,2026-08-06,3Q26,bucket,10.0,12.0,,,,pending,driven by low double-digit growth in Nights and Seats Booked and a moderate increase in ADR due to mix shift and price appreciation
