code,n_scored,ratio_vs_naive,ratio_vs_prior,rmse
AT,27,0.6426208935103093,0.6050605631625358,0.1335697475114461
BE,27,0.5406209934028152,0.5764004151883648,0.10074025518270696
CH,27,0.6494686675342366,0.6151342583400259,0.07788812381763204
CZ,27,0.41934685301030755,0.37692880587154615,0.08748126219859857
DE,27,0.5748054854471,0.5662840689223239,0.11265937109700178
DK,27,0.5400534279177435,0.5406620752905134,0.14342579373049297
EL,27,0.6223551725412075,0.5174304497745568,0.07099950287415864
ES,27,0.6044770463901993,0.5438932026664912,0.08787652649349253
FR,27,0.6307461712107849,0.5907244330262589,0.10427763421964266
HU,27,0.5238955815900094,0.4534927431983628,0.0680430150552968
IE,27,0.5461357315216451,0.5703204879795781,0.08818094651724197
IT,27,0.5942414379991109,0.4221056236650644,0.074189976352799
LV,27,0.5630803232879237,0.38275514586212106,0.0703603553325306
MT,27,0.7571647320388415,0.5571291686902566,0.06791208959276837
NL,27,0.5863850975899406,0.5846702793399886,0.12507859521936593
NO,27,0.6777479271224159,0.6247808349699905,0.10910207433426956
PT,27,0.4616779218624792,0.3426281193290996,0.05464708727967947
SE,27,0.6521158001652032,0.6758070023983632,0.11663288763898587
