comparator,qi,quarter,period,uf_yoy,gbv_yoy,spread_pp,z_vs_pre,pre_mean,pre_sd,welch_t,welch_p_two_sided,n_pre,n_post
GBV reported,8092,1Q23,pre,24.28,18.6,5.68,1.0124906407580083,2.696,2.947187736734047,-4.0410549252499255,0.02101761681860131,10,4
GBV reported,8093,2Q23,pre,18.48,12.35,6.130000000000001,1.1651785725077084,2.696,2.947187736734047,-4.0410549252499255,0.02101761681860131,10,4
GBV reported,8094,3Q23,pre,20.22,17.31,2.91,0.07261159420985716,2.696,2.947187736734047,-4.0410549252499255,0.02101761681860131,10,4
GBV reported,8095,4Q23,pre,20.73,14.81,5.92,1.093924204357848,2.696,2.947187736734047,-4.0410549252499255,0.02101761681860131,10,4
GBV reported,8096,1Q24,pre,12.06,12.25,-0.1899999999999995,-0.9792386022880737,2.696,2.947187736734047,-4.0410549252499255,0.02101761681860131,10,4
GBV reported,8097,2Q24,pre,11.67,10.99,0.6799999999999997,-0.6840419342386547,2.696,2.947187736734047,-4.0410549252499255,0.02101761681860131,10,4
GBV reported,8098,3Q24,pre,12.95,9.84,3.1099999999999994,0.14047289720972345,2.696,2.947187736734047,-4.0410549252499255,0.02101761681860131,10,4
GBV reported,8099,4Q24,pre,13.24,13.55,-0.3100000000000005,-1.019955384087994,2.696,2.947187736734047,-4.0410549252499255,0.02101761681860131,10,4
GBV reported,8100,1Q25,pre,11.87,6.99,4.879999999999999,0.741045428758542,2.696,2.947187736734047,-4.0410549252499255,0.02101761681860131,10,4
GBV reported,8101,2Q25,pre,9.0,10.85,-1.8499999999999996,-1.5424874171869658,2.696,2.947187736734047,-4.0410549252499255,0.02101761681860131,10,4
GBV reported,8102,3Q25,post,9.84,13.93,-4.09,-2.302534010785471,2.696,2.947187736734047,-4.0410549252499255,0.02101761681860131,10,4
GBV reported,8103,4Q25,post,7.86,15.91,-8.05,-3.6461878101828282,2.696,2.947187736734047,-4.0410549252499255,0.02101761681860131,10,4
GBV reported,8104,1Q26,post,0.37,19.18,-18.81,-7.297125911575646,2.696,2.947187736734047,-4.0410549252499255,0.02101761681860131,10,4
GBV reported,8105,2Q26,post,-0.91,15.74,-16.65,-6.564223839177088,2.696,2.947187736734047,-4.0410549252499255,0.02101761681860131,10,4
GBV ex-FX,8092,1Q23,pre,24.28,22.0,2.280000000000001,-0.1708483499615306,2.826666666666666,3.1997187376392944,-3.4978874043347057,0.02844951819243536,9,4
GBV ex-FX,8093,2Q23,pre,18.48,13.0,5.48,0.8292395522523097,2.826666666666666,3.1997187376392944,-3.4978874043347057,0.02844951819243536,9,4
GBV ex-FX,8094,3Q23,pre,20.22,14.0,6.219999999999999,1.0605098796392598,2.826666666666666,3.1997187376392944,-3.4978874043347057,0.02844951819243536,9,4
GBV ex-FX,8095,4Q23,pre,20.73,13.0,7.73,1.5324263584964164,2.826666666666666,3.1997187376392944,-3.4978874043347057,0.02844951819243536,9,4
GBV ex-FX,8097,2Q24,pre,11.67,12.0,-0.33000000000000007,-0.9865450452046947,2.826666666666666,3.1997187376392944,-3.4978874043347057,0.02844951819243536,9,4
GBV ex-FX,8098,3Q24,pre,12.95,10.0,2.9499999999999993,0.03854505456449169,2.826666666666666,3.1997187376392944,-3.4978874043347057,0.02844951819243536,9,4
GBV ex-FX,8099,4Q24,pre,13.24,15.0,-1.7599999999999998,-1.4334593265065045,2.826666666666666,3.1997187376392944,-3.4978874043347057,0.02844951819243536,9,4
GBV ex-FX,8100,1Q25,pre,11.87,9.0,2.869999999999999,0.013542857009145653,2.826666666666666,3.1997187376392944,-3.4978874043347057,0.02844951819243536,9,4
GBV ex-FX,8101,2Q25,pre,9.0,9.0,0.0,-0.8834109802888923,2.826666666666666,3.1997187376392944,-3.4978874043347057,0.02844951819243536,9,4
GBV ex-FX,8102,3Q25,post,9.84,12.0,-2.16,-1.5584703142832348,2.826666666666666,3.1997187376392944,-3.4978874043347057,0.02844951819243536,9,4
GBV ex-FX,8103,4Q25,post,7.86,13.0,-5.14,-2.4898021732198736,2.826666666666666,3.1997187376392944,-3.4978874043347057,0.02844951819243536,9,4
GBV ex-FX,8104,1Q26,post,0.37,13.0,-12.63,-4.830632919339145,2.826666666666666,3.1997187376392944,-3.4978874043347057,0.02844951819243536,9,4
GBV ex-FX,8105,2Q26,post,-0.91,15.0,-15.91,-5.85572301910833,2.826666666666666,3.1997187376392944,-3.4978874043347057,0.02844951819243536,9,4
