quarter,year,vintage_date,point,actual,error_musd,point_fixed,error_musd_fixed,sq_error_delta_musd2,absolute_error_delta_musd,window
2023Q1,2023,2023-02-14,1859.34297557,1818,41.3429755698,1873.52461166,55.5246116566,-1373.74087065,-14.1816360868,W1
2023Q2,2023,2023-05-09,2541.80916447,2484,57.8091644694,2559.08300441,75.0830044109,-2295.55805472,-17.2738399415,W1
2023Q3,2023,2023-08-03,3267.70421388,3397,-129.29578612,3380.89100391,-16.1089960854,16457.9005534,113.186790034,W1
2023Q4,2023,2023-11-01,2252.73910574,2218,34.7391057381,2233.76370621,15.7637062054,958.311034149,18.9753995326,W1
2024Q1,2024,2024-02-13,2122.31231249,2142,-19.6876875058,2133.87589207,-8.12410792507,321.60390975,11.5635795808,W1
2024Q2,2024,2024-05-08,2832.37494332,2748,84.3749433172,2845.43949495,97.4394949549,-2375.32411729,-13.0645516377,W1
2024Q3,2024,2024-08-06,3724.7038691,3732,-7.29613090177,3775.73778259,43.7377825859,-1859.7600994,-36.4416516842,W1
2024Q4,2024,2024-11-07,2461.68690698,2480,-18.3130930163,2454.4365004,-25.5634996042,-318.123136193,-7.25040658795,W1
2025Q1,2025,2025-02-13,2402.10875169,2272,130.108751688,2397.37645026,125.376450263,1209.0329851,4.73230142439,W1
2025Q2,2025,2025-05-01,3019.66749933,3096,-76.3325006709,3049.56987724,-46.4301227598,3670.89435918,29.9023779111,W1
2025Q3,2025,2025-08-06,4106.22581775,4095,11.2258177545,4116.77057345,21.7705734488,-347.938884033,-10.5447556943,W1
2025Q4,2025,2025-11-06,2794.77048798,2778,16.7704879796,2780.51681124,2.51681123831,274.914928264,14.2536767413,W1
2026Q1,2026,2026-02-12,2720.76095105,2678,42.7609510501,2711.83981088,33.8398108783,683.366134434,8.92114017185,W1
2026Q2,2026,2026-05-07,3615.27225321,3608,7.2722532116,3625.6886922,17.688692196,-260.004164833,-10.4164389844,W1
2024Q1,2024,2024-02-13,2122.31231249,2142,-19.6876875058,2133.87589207,-8.12410792507,321.60390975,11.5635795808,W2
2024Q2,2024,2024-05-08,2832.37494332,2748,84.3749433172,2845.43949495,97.4394949549,-2375.32411729,-13.0645516377,W2
2024Q3,2024,2024-08-06,3724.7038691,3732,-7.29613090177,3775.73778259,43.7377825859,-1859.7600994,-36.4416516842,W2
2024Q4,2024,2024-11-07,2461.68690698,2480,-18.3130930163,2454.4365004,-25.5634996042,-318.123136193,-7.25040658795,W2
2025Q1,2025,2025-02-13,2402.10875169,2272,130.108751688,2397.37645026,125.376450263,1209.0329851,4.73230142439,W2
2025Q2,2025,2025-05-01,3019.66749933,3096,-76.3325006709,3049.56987724,-46.4301227598,3670.89435918,29.9023779111,W2
2025Q3,2025,2025-08-06,4106.22581775,4095,11.2258177545,4116.77057345,21.7705734488,-347.938884033,-10.5447556943,W2
2025Q4,2025,2025-11-06,2794.77048798,2778,16.7704879796,2780.51681124,2.51681123831,274.914928264,14.2536767413,W2
2026Q1,2026,2026-02-12,2720.76095105,2678,42.7609510501,2711.83981088,33.8398108783,683.366134434,8.92114017185,W2
2026Q2,2026,2026-05-07,3615.27225321,3608,7.2722532116,3625.6886922,17.688692196,-260.004164833,-10.4164389844,W2
