arm,horizon_quarters,window,comparison,n_common,n_models,target_quarters
calendar_minus16,2,W1,guide_common_cushion_proxy,11,4,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
calendar_minus16,2,W1,revenue_same_object,11,4,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
calendar_minus16,2,W1,guide_vs_raw_revenue_different_objects,11,4,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
calendar_minus16,2,W2,guide_common_cushion_proxy,10,4,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
calendar_minus16,2,W2,revenue_same_object,10,4,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
calendar_minus16,2,W2,guide_vs_raw_revenue_different_objects,10,4,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
calendar_minus16,3,W1,guide_common_cushion_proxy,0,4,
calendar_minus16,3,W1,revenue_same_object,0,4,
calendar_minus16,3,W1,guide_vs_raw_revenue_different_objects,0,4,
calendar_minus16,3,W2,guide_common_cushion_proxy,0,4,
calendar_minus16,3,W2,revenue_same_object,0,4,
calendar_minus16,3,W2,guide_vs_raw_revenue_different_objects,0,4,
calendar_minus16,4,W1,guide_common_cushion_proxy,0,4,
calendar_minus16,4,W1,revenue_same_object,0,4,
calendar_minus16,4,W1,guide_vs_raw_revenue_different_objects,0,4,
calendar_minus16,4,W2,guide_common_cushion_proxy,0,4,
calendar_minus16,4,W2,revenue_same_object,0,4,
calendar_minus16,4,W2,guide_vs_raw_revenue_different_objects,0,4,
release_day,2,W1,guide_common_cushion_proxy,0,4,
release_day,2,W1,revenue_same_object,0,4,
release_day,2,W1,guide_vs_raw_revenue_different_objects,0,4,
release_day,2,W2,guide_common_cushion_proxy,0,4,
release_day,2,W2,revenue_same_object,0,4,
release_day,2,W2,guide_vs_raw_revenue_different_objects,0,4,
release_day,3,W1,guide_common_cushion_proxy,0,4,
release_day,3,W1,revenue_same_object,0,4,
release_day,3,W1,guide_vs_raw_revenue_different_objects,0,4,
release_day,3,W2,guide_common_cushion_proxy,0,4,
release_day,3,W2,revenue_same_object,0,4,
release_day,3,W2,guide_vs_raw_revenue_different_objects,0,4,
release_day,4,W1,guide_common_cushion_proxy,0,4,
release_day,4,W1,revenue_same_object,0,4,
release_day,4,W1,guide_vs_raw_revenue_different_objects,0,4,
release_day,4,W2,guide_common_cushion_proxy,0,4,
release_day,4,W2,revenue_same_object,0,4,
release_day,4,W2,guide_vs_raw_revenue_different_objects,0,4,
