quarter,gbv_musd,revenue_musd,nights_m,adr_usd
3Q20,8029.3,1342.3,61.8,129.92
4Q20,5905.7,859.1,46.3,127.55
1Q21,10300.0,887.0,64.4,159.82
2Q21,13400.0,1335.0,83.1,161.45
3Q21,11900.0,2237.0,79.7,149.15
4Q21,11300.0,1532.0,73.4,153.61
1Q22,17200.0,1509.0,102.1,168.07
2Q22,17000.0,2104.0,103.7,163.74
3Q22,15600.0,2884.0,99.7,156.44
4Q22,13500.0,1902.0,88.2,152.81
1Q23,20400.0,1818.0,121.1,168.43
2Q23,19100.0,2484.0,115.1,166.01
3Q23,18300.0,3397.0,113.2,161.38
4Q23,15500.0,2218.0,98.8,156.73
1Q24,22900.0,2142.0,132.6,172.88
2Q24,21200.0,2748.0,125.1,169.53
3Q24,20100.0,3732.0,122.8,163.64
4Q24,17600.0,2480.0,111.0,158.13
1Q25,24500.0,2272.0,143.1,171.34
2Q25,23500.0,3096.0,134.4,174.48
3Q25,22900.0,4095.0,133.6,171.29
4Q25,20400.0,2778.0,121.9,167.51
1Q26,29200.0,2678.0,156.2,186.82
2Q26,27200.0,3608.0,148.3,183.73
