fiscal_quarter,print_date,guide_date,print_date_basis
2020Q3,2020-11-15,,approx_qend_plus_46d
2020Q4,2021-02-25,2021-02-25,ledger
2021Q1,2021-05-13,2021-05-13,ledger
2021Q2,2021-08-12,2021-08-12,ledger
2021Q3,2021-11-04,2021-11-04,ledger
2021Q4,2022-02-15,2022-02-15,ledger
2022Q1,2022-05-03,2022-05-03,ledger
2022Q2,2022-08-02,2022-08-02,ledger
2022Q3,2022-11-01,2022-11-01,ledger
2022Q4,2023-02-14,2023-02-14,ledger
2023Q1,2023-05-09,2023-05-09,ledger
2023Q2,2023-08-03,2023-08-03,ledger
2023Q3,2023-11-01,2023-11-01,ledger
2023Q4,2024-02-13,2024-02-13,ledger
2024Q1,2024-05-08,2024-05-08,ledger
2024Q2,2024-08-06,2024-08-06,ledger
2024Q3,2024-11-07,2024-11-07,ledger
2024Q4,2025-02-13,2025-02-13,ledger
2025Q1,2025-05-01,2025-05-01,ledger
2025Q2,2025-08-06,2025-08-06,ledger
2025Q3,2025-11-06,2025-11-06,ledger
2025Q4,2026-02-12,2026-02-12,ledger
2026Q1,2026-05-07,2026-05-07,ledger
2026Q2,2026-08-06,2026-08-06,ledger
