quarter,scenario,revenue_musd,adj_ebitda_musd,adj_ebitda_margin_pct,cor_cash_musd,ops_cash_musd,pd_cash_musd,sm_cash_musd,ga_cash_musd,total_cash_costs_musd,cor_pct_rev,ops_pct_rev,pd_pct_rev,sm_pct_rev,ga_pct_rev,scenario_cost_basis,addbacks_musd,m1_other_net_musd,addback_diff_vs_m1_rule_musd,residual_allocated_musd,cor_model_musd,cor_alloc_musd,ops_model_musd,ops_alloc_musd,pd_model_musd,pd_alloc_musd,sm_model_musd,sm_alloc_musd,ga_model_musd,ga_alloc_musd,sum_five_lines_musd,recon_lines_minus_addbacks_musd,recon_gap_musd,sum_lines_check
2021Q1,actual,886.936,-58.6,-6.607015613302425,254.515,174.024,219.346,203.224,140.705,945.536,28.695982573714446,19.62080691278739,24.730758476372593,22.91303994876744,15.86416607286208,,,,,,,,,,,,,,,,,,,
2021Q2,actual,1335.196,218.0,16.327190914292736,294.427,193.889,205.922,291.259,167.575,1117.196,22.051219446433336,14.521388620097724,15.422604621343982,21.813950910577926,12.550591823222955,,,,,,,,,,,,,,,,,,,
2021Q3,actual,2237.432,1101.0,49.20819940002647,311.58,217.168,213.133,267.145,164.059,1136.4319999999998,13.925786347920294,9.706127381748363,9.525786705473061,11.939804204105421,7.332468651561255,,,,,,,,,,,,,,,,,,,
2021Q4,actual,1532.436,333.0,21.730108141547184,295.478,213.646,241.486,324.403,155.769,1199.436,19.28158826861285,13.941593645672642,15.75830899300199,21.16910592024724,10.164796441743734,,,,,,,,,,,,,,,,,,,
2022Q1,actual,1508.937,229.0,15.176246589486508,362.623,221.317,245.051,323.409,167.459,1279.937,24.031685882180636,14.667080202818278,16.23997555895309,21.4329027653242,11.09781256606472,,,,,,,,,,,,,,,,,,,
2022Q2,actual,2104.107,711.0,33.79105720383992,390.107,241.47,230.118,349.882,185.836,1393.107,18.540264349674235,11.47612740226614,10.936611113408205,16.628526971299465,8.832060346740922,,,,,,,,,,,,,,,,,,,
2022Q3,actual,2884.41,1457.0,50.512929853938935,401.149,271.164,230.277,356.554,181.369,1427.41,13.907488879874915,9.401021352720313,7.983504425515096,12.361418799685204,6.2879063655998975,,,,,,,,,,,,,,,,,,,
2022Q4,actual,1902.0,506.0,26.603575184016822,345.0,243.0,249.0,372.0,198.0,1396.0,18.138801261829656,12.77602523659306,13.09148264984227,19.558359621451103,10.410094637223976,,,,,,,,,,,,,,,,,,,
2023Q1,actual,1818.0,262.0,14.411441144114413,428.0,267.0,271.0,422.0,191.0,1556.0,23.54235423542354,14.686468646864686,14.906490649064907,23.212321232123212,10.506050605060507,,,,,,,,,,,,,,,,,,,
2023Q2,actual,2484.0,819.0,32.971014492753625,432.0,298.0,260.0,450.0,219.0,1665.0,17.391304347826086,11.996779388083736,10.466988727858293,18.115942028985508,8.816425120772948,,,,,,,,,,,,,,,,,,,
