fy26_sentence_pct,q3_margin_pct,fy26_ebitda_musd,q3_ebitda_musd,q4_ebitda_musd,q4_margin_pct,q4_margin_reading,pp_of_q4_per_1pp_of_q3,pp_of_q4_per_1pp_of_fy
35.5,49.4,5065.190907,2373.193537,911.99737,28.696237742470537,lower bound on 4Q26 (the FY sentence is a floor),-1.5116024384069036,4.48950894617231
35.5,49.94,5065.190907,2399.1353286999997,886.0555783000004,27.87997242573082,lower bound on 4Q26 (the FY sentence is a floor),-1.5116024384069036,4.48950894617231
35.5,50.085,5065.190907,2406.101180175,879.0897268250001,27.660790072161806,lower bound on 4Q26 (the FY sentence is a floor),-1.5116024384069036,4.48950894617231
35.5,50.5,5065.190907,2426.0379275,859.1529795000001,27.033475060222944,lower bound on 4Q26 (the FY sentence is a floor),-1.5116024384069036,4.48950894617231
35.75,49.4,5100.8612655,2373.193537,947.6677284999996,29.818614979013596,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
35.75,49.94,5100.8612655,2399.1353286999997,921.7259368,29.002349662273886,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
35.75,50.085,5100.8612655,2406.101180175,914.7600853249996,28.783167308704872,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
35.75,50.5,5100.8612655,2426.0379275,894.8233379999997,28.15585229676601,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
36.0,49.4,5136.531624,2373.193537,983.3380870000001,30.94099221555669,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
36.0,49.94,5136.531624,2399.1353286999997,957.3962953000005,30.124726898816977,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
36.0,50.085,5136.531624,2406.101180175,950.4304438250001,29.905544545247963,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
36.0,50.5,5136.531624,2426.0379275,930.4936965000002,29.2782295333091,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
36.25,49.4,5172.2019825,2373.193537,1019.0084454999997,32.06336945209976,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
36.25,49.94,5172.2019825,2399.1353286999997,993.0666538,31.247104135360036,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
36.25,50.085,5172.2019825,2406.101180175,986.1008023249997,31.02792178179103,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
36.25,50.5,5172.2019825,2426.0379275,966.1640549999997,30.40060676985216,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
36.5,49.4,5207.872341,2373.193537,1054.6788040000001,33.18574668864285,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
36.5,49.94,5207.872341,2399.1353286999997,1028.7370123000005,32.36948137190313,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
36.5,50.085,5207.872341,2406.101180175,1021.7711608250002,32.150299018334124,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
36.5,50.5,5207.872341,2426.0379275,1001.8344135000002,31.522984006395255,equality if the FY sentence is a point/'approximately' statement,-1.5116024384069036,4.48950894617231
