target,window,horizon_q,quarter,qhat80,qhat90,n,kind
adj_ebitda_margin_pct,W1,0,2023Q1,3.0,4.0,0,fallback
adj_ebitda_margin_pct,W1,0,2023Q2,3.0,4.0,1,fallback
adj_ebitda_margin_pct,W1,0,2023Q3,3.0,4.0,2,fallback
adj_ebitda_margin_pct,W1,0,2023Q4,3.0,4.0,3,fallback
adj_ebitda_margin_pct,W1,0,2024Q1,3.905909723864877,4.882387154831096,4,split_conformal
adj_ebitda_margin_pct,W1,0,2024Q2,3.905909723864877,4.687091668637852,5,split_conformal
adj_ebitda_margin_pct,W1,0,2024Q3,3.905909723864877,4.556894677842356,6,split_conformal
adj_ebitda_margin_pct,W1,0,2024Q4,3.905909723864877,4.463896827274145,7,split_conformal
adj_ebitda_margin_pct,W1,0,2025Q1,3.905909723864877,4.394148439347987,8,split_conformal
adj_ebitda_margin_pct,W1,0,2025Q2,2.6004748253977112,3.905909723864877,9,split_conformal
adj_ebitda_margin_pct,W1,0,2025Q3,2.6004748253977112,3.905909723864877,10,split_conformal
adj_ebitda_margin_pct,W1,0,2025Q4,2.6004748253977112,3.905909723864877,11,split_conformal
adj_ebitda_margin_pct,W1,0,2026Q1,2.6004748253977112,3.905909723864877,12,split_conformal
adj_ebitda_margin_pct,W1,0,2026Q2,2.6004748253977112,3.905909723864877,13,split_conformal
adj_ebitda_margin_pct,W1,1,2023Q2,3.0,4.0,0,fallback
adj_ebitda_margin_pct,W1,1,2023Q3,3.0,4.0,0,fallback
adj_ebitda_margin_pct,W1,1,2023Q4,3.0,4.0,1,fallback
adj_ebitda_margin_pct,W1,1,2024Q1,3.0,4.0,2,fallback
adj_ebitda_margin_pct,W1,1,2024Q2,3.0,4.0,3,fallback
adj_ebitda_margin_pct,W1,1,2024Q3,4.498846590324334,5.623558237905417,4,split_conformal
adj_ebitda_margin_pct,W1,1,2024Q4,4.498846590324334,5.398615908389201,5,split_conformal
adj_ebitda_margin_pct,W1,1,2025Q1,4.498846590324334,5.248654355378389,6,split_conformal
adj_ebitda_margin_pct,W1,1,2025Q2,4.498846590324334,5.141538960370667,7,split_conformal
adj_ebitda_margin_pct,W1,1,2025Q3,4.498846590324334,5.0612024141148755,8,split_conformal
adj_ebitda_margin_pct,W1,1,2025Q4,4.205128664090589,4.498846590324334,9,split_conformal
adj_ebitda_margin_pct,W1,1,2026Q1,4.205128664090589,4.498846590324334,10,split_conformal
adj_ebitda_margin_pct,W1,1,2026Q2,4.205128664090589,4.498846590324334,11,split_conformal
adj_ebitda_margin_pct,W1,2,2023Q3,3.0,4.0,0,fallback
adj_ebitda_margin_pct,W1,2,2023Q4,3.0,4.0,0,fallback
adj_ebitda_margin_pct,W1,2,2024Q1,3.0,4.0,0,fallback
adj_ebitda_margin_pct,W1,2,2024Q2,3.0,4.0,1,fallback
adj_ebitda_margin_pct,W1,2,2024Q3,3.0,4.0,2,fallback
adj_ebitda_margin_pct,W1,2,2024Q4,3.0,4.0,3,fallback
adj_ebitda_margin_pct,W1,2,2025Q1,4.547336566744603,5.684170708430754,4,split_conformal
adj_ebitda_margin_pct,W1,2,2025Q2,4.547336566744603,5.456803880093523,5,split_conformal
adj_ebitda_margin_pct,W1,2,2025Q3,4.547336566744603,5.30522599453537,6,split_conformal
adj_ebitda_margin_pct,W1,2,2025Q4,4.547336566744603,5.196956076279546,7,split_conformal
adj_ebitda_margin_pct,W1,2,2026Q1,4.547336566744603,5.115753637587678,8,split_conformal
adj_ebitda_margin_pct,W1,2,2026Q2,4.522924115091705,4.547336566744603,9,split_conformal
adj_ebitda_margin_pct,W2,0,2024Q1,3.0,4.0,0,fallback
adj_ebitda_margin_pct,W2,0,2024Q2,3.0,4.0,1,fallback
adj_ebitda_margin_pct,W2,0,2024Q3,3.0,4.0,2,fallback
