scenario,quarter,nights,adr,adr_fx,tr_rel,revfx,timing,sbc,da_pct,intinc,intexp,tax,bb,bb_price,rsu_net,fcf_conv,margin_chg
Literal,3Q26,10.0,3.0,0.3,0.0,3.0,-1.0523,10.0,0.65,170,31,18.0,1050,170.19,1.6,0.7,-0.6
Literal,4Q26,8.5,2.5,-0.4,0.0,-0.4,-0.5171,10.0,0.65,165,31,18.0,1050,172.2323,1.6,0.7,0.3467
Literal,1Q27,9.0,2.5,-0.4,0.0,-1.0,0.0,9.0,0.65,160,31,18.0,1050,174.2991,1.6,3.2,-0.0051
Literal,2Q27,9.0,2.5,0.0,0.0,-0.8,0.0,9.0,0.65,160,31,18.0,1050,176.3907,1.6,1.0,-0.0051
Literal,3Q27,9.0,2.5,0.7,0.0,-0.6,0.0,9.0,0.65,160,31,18.0,1050,178.5073,1.6,0.7,-0.0051
Literal,4Q27,9.0,2.5,0.0,0.0,-0.1,0.0,9.0,0.65,160,31,18.0,1050,180.6494,1.6,0.7,-0.0051
Delivered,3Q26,11.5,3.5,0.3,0.0,3.0,-1.1081,10.0,0.65,170,31,18.0,1050,170.19,1.6,0.7,-0.1
Delivered,4Q26,10.5,3.0,-0.4,0.0,-0.4,-0.6,10.0,0.65,165,31,18.0,1050,172.2323,1.6,0.7,2.5309
Delivered,1Q27,10.0,3.0,-0.4,0.0,-1.0,0.0,9.0,0.65,160,31,18.0,1050,174.2991,1.6,3.2,-0.0074
Delivered,2Q27,10.0,3.0,0.0,0.0,-0.8,0.0,9.0,0.65,160,31,18.0,1050,176.3907,1.6,1.0,-0.0074
Delivered,3Q27,10.0,3.0,0.7,0.0,-0.6,0.0,9.0,0.65,160,31,18.0,1050,178.5073,1.6,0.7,-0.0074
Delivered,4Q27,10.0,3.0,0.0,0.0,-0.1,0.0,9.0,0.65,160,31,18.0,1050,180.6494,1.6,0.7,-0.0074
Ambition,3Q26,12.5,4.0,0.3,0.0,3.0,-1.1,10.0,0.65,170,31,18.0,1050,170.19,1.6,0.7,0.3
Ambition,4Q26,12.0,3.5,-0.4,0.0,-0.4,-0.6,10.0,0.65,165,31,18.0,1050,172.2323,1.6,0.7,3.077
Ambition,1Q27,12.0,3.0,-0.4,1.5,-1.0,0.5,8.0,0.65,160,31,18.0,1050,174.2991,1.6,3.2,0.4921
Ambition,2Q27,12.0,3.0,0.0,1.5,-0.8,0.5,8.0,0.65,160,31,18.0,1050,176.3907,1.6,1.0,0.4921
Ambition,3Q27,12.0,3.0,0.7,1.5,-0.6,0.5,8.0,0.65,160,31,18.0,1050,178.5073,1.6,0.7,0.4921
Ambition,4Q27,12.0,3.0,0.0,1.5,-0.1,0.5,8.0,0.65,160,31,18.0,1050,180.6494,1.6,0.7,0.4921
