scenario,period,nights_m,gbv_musd,adr_usd,revenue_musd,take_rate_pct,adj_ebitda_musd,adj_ebitda_margin_pct,sbc_musd,net_income_musd,diluted_shares_m,eps_gaap,fcf_musd,net_cash_musd
Literal,3Q26,146.96,26014.446,177.017,4730.0,18.182,2340.663,49.485,438.9,1648.215,592.43,2.782,1638.464,10027.849
Literal,4Q26,132.262,22596.601,170.848,3061.15,13.547,876.726,28.64,440.0,451.679,587.934,0.768,613.708,9437.557
Literal,1Q27,170.258,32478.739,190.762,2962.076,9.12,573.903,19.375,446.9,194.134,583.51,0.333,1836.488,10067.63
Literal,2Q27,161.647,30441.711,188.322,3998.79,13.136,1397.377,34.945,530.83,795.035,579.157,1.373,1397.377,10229.216
Literal,3Q27,160.186,29268.092,182.713,5252.885,17.947,2599.146,49.48,478.401,1816.793,574.875,3.16,1819.402,10831.178
Literal,4Q27,144.165,25246.052,175.119,3416.65,13.533,978.367,28.635,479.6,496.558,570.663,0.87,684.857,10298.175
Literal,FY25,533.0,91292.0,171.28,12241.0,13.409,4297.0,35.103,1581.0,2511.0,623.0,4.03,4613.0,11014.0
Literal,FY26,583.722,105045.047,179.957,14077.15,13.401,4997.388,35.5,1775.9,3075.894,596.341,5.158,5209.172,9437.557
Literal,FY27,636.256,117434.594,184.571,15630.4,13.31,5548.792,35.5,1935.731,3302.52,577.051,5.723,5738.124,10298.175
Delivered,3Q26,148.964,26497.194,177.876,4815.14,18.172,2406.87,49.985,438.9,1702.051,592.43,2.873,1684.809,10074.194
Delivered,4Q26,134.7,23125.387,171.681,3130.163,13.536,964.861,30.825,440.0,523.582,587.934,0.891,675.403,9545.597
Delivered,1Q27,171.82,32936.596,191.692,3003.832,9.12,581.924,19.373,446.9,200.489,583.51,0.344,1862.155,10201.338
Delivered,2Q27,163.13,30870.851,189.241,4055.161,13.136,1416.982,34.943,530.83,810.811,579.157,1.4,1416.982,10382.529
Delivered,3Q27,163.86,30231.47,184.495,5422.82,17.938,2710.219,49.978,478.401,1906.967,574.875,3.317,1897.154,11062.242
Delivered,4Q27,148.169,26201.063,176.832,3542.928,13.522,1091.831,30.817,479.6,588.926,570.663,1.032,764.282,10608.664
Delivered,FY25,533.0,91292.0,171.28,12241.0,13.409,4297.0,35.103,1581.0,2511.0,623.0,4.03,4613.0,11014.0
Delivered,FY26,588.164,106056.581,180.318,14231.303,13.419,5151.732,36.2,1775.9,3201.633,596.341,5.369,5317.212,9545.597
Delivered,FY27,646.98,120239.98,185.848,16024.742,13.327,5800.957,36.2,1935.731,3507.193,577.051,6.078,5940.573,10608.664
Ambition,3Q26,150.3,26863.991,178.736,4882.182,18.174,2459.91,50.385,438.9,1745.186,592.43,2.946,1721.937,10111.322
Ambition,4Q26,136.528,23553.089,172.515,3188.055,13.536,1000.116,31.371,440.0,552.183,587.934,0.939,700.081,9607.404
Ambition,1Q27,174.944,33535.443,191.692,3120.003,9.304,620.015,19.872,442.8,234.467,583.51,0.402,1984.049,10386.472
Ambition,2Q27,166.096,31432.139,189.241,4211.948,13.4,1492.809,35.442,525.96,876.146,579.157,1.513,1492.809,10645.195
Ambition,3Q27,168.336,31207.232,185.387,5710.85,18.3,2905.543,50.878,474.012,2069.197,574.875,3.599,2033.88,11463.171
Ambition,4Q27,152.911,27170.844,177.69,3747.838,13.794,1194.169,31.863,475.2,675.358,570.663,1.183,835.918,11082.769
Ambition,FY25,533.0,91292.0,171.28,12241.0,13.409,4297.0,35.103,1581.0,2511.0,623.0,4.03,4613.0,11014.0
Ambition,FY26,591.328,106851.08,180.697,14356.237,13.436,5240.026,36.5,1775.9,3273.369,596.341,5.489,5379.019,9607.404
Ambition,FY27,662.287,123345.658,186.242,16790.638,13.613,6212.536,37.0,1917.972,3855.168,577.051,6.681,6346.656,11082.769
