lens,Literal,Delivered,Ambition
EV / FY27E adj. EBITDA x Low,149.31226906877504,155.8216988568539,166.38887596333066
EV / FY27E adj. EBITDA x Mid,178.4825502854086,186.31761272779727,199.04843425822637
EV / FY27E adj. EBITDA x High,197.92940442983095,206.64822197509284,220.8214731214902
P / FY27E GAAP EPS x Low,125.90829479718462,133.7113821864731,146.97761048837495
P / FY27E GAAP EPS x Mid,154.5238163419993,164.1003326833988,180.38161287209653
P / FY27E GAAP EPS x High,171.69312926888813,182.3337029815542,200.42401430232948
EV / FY27E FCF x Low,158.8188411677495,164.32958280989243,175.12245008851238
EV / FY27E FCF x Mid,188.9844492192835,195.55947488966754,208.4870757568436
EV / FY27E FCF x High,219.1500572708175,226.78936696944263,241.85170142517487
Average of the three mid multiples,173.99693861556378,181.9924734336212,195.97237429572218
Average of all nine cells,171.64475687221525,179.5123751200192,193.27813869737543
