scenario,period,line,excel,python,diff
Literal,3Q26,nights,146.96,146.96,0.0
Literal,3Q26,gbv,26014.445907999998,26014.445907999998,0.0
Literal,3Q26,adr,177.01718772455087,177.01718772455087,0.0
Literal,3Q26,rev,4730.001170895,4730.0,0.0011708949996318552
Literal,3Q26,take,18.18220994451557,18.18220544357404,4.500941528817748e-06
Literal,3Q26,margin,49.485470085470084,49.485470085470084,0.0
Literal,3Q26,ebitda,2340.66331446563,2340.662735042735,0.000579422894588788
Literal,3Q26,sbc,438.90000000000003,438.90000000000003,0.0
Literal,3Q26,da,30.745007610817495,30.745,7.610817494452249e-06
Literal,3Q26,opinc,1871.0183068548122,1871.0177350427352,0.0005718120769415691
Literal,3Q26,pretax,2010.0183068548122,2010.0177350427352,0.0005718120769415691
Literal,3Q26,tax,361.8032952338662,361.80319230769237,0.00010292617383811375
Literal,3Q26,ni,1648.215011620946,1648.2145427350429,0.00046888590304661193
Literal,3Q26,sh,592.4304248193196,592.4304248193196,0.0
Literal,3Q26,eps,2.7821241829766277,2.7821233915150763,7.914615514081902e-07
Literal,3Q26,fcf,1638.4643201259407,1638.4639145299145,0.00040559602621215163
Literal,3Q26,netcash,10027.84932012594,10027.848914529915,0.0004055960253026569
Literal,4Q26,nights,132.2615,132.2615,0.0
Literal,4Q26,gbv,22596.600599999998,22596.600599999998,0.0
Literal,4Q26,adr,170.84790812141097,170.84790812141097,0.0
Literal,4Q26,rev,3061.1495991142497,3061.1499999999996,-0.0004008857499684382
Literal,4Q26,take,13.546947407276164,13.546949181373769,-1.774097604823055e-06
Literal,4Q26,margin,28.64043650107991,28.640397071599395,3.942948051616213e-05
Literal,4Q26,ebitda,876.7266071373789,876.7255149572647,0.0010921801141421383
Literal,4Q26,sbc,440.00000000000006,440.00000000000006,0.0
Literal,4Q26,da,19.897472394242623,19.897474999999996,-2.605757373430606e-06
Literal,4Q26,opinc,416.8291347431362,416.8280399572647,0.0010947858714871472
Literal,4Q26,pretax,550.8291347431361,550.8280399572648,0.0010947858713734604
Literal,4Q26,tax,99.1492442537645,99.14904719230766,0.00019706145683073828
Literal,4Q26,ni,451.67989048937164,451.6789927649571,0.0008977244145285113
Literal,4Q26,sh,587.9340073645217,587.9340066565919,7.079297574819066e-07
Literal,4Q26,eps,0.7682493015059224,0.7682477755173969,1.5259885255414218e-06
Literal,4Q26,fcf,613.7086249961652,613.7078604700853,0.0007645260799336029
Literal,4Q26,netcash,9437.557945122106,9437.556775000001,0.0011701221046678256
Literal,1Q27,nights,170.258,170.258,0.0
Literal,1Q27,gbv,32478.739047,32478.739047,0.0
Literal,1Q27,adr,190.76189692701664,190.76189692701664,0.0
Literal,1Q27,rev,2962.075545,2962.075545,0.0
Literal,1Q27,take,9.120044779797576,9.120044779797576,0.0
