quarter,region,basis,variant,nights_share_of_region_in_global,nights_share_label,pre_existing_single_fee_share,migrated_tranche1_share,migrated_tranche2_share,migrated_split_to_single_share,total_single_fee_share,migrated_share_yoy_change,pre_existing_share_yoy_change,pre_existing_fee_step_in_yoy_window,step_label,label
1Q23,apac,listings,central,0.11709988290011711,sourced (04 regional shares),0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q23,apac,listings,central,0.09986509986509987,sourced (04 regional shares),0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q23,apac,listings,central,0.129967,sourced (04 regional shares),0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
4Q23,apac,listings,central,0.10764310764310765,sourced (04 regional shares),0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
1Q24,apac,listings,central,0.12851800000000002,sourced (04 regional shares),0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q24,apac,listings,central,0.108459,sourced (04 regional shares),0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
3Q24,apac,listings,central,0.14105114105114105,sourced (04 regional shares),0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
4Q24,apac,listings,central,0.117182,sourced (04 regional shares),0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
1Q25,apac,listings,central,0.136662,sourced (04 regional shares),0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
2Q25,apac,listings,central,0.116163,sourced (04 regional shares),0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,"pre-migration: pre-existing cohort only (sourced dates, assumed level)","assumed level, sourced dates (no migration in window)"
