scenario,quarter,residual_pp,band_low_pp,band_high_pp,delta_vs_card_v2_residual_pp,basis,label,knowable_before_print
"cohort model, fitted (central, b 0.114)",3Q26,7.645,,,3.035,2023-25 mean 2.40 + b * y/y migrated nights share 46.0 pp,"assumed: extrapolates the fitted 1H26 relation; b is 3 to 7x the fee mechanics, so this is the reductio, not a forecast",share yes; b fitted on 4Q25-2Q26
"cohort model, fitted (central, b 0.114)",4Q26,10.951,,,6.341,2023-25 mean 2.40 + b * y/y migrated nights share 75.0 pp,"assumed: extrapolates the fitted 1H26 relation; b is 3 to 7x the fee mechanics, so this is the reductio, not a forecast",share yes; b fitted on 4Q25-2Q26
"cohort model, fitted (low_migrant, b 0.262)",3Q26,10.035,,,5.425,2023-25 mean 2.40 + b * y/y migrated nights share 29.1 pp,"assumed: extrapolates the fitted 1H26 relation; b is 3 to 7x the fee mechanics, so this is the reductio, not a forecast",share yes; b fitted on 4Q25-2Q26
"cohort model, fitted (low_migrant, b 0.262)",4Q26,19.888,,,15.278,2023-25 mean 2.40 + b * y/y migrated nights share 66.7 pp,"assumed: extrapolates the fitted 1H26 relation; b is 3 to 7x the fee mechanics, so this is the reductio, not a forecast",share yes; b fitted on 4Q25-2Q26
"cohort model, fitted (high_migrant, b 0.060)",3Q26,6.514,,,1.904,2023-25 mean 2.40 + b * y/y migrated nights share 69.1 pp,"assumed: extrapolates the fitted 1H26 relation; b is 3 to 7x the fee mechanics, so this is the reductio, not a forecast",share yes; b fitted on 4Q25-2Q26
"cohort model, fitted (high_migrant, b 0.060)",4Q26,6.962,,,2.352,2023-25 mean 2.40 + b * y/y migrated nights share 76.6 pp,"assumed: extrapolates the fitted 1H26 relation; b is 3 to 7x the fee mechanics, so this is the reductio, not a forecast",share yes; b fitted on 4Q25-2Q26
"cohort mechanics, central (last_q + 0.007 * change in y/y share)",3Q26,5.021,4.086,5.956,0.411,last_q 4.85 + 0.007 * 24.5 pp,rule on the pre-stated mechanics coefficient; the K3 primary rule,yes (share dated from disclosures before the print; base is the 2Q26 residual)
"cohort mechanics, central (last_q + 0.007 * change in y/y share)",4Q26,5.224,3.902,6.546,0.614,3Q26 value + 0.007 * 29.0 pp,chained on the 3Q26 rule value,yes
"cohort mechanics, high (last_q + 0.038 * change in y/y share)",3Q26,5.78,4.845,6.715,1.17,last_q 4.85 + 0.038 * 24.5 pp,rule at the top of the mechanics range,yes (share dated from disclosures before the print; base is the 2Q26 residual)
"cohort mechanics, high (last_q + 0.038 * change in y/y share)",4Q26,6.881,5.559,8.203,2.271,3Q26 value + 0.038 * 29.0 pp,chained on the 3Q26 rule value,yes
"lap only, residual steps",3Q26,3.933,2.998,4.867,-0.677,2Q26 residual 4.85 minus the 3Q25 step 0.92 (US RNPL live from 3Q25),"assumed: every residual change since 2Q25 is a permanent dated product step; scenario, not a forecast",yes
"lap only, residual steps",4Q26,3.056,1.734,4.378,-1.554,"3Q26 lap value minus the 4Q25 step 0.88 (cancellation redesign, fee tranche 1, global from Oct 2025)","assumed: as above; the 1Q26 and 2Q26 steps ({c_step:.2f}, {d_step:.2f}) stay in the y/y until 1H27",yes
"lap only, disclosed bundle ADR contribution",3Q26,4.849,3.914,5.784,0.239,2Q26 residual; the 3Q25 bundle contribution was not disclosed,"sourced dates, no 3Q25 figure",yes
"lap only, disclosed bundle ADR contribution",4Q26,3.849,2.527,5.171,-0.761,"2Q26 residual minus ~1.0 pp (4Q25 call: >200 bp nights, ~300 bp GBV, D014; the difference is an ADR contribution)","sourced (D014), the subtraction assumes the whole 4Q25 bundle ADR contribution laps in 4Q26 and nothing replaces it",yes
"lap + tranche 2, central",3Q26,4.104,3.169,5.039,-0.506,lap only + 0.007 * (y/y share 3Q26 46.0 - 2Q26 21.5),assumed: lap arithmetic plus the fee reprice on the cohort migrating after 2Q26 (15 Sep and 13 Oct deadlines),yes
"lap + tranche 2, central",4Q26,3.43,2.108,4.752,-1.18,lap only + 0.007 * (y/y share 4Q26 75.0 - 2Q26 21.5),as above,yes
"lap + tranche 2, high",3Q26,4.863,3.928,5.798,0.253,lap only + 0.038 * (y/y share 3Q26 46.0 - 2Q26 21.5),assumed: lap arithmetic plus the fee reprice on the cohort migrating after 2Q26 (15 Sep and 13 Oct deadlines),yes
"lap + tranche 2, high",4Q26,5.088,3.766,6.41,0.478,lap only + 0.038 * (y/y share 4Q26 75.0 - 2Q26 21.5),as above,yes
persistence (v2 rule),3Q26,4.615,3.68,5.55,0.005,mean of 1Q26 and 2Q26,rule,yes
persistence (v2 rule),4Q26,4.615,3.293,5.937,0.005,same,rule,yes
last_q (v3 rule),3Q26,4.849,3.914,5.784,0.239,2Q26 residual,rule,yes
last_q (v3 rule),4Q26,4.849,3.527,6.171,0.239,same,rule,yes
mean reversion,3Q26,2.398,2.039,2.925,-2.212,"2023-25 mean, interquartile band",rule,yes
mean reversion,4Q26,2.398,2.039,2.925,-2.212,same,rule,yes
AR(1) on the residual,3Q26,4.374,3.439,5.309,-0.236,"rho 0.747, const 0.750, fitted 1Q23-2Q26",rule,yes
AR(1) on the residual,4Q26,4.019,2.697,5.341,-0.591,iterated,rule,yes
