model,v3_preregistered_pass,n_checks_met,beats_last_q_ratio_all_4,beats_last_q_jackknife_all_4,n_of_4_beating_last_q_ratio,K_criterion_met,primary_rule_nudged_quarters,primary_rule_quarters_helped,primary_rule_sign_test_p
last_q,PASS,4,False,False,0,False,4,4,0.0625
persistence,FAIL,2,False,False,0,False,4,4,0.0625
mean_pre_migration,FAIL,0,False,False,0,False,4,4,0.0625
mean_all_prior,FAIL,0,False,False,0,False,4,4,0.0625
K_mech_central__central,PASS,4,True,True,4,True,4,4,0.0625
K_mech_high__central,PASS,4,True,False,4,True,4,4,0.0625
K_level_mech__central,FAIL,0,False,False,0,False,4,4,0.0625
K_level_high__central,FAIL,2,False,False,2,False,4,4,0.0625
K_fitted_wf__central,PASS,4,False,False,2,False,4,4,0.0625
K_level_fitted__central,PASS,4,True,True,4,True,4,4,0.0625
K_mech_central__high_migrant,PASS,4,True,True,4,True,4,4,0.0625
K_mech_high__high_migrant,PASS,4,False,False,2,False,4,4,0.0625
K_level_mech__high_migrant,FAIL,0,False,False,0,False,4,4,0.0625
K_level_high__high_migrant,PASS,4,True,True,4,True,4,4,0.0625
K_fitted_wf__high_migrant,PASS,4,False,False,2,False,4,4,0.0625
K_level_fitted__high_migrant,PASS,4,True,True,4,True,4,4,0.0625
K_mech_central__low_migrant,PASS,4,True,True,4,True,4,4,0.0625
K_mech_high__low_migrant,PASS,4,True,True,4,True,4,4,0.0625
K_level_mech__low_migrant,FAIL,0,False,False,0,False,4,4,0.0625
K_level_high__low_migrant,FAIL,0,False,False,0,False,4,4,0.0625
K_fitted_wf__low_migrant,FAIL,2,False,False,2,False,4,4,0.0625
K_level_fitted__low_migrant,PASS,4,True,True,4,True,4,4,0.0625
