model,target,fx_estimator,window,n,rmse_pp,rmse_naive_pp,ratio_vs_naive,jackknife_ratio_min,jackknife_ratio_max,jackknife_below_1,ratio_below_1,jackknife_max_below_1,criterion_met,in_pass_criterion,verdict
last_q,t2_reported_usd_yoy,eur,1Q24-2Q26,10,1.0985575506035294,1.19884558755992,0.9163461600083855,0.8711227851703462,0.9688631182720406,10,True,True,True,True,PASS
last_q,t2_reported_usd_yoy,eur,2Q24-2Q26,9,0.9351702750398454,1.0329163412900277,0.9053688451398634,0.8256152996553161,0.9890838423327626,9,True,True,True,True,PASS
last_q,t2_reported_usd_yoy,baskets,1Q24-2Q26,10,0.8312997662083166,0.9485339053872491,0.8764049039121374,0.7856711026392679,0.9180234624270853,10,True,True,True,True,PASS
last_q,t2_reported_usd_yoy,baskets,2Q24-2Q26,9,0.7829013907288721,0.8984669423654158,0.8713747315707672,0.7459454629941498,0.9236529428212884,9,True,True,True,True,PASS
last_q,t1_exfx_integer_fair,none,1Q24-2Q26,10,0.8944271909999159,0.9082951062292475,0.9847319278346619,0.9211323729436766,1.0801234497346435,8,True,False,False,False,PASS
last_q,t2_reported_usd_yoy,midpoint,1Q24-2Q26,10,0.9320350699641158,1.043177372856859,0.8934579048734853,0.8249446414398767,0.9445747684183187,10,True,True,True,False,PASS
last_q,t1_exfx_integer_fair,none,2Q24-2Q26,9,0.8819171036881969,0.816496580927726,1.0801234497346435,1.0,1.1832159566199232,0,False,False,False,False,PASS
last_q,t2_reported_usd_yoy,midpoint,2Q24-2Q26,9,0.8218854265349521,0.932113805392135,0.8817436473748929,0.768315026214756,0.9552389440855495,9,True,True,True,False,PASS
persistence,t2_reported_usd_yoy,eur,1Q24-2Q26,10,1.1780818393084824,1.19884558755992,0.9826802146440734,0.9022370374243972,1.021768699869946,5,True,False,False,True,FAIL
persistence,t2_reported_usd_yoy,eur,2Q24-2Q26,9,1.0554015871143332,1.0329163412900277,1.021768699869946,0.9042062140013063,1.0874808219463599,3,False,False,False,True,FAIL
persistence,t2_reported_usd_yoy,baskets,1Q24-2Q26,10,0.8458300627380255,0.9485339053872491,0.8917235935732907,0.7840512066103551,0.949070677077309,10,True,True,True,True,FAIL
persistence,t2_reported_usd_yoy,baskets,2Q24-2Q26,9,0.8134258848810607,0.8984669423654158,0.9053487073653869,0.7710428395188791,0.9899896507100449,9,True,True,True,True,FAIL
persistence,t1_exfx_integer_fair,none,1Q24-2Q26,10,1.0488088481701516,0.9082951062292475,1.1547005383792517,0.982607368881035,1.2909944487358056,1,False,False,False,False,FAIL
persistence,t2_reported_usd_yoy,midpoint,1Q24-2Q26,10,0.9855952681349148,1.043177372856859,0.9448012330211409,0.8458091506971971,0.9961966716586511,10,True,True,True,False,FAIL
persistence,t1_exfx_integer_fair,none,2Q24-2Q26,9,1.0540925533894598,0.816496580927726,1.2909944487358056,1.0954451150103321,1.414213562373095,0,False,False,False,False,FAIL
persistence,t2_reported_usd_yoy,midpoint,2Q24-2Q26,9,0.9052754989658585,0.932113805392135,0.9712070497496968,0.8329883558425417,1.0578648435076163,6,True,False,False,False,FAIL
mean_pre_migration,t2_reported_usd_yoy,eur,1Q24-2Q26,10,1.4087635413222839,1.19884558755992,1.1751000762238464,0.874384862816755,1.4055703772707016,1,False,False,False,True,FAIL
mean_pre_migration,t2_reported_usd_yoy,eur,2Q24-2Q26,9,1.451836611516097,1.0329163412900277,1.4055703772707016,1.0341211907341494,1.5749905274682259,0,False,False,False,True,FAIL
mean_pre_migration,t2_reported_usd_yoy,baskets,1Q24-2Q26,10,1.024085557506986,0.9485339053872491,1.079650976829228,0.8742575210497009,1.220275472396367,2,False,False,False,True,FAIL
mean_pre_migration,t2_reported_usd_yoy,baskets,2Q24-2Q26,9,1.0792445082828523,0.8984669423654158,1.201206697089488,0.9746181436502532,1.433646541244285,1,False,False,False,True,FAIL
mean_pre_migration,t1_exfx_integer_fair,none,1Q24-2Q26,10,1.0954451150103321,0.9082951062292475,1.2060453783110545,0.9847319278346619,1.414213562373095,1,False,False,False,False,FAIL
mean_pre_migration,t2_reported_usd_yoy,midpoint,1Q24-2Q26,10,1.1985108874043022,1.043177372856859,1.1489042214576077,0.8681780874005525,1.3434200066523365,1,False,False,False,False,FAIL
mean_pre_migration,t1_exfx_integer_fair,none,2Q24-2Q26,9,1.1547005383792515,0.816496580927726,1.414213562373095,1.1547005383792517,1.5491933384829666,0,False,False,False,False,FAIL
mean_pre_migration,t2_reported_usd_yoy,midpoint,2Q24-2Q26,9,1.2522203346406366,0.932113805392135,1.3434200066523365,1.0087700115689298,1.547086175975453,0,False,False,False,False,FAIL
mean_all_prior,t2_reported_usd_yoy,eur,1Q24-2Q26,10,1.307324084329495,1.19884558755992,1.0904857955813707,0.8371056338986109,1.299498676950508,1,False,False,False,True,FAIL
mean_all_prior,t2_reported_usd_yoy,eur,2Q24-2Q26,9,1.3422734189069503,1.0329163412900277,1.299498676950508,0.9859633093130761,1.4533704680852315,1,False,False,False,True,FAIL
mean_all_prior,t2_reported_usd_yoy,baskets,1Q24-2Q26,10,0.9298064047522433,0.9485339053872491,0.980256371935002,0.8282440032049706,1.0934638000355457,6,True,False,False,True,FAIL
mean_all_prior,t2_reported_usd_yoy,baskets,2Q24-2Q26,9,0.9798415739386561,0.8984669423654158,1.090570534914733,0.9232866276964616,1.2845837394442847,2,False,False,False,True,FAIL
mean_all_prior,t1_exfx_integer_fair,none,1Q24-2Q26,10,1.0954451150103321,0.9082951062292475,1.2060453783110545,0.9847319278346619,1.414213562373095,1,False,False,False,False,FAIL
mean_all_prior,t2_reported_usd_yoy,midpoint,1Q24-2Q26,10,1.098436835185857,1.043177372856859,1.0529722593365536,0.8252909618916445,1.229151995685424,2,False,False,False,False,FAIL
mean_all_prior,t1_exfx_integer_fair,none,2Q24-2Q26,9,1.1547005383792515,0.816496580927726,1.414213562373095,1.1547005383792517,1.5491933384829666,0,False,False,False,False,FAIL
mean_all_prior,t2_reported_usd_yoy,midpoint,2Q24-2Q26,9,1.1457095441036775,0.932113805392135,1.229151995685424,0.9573133218474651,1.4064842088157818,1,False,False,False,False,FAIL
K_mech_central__central,t2_reported_usd_yoy,eur,1Q24-2Q26,10,1.092851439424382,1.19884558755992,0.9115864885057683,0.8652443504665869,0.965831101060765,10,True,True,True,True,PASS
K_mech_central__central,t2_reported_usd_yoy,eur,2Q24-2Q26,9,0.9277120456323404,1.0329163412900277,0.8981482899899756,0.8154292577730794,0.9841075927975478,9,True,True,True,True,PASS
K_mech_central__central,t2_reported_usd_yoy,baskets,1Q24-2Q26,10,0.8285439882455607,0.9485339053872491,0.8734996013740792,0.7815455452747135,0.9162763568016818,10,True,True,True,True,PASS
K_mech_central__central,t2_reported_usd_yoy,baskets,2Q24-2Q26,9,0.7796487585263706,0.8984669423654158,0.8677545291469159,0.7401843922672254,0.9214397064529756,9,True,True,True,True,PASS
K_mech_central__central,t1_exfx_integer_fair,none,1Q24-2Q26,10,0.8944271909999159,0.9082951062292475,0.9847319278346619,0.9211323729436766,1.0801234497346435,8,True,False,False,False,PASS
K_mech_central__central,t2_reported_usd_yoy,midpoint,1Q24-2Q26,10,0.9274427634926596,1.043177372856859,0.8890556751176005,0.8190830562864192,0.9418411323841014,10,True,True,True,False,PASS
K_mech_central__central,t1_exfx_integer_fair,none,2Q24-2Q26,9,0.8819171036881969,0.816496580927726,1.0801234497346435,1.0,1.1832159566199232,0,False,False,False,False,PASS
K_mech_central__central,t2_reported_usd_yoy,midpoint,2Q24-2Q26,9,0.8160928574803329,0.932113805392135,0.8755292033648265,0.7586709482841372,0.9511928224882986,9,True,True,True,False,PASS
K_mech_high__central,t2_reported_usd_yoy,eur,1Q24-2Q26,10,1.0777248407587838,1.19884558755992,0.8989688513199934,0.84961549068721,0.96133960587929,10,True,True,True,True,PASS
K_mech_high__central,t2_reported_usd_yoy,eur,2Q24-2Q26,9,0.9078370138759059,1.0329163412900277,0.8789066234948825,0.7880568309654158,0.9767183582300696,9,True,True,True,True,PASS
K_mech_high__central,t2_reported_usd_yoy,baskets,1Q24-2Q26,10,0.8299225494617304,0.9485339053872491,0.8749529613523995,0.7836103329907373,0.9224287511349172,10,True,True,True,True,PASS
K_mech_high__central,t2_reported_usd_yoy,baskets,2Q24-2Q26,9,0.781276210690445,0.8984669423654158,0.8695658948047216,0.743069525011838,0.9292287496912294,9,True,True,True,True,PASS
K_mech_high__central,t1_exfx_integer_fair,none,1Q24-2Q26,10,0.8366600265340756,0.9082951062292475,0.9211323729436767,0.8528028654224418,1.0,9,True,False,False,False,PASS
K_mech_high__central,t2_reported_usd_yoy,midpoint,1Q24-2Q26,10,0.919171643517576,1.043177372856859,0.8811268988708226,0.8084929185373844,0.941509968328364,10,True,True,True,False,PASS
K_mech_high__central,t1_exfx_integer_fair,none,2Q24-2Q26,9,0.816496580927726,0.816496580927726,1.0,0.912870929175277,1.0954451150103321,2,False,False,False,False,PASS
K_mech_high__central,t2_reported_usd_yoy,midpoint,2Q24-2Q26,9,0.805628276232817,0.932113805392135,0.8643024827787995,0.741108419239262,0.9507022875127097,9,True,True,True,False,PASS
K_level_mech__central,t2_reported_usd_yoy,eur,1Q24-2Q26,10,1.352233101160513,1.19884558755992,1.1279460133917594,0.8463868489176254,1.3465074832696484,1,False,False,False,True,FAIL
K_level_mech__central,t2_reported_usd_yoy,eur,2Q24-2Q26,9,1.3908295831385284,1.0329163412900277,1.3465074832696484,0.9979716797148602,1.50729857559204,1,False,False,False,True,FAIL
K_level_mech__central,t2_reported_usd_yoy,baskets,1Q24-2Q26,10,0.9680157111986368,0.9485339053872491,1.0205388607626356,0.8373757468305365,1.1452762567599764,2,False,False,False,True,FAIL
K_level_mech__central,t2_reported_usd_yoy,baskets,2Q24-2Q26,9,1.020128001677477,0.8984669423654158,1.135409611166952,0.9334739308680902,1.34548861180835,1,False,False,False,True,FAIL
K_level_mech__central,t1_exfx_integer_fair,none,1Q24-2Q26,10,1.0954451150103321,0.9082951062292475,1.2060453783110545,0.9847319278346619,1.414213562373095,1,False,False,False,False,FAIL
K_level_mech__central,t2_reported_usd_yoy,midpoint,1Q24-2Q26,10,1.141288641624366,1.043177372856859,1.0940504187689752,0.8350286402310382,1.278105589582584,2,False,False,False,False,FAIL
K_level_mech__central,t1_exfx_integer_fair,none,2Q24-2Q26,9,1.1547005383792515,0.816496580927726,1.414213562373095,1.1547005383792517,1.5491933384829666,0,False,False,False,False,FAIL
K_level_mech__central,t2_reported_usd_yoy,midpoint,2Q24-2Q26,9,1.1913398647987805,0.932113805392135,1.278105589582584,0.9690045123629312,1.4669965518422583,1,False,False,False,False,FAIL
