model_name,quarter,target,fx_estimator,fx_est_pp,naive_exfx_pp,actual,naive,prior_year,ar1,last_q,persistence,mean_pre_migration,mean_all_prior,K_mech_central__central,K_mech_high__central,K_level_mech__central,K_level_high__central,K_fitted_wf__central,K_level_fitted__central,K_mech_central__high_migrant,K_mech_high__high_migrant,K_level_mech__high_migrant,K_level_high__high_migrant,K_fitted_wf__high_migrant,K_level_fitted__high_migrant,K_mech_central__low_migrant,K_mech_high__low_migrant,K_level_mech__low_migrant,K_level_high__low_migrant,K_fitted_wf__low_migrant,K_level_fitted__low_migrant
last_q,1Q24,t1_exfx_integer_fair,none,,0.5,2.0,0.5,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
last_q,2Q24,t1_exfx_integer_fair,none,,2.0,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
last_q,3Q24,t1_exfx_integer_fair,none,,3.0,2.0,3.0,0.5,2.0,3.0,,,,,,,,,,,,,,,,,,,,,
last_q,4Q24,t1_exfx_integer_fair,none,,2.0,2.0,2.0,0.5,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
last_q,1Q25,t1_exfx_integer_fair,none,,2.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
last_q,2Q25,t1_exfx_integer_fair,none,,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
last_q,3Q25,t1_exfx_integer_fair,none,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
last_q,4Q25,t1_exfx_integer_fair,none,,2.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
last_q,1Q26,t1_exfx_integer_fair,none,,3.0,4.0,3.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,
last_q,2Q26,t1_exfx_integer_fair,none,,4.0,4.0,4.0,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,
last_q,1Q24,t2_reported_usd_yoy,eur,-0.042,0.5,2.642047141245607,0.458,0.2141964657583317,2.7039855689709773,0.5932924145842234,,,,,,,,,,,,,,,,,,,,,
last_q,2Q24,t2_reported_usd_yoy,eur,-1.076,2.0,2.120354195530405,0.9239999999999999,1.3863442042262086,2.7074837429817324,1.0025044076231429,,,,,,,,,,,,,,,,,,,,,
last_q,3Q24,t2_reported_usd_yoy,eur,-0.143,3.0,1.40042136572065,2.857,3.1577601636410213,2.4080490365124456,3.0652918270183953,,,,,,,,,,,,,,,,,,,,,
last_q,4Q24,t2_reported_usd_yoy,eur,-0.96,2.0,0.8932559178204569,1.04,2.565277141548328,2.061066374731592,0.42004831974471646,,,,,,,,,,,,,,,,,,,,,
last_q,1Q25,t2_reported_usd_yoy,eur,-1.915,2.0,-0.8907913003239232,0.08499999999999996,2.642047141245607,1.6632234885320747,-0.20785475339167658,,,,,,,,,,,,,,,,,,,,,
last_q,2Q25,t2_reported_usd_yoy,eur,1.844,1.0,2.9198371969562764,2.8440000000000003,2.120354195530405,-0.1768721791886224,3.3480246927504576,,,,,,,,,,,,,,,,,,,,,
last_q,3Q25,t2_reported_usd_yoy,eur,2.301,1.0,4.674896113419713,3.301,1.40042136572065,1.9813176454513266,3.5626053406535707,,,,,,,,,,,,,,,,,,,,,
last_q,4Q25,t2_reported_usd_yoy,eur,3.549,2.0,5.931828242585202,5.5489999999999995,0.8932559178204569,3.1652879033478962,5.850751797614764,,,,,,,,,,,,,,,,,,,,,
last_q,1Q26,t2_reported_usd_yoy,eur,4.446,3.0,9.0346679117544,7.446,-0.8907913003239232,5.166274534669446,8.061937140810134,,,,,,,,,,,,,,,,,,,,,
last_q,2Q26,t2_reported_usd_yoy,eur,0.586,4.0,5.30146721687299,4.586,2.9198371969562764,10.120127522713869,4.4149754835678205,,,,,,,,,,,,,,,,,,,,,
last_q,1Q24,t2_reported_usd_yoy,baskets,0.826,0.5,2.642047141245607,1.326,0.2141964657583317,2.7039855689709773,1.4612924145842234,,,,,,,,,,,,,,,,,,,,,
last_q,2Q24,t2_reported_usd_yoy,baskets,-0.661,2.0,2.120354195530405,1.339,1.3863442042262086,2.7074837429817324,1.417504407623143,,,,,,,,,,,,,,,,,,,,,
last_q,3Q24,t2_reported_usd_yoy,baskets,-0.213,3.0,1.40042136572065,2.787,3.1577601636410213,2.4080490365124456,2.995291827018395,,,,,,,,,,,,,,,,,,,,,
