cohort,guest_fee_assumption,guest_fee_pct_of_subtotal,case,listed_price_index,guest_paid_old,cohort_adr_effect_pct,residual_pp_per_pp_of_yoy_cohort_share,label,recorded_at
split -> single 15.5%,low,0.139,no reprice (listed price unchanged),100.0,113.9,-12.204,-0.12204,descriptive arithmetic on sourced fee rates,2026-09-11 21:56:17
split -> single 15.5%,low,0.139,half pass-through,107.396,113.9,-5.71,-0.0571,descriptive arithmetic on sourced fee rates,2026-09-11 21:56:17
split -> single 15.5%,low,0.139,payout neutral (+14.8% listed),114.793,113.9,0.784,0.00784,descriptive arithmetic on sourced fee rates,2026-09-11 21:56:17
split -> single 15.5%,low,0.139,"full over-reprice (+18.34% listed, host-forum advice)",118.34,113.9,3.898,0.03898,descriptive arithmetic on sourced fee rates,2026-09-11 21:56:17
split -> single 15.5%,central,0.14,no reprice (listed price unchanged),100.0,114.0,-12.281,-0.12281,descriptive arithmetic on sourced fee rates,2026-09-11 21:56:17
split -> single 15.5%,central,0.14,half pass-through,107.396,114.0,-5.793,-0.05793,descriptive arithmetic on sourced fee rates,2026-09-11 21:56:17
split -> single 15.5%,central,0.14,payout neutral (+14.8% listed),114.793,114.0,0.696,0.00696,descriptive arithmetic on sourced fee rates,2026-09-11 21:56:17
split -> single 15.5%,central,0.14,"full over-reprice (+18.34% listed, host-forum advice)",118.34,114.0,3.807,0.03807,descriptive arithmetic on sourced fee rates,2026-09-11 21:56:17
split -> single 15.5%,high,0.142,no reprice (listed price unchanged),100.0,114.2,-12.434,-0.12434,descriptive arithmetic on sourced fee rates,2026-09-11 21:56:17
split -> single 15.5%,high,0.142,half pass-through,107.396,114.2,-5.958,-0.05958,descriptive arithmetic on sourced fee rates,2026-09-11 21:56:17
split -> single 15.5%,high,0.142,payout neutral (+14.8% listed),114.793,114.2,0.519,0.00519,descriptive arithmetic on sourced fee rates,2026-09-11 21:56:17
split -> single 15.5%,high,0.142,"full over-reprice (+18.34% listed, host-forum advice)",118.34,114.2,3.625,0.03625,descriptive arithmetic on sourced fee rates,2026-09-11 21:56:17
pre-existing single 15% -> 15.5% (1 Dec 2025),n/a,0.0,no reprice,100.0,100.0,0.0,0.0,descriptive arithmetic on sourced fee rates,2026-09-11 21:56:17
pre-existing single 15% -> 15.5% (1 Dec 2025),n/a,0.0,payout neutral,100.592,100.0,0.592,0.00592,descriptive arithmetic on sourced fee rates,2026-09-11 21:56:17
"H card fee-migration increment, 3Q26, low",n/a,0.0,H table 2.3 low -0.30 pp over a 0.225 penetration rise,,,-133.333,-0.01333,"sourced (H note section 4, note 12 bounds)",2026-09-11 21:56:17
"H card fee-migration increment, 3Q26, point",n/a,0.0,H table 2.3 point +0.16 pp over a 0.225 penetration rise,,,71.111,0.00711,"sourced (H note section 4, note 12 bounds)",2026-09-11 21:56:17
"H card fee-migration increment, 3Q26, high",n/a,0.0,H table 2.3 high +0.85 pp over a 0.225 penetration rise,,,377.778,0.03778,"sourced (H note section 4, note 12 bounds)",2026-09-11 21:56:17
"H card fee-migration increment, 4Q26, low",n/a,0.0,H table 2.3 low -0.50 pp over a 0.375 penetration rise,,,-133.333,-0.01333,"sourced (H note section 4, note 12 bounds)",2026-09-11 21:56:17
"H card fee-migration increment, 4Q26, point",n/a,0.0,H table 2.3 point +0.26 pp over a 0.375 penetration rise,,,69.333,0.00693,"sourced (H note section 4, note 12 bounds)",2026-09-11 21:56:17
"H card fee-migration increment, 4Q26, high",n/a,0.0,H table 2.3 high +1.42 pp over a 0.375 penetration rise,,,378.667,0.03787,"sourced (H note section 4, note 12 bounds)",2026-09-11 21:56:17
