variant,quarter,migrated_nights_share_pct,yoy_change_pp,fee_contribution_central_pp,fee_contribution_high_pp,label
central,1Q24,0.0,0.0,0.0,0.0,assumed path on sourced dates
central,2Q24,0.0,0.0,0.0,0.0,assumed path on sourced dates
central,3Q24,0.0,0.0,0.0,0.0,assumed path on sourced dates
central,4Q24,0.0,0.0,0.0,0.0,assumed path on sourced dates
central,1Q25,0.0,0.0,0.0,0.0,assumed path on sourced dates
central,2Q25,0.0,0.0,0.0,0.0,assumed path on sourced dates
central,3Q25,0.2,0.2,0.0,0.01,assumed path on sourced dates
central,4Q25,12.5,12.5,0.09,0.47,assumed path on sourced dates
central,1Q26,16.6,16.6,0.12,0.63,assumed path on sourced dates
central,2Q26,21.5,21.5,0.15,0.82,assumed path on sourced dates
central,3Q26,46.2,46.0,0.32,1.75,assumed path on sourced dates
central,4Q26,87.4,75.0,0.52,2.85,assumed path on sourced dates
central,1Q27,87.4,70.8,0.5,2.69,assumed path on sourced dates
central,2Q27,87.4,65.9,0.46,2.51,assumed path on sourced dates
central,3Q27,87.4,41.2,0.29,1.57,assumed path on sourced dates
central,4Q27,87.4,0.0,0.0,0.0,assumed: 2027 level held at the 4Q26 level (migration complete)
low_migrant,1Q24,0.0,0.0,0.0,0.0,assumed path on sourced dates
low_migrant,2Q24,0.0,0.0,0.0,0.0,assumed path on sourced dates
low_migrant,3Q24,0.0,0.0,0.0,0.0,assumed path on sourced dates
low_migrant,4Q24,0.0,0.0,0.0,0.0,assumed path on sourced dates
low_migrant,1Q25,0.0,0.0,0.0,0.0,assumed path on sourced dates
low_migrant,2Q25,0.0,0.0,0.0,0.0,assumed path on sourced dates
low_migrant,3Q25,0.1,0.1,0.0,0.0,assumed path on sourced dates
low_migrant,4Q25,5.1,5.1,0.04,0.19,assumed path on sourced dates
low_migrant,1Q26,6.7,6.7,0.05,0.26,assumed path on sourced dates
low_migrant,2Q26,9.9,9.9,0.07,0.37,assumed path on sourced dates
low_migrant,3Q26,29.2,29.1,0.2,1.11,assumed path on sourced dates
low_migrant,4Q26,71.7,66.7,0.47,2.53,assumed path on sourced dates
low_migrant,1Q27,71.7,65.0,0.45,2.47,assumed path on sourced dates
low_migrant,2Q27,71.7,61.9,0.43,2.35,assumed path on sourced dates
low_migrant,3Q27,71.7,42.5,0.3,1.62,assumed path on sourced dates
low_migrant,4Q27,71.7,0.0,0.0,0.0,assumed: 2027 level held at the 4Q26 level (migration complete)
high_migrant,1Q24,0.0,0.0,0.0,0.0,assumed path on sourced dates
high_migrant,2Q24,0.0,0.0,0.0,0.0,assumed path on sourced dates
high_migrant,3Q24,0.0,0.0,0.0,0.0,assumed path on sourced dates
high_migrant,4Q24,0.0,0.0,0.0,0.0,assumed path on sourced dates
high_migrant,1Q25,0.0,0.0,0.0,0.0,assumed path on sourced dates
high_migrant,2Q25,0.0,0.0,0.0,0.0,assumed path on sourced dates
high_migrant,3Q25,0.5,0.5,0.0,0.02,assumed path on sourced dates
high_migrant,4Q25,23.4,23.4,0.16,0.89,assumed path on sourced dates
high_migrant,1Q26,31.3,31.3,0.22,1.19,assumed path on sourced dates
high_migrant,2Q26,41.8,41.8,0.29,1.59,assumed path on sourced dates
high_migrant,3Q26,69.6,69.1,0.48,2.63,assumed path on sourced dates
high_migrant,4Q26,100.0,76.6,0.54,2.91,assumed path on sourced dates
high_migrant,1Q27,100.0,68.7,0.48,2.61,assumed path on sourced dates
high_migrant,2Q27,100.0,58.2,0.41,2.21,assumed path on sourced dates
high_migrant,3Q27,100.0,30.4,0.21,1.16,assumed path on sourced dates
high_migrant,4Q27,100.0,0.0,0.0,0.0,assumed: 2027 level held at the 4Q26 level (migration complete)
