model,n,k,r2,rmse_pp,aic,note,coef_const,t_const,coef_share,t_share,coef_d2026,t_d2026,coef_d4q25,t_d4q25,coef_trend,t_trend,coef_ar1,t_ar1,coef_geo,t_geo,coef_geo_gap,t_geo_gap,coef_na_share_yoy,t_na_share_yoy,coef_na_minus_exna,t_na_minus_exna,coef_rnpl,t_rnpl,corr_share_vs_2026_dummy,corr_share_vs_rnpl,corr_share_vs_trend,label
constant only (2023-26 mean),14,1,0.857273943582479,1.107782013707524,4.866075252275566,reference,2.7149540790874256,8.8364913146751,,,,,,,,,,,,,,,,,,,,,0.8848311456774288,0.9736879660682081,0.716704482823493,descriptive (n 14; none of these is a causal estimate)
"cohort share d4 (central, nights)",14,2,0.6046253354448436,0.6965603148527514,-6.124824988625852,the K model,,,0.12102170164306808,4.283801863915819,,,,,,,,,,,,,,,,,,,0.8848311456774288,0.9736879660682081,0.716704482823493,descriptive (n 14; none of these is a causal estimate)
2026 dummy,14,2,0.4902854116917317,0.7908931995177988,-2.5685855172950145,two quarters,,,,,2.216670848580118,3.397438287991028,,,,,,,,,,,,,,,,,0.8848311456774288,0.9736879660682081,0.716704482823493,descriptive (n 14; none of these is a causal estimate)
4Q25-onward dummy,14,2,0.5651132665426306,0.7305372899831587,-4.791300052902514,"three quarters, the migration window",,,,,,,2.0295190244969734,3.9488468877278056,,,,,,,,,,,,,,,0.8848311456774288,0.9736879660682081,0.716704482823493,descriptive (n 14; none of these is a causal estimate)
linear trend,14,2,0.3400896416896564,0.8999052432075966,1.0469574172829796,residual has risen since 2023,,,,,,,,,0.16025970137755444,2.486822869708117,,,,,,,,,,,,,0.8848311456774288,0.9736879660682081,0.716704482823493,descriptive (n 14; none of these is a causal estimate)
AR(1) on the residual,13,2,0.41395335051953774,0.8639138619924546,0.1966624901806986,n 13; rho and its half-life,,,,,,,,,,,0.7472204005512668,2.787442708776976,,,,,,,,,,,0.8848311456774288,0.9736879660682081,0.716704482823493,descriptive (n 14; none of these is a causal estimate)
AR(1) + cohort share d4,13,3,0.7002242931171611,0.6178777647356443,-6.518080452220156,does the share add to the residual's own persistence,,,0.11090285527509881,3.0902272376429027,,,,,,,0.19011344679125336,0.7039569545194295,,,,,,,,,,,0.8848311456774288,0.9736879660682081,0.716704482823493,descriptive (n 14; none of these is a causal estimate)
AR(1) + 2026 dummy,13,3,0.5922599796179215,0.7206029223381306,-2.5193426565761214,,,,,,1.7446314245261239,2.0911831685250553,,,,,0.3239656886956584,1.0458050670038697,,,,,,,,,,,0.8848311456774288,0.9736879660682081,0.716704482823493,descriptive (n 14; none of these is a causal estimate)
geographic mix term (geo_mix_pp),14,2,0.0010874071730352375,1.1071795448267971,6.850843268667209,does the residual absorb the geo term,,,,,,,,,,,,,-0.12047914865390523,-0.11429387986787604,,,,,,,,,0.8848311456774288,0.9736879660682081,0.716704482823493,descriptive (n 14; none of these is a causal estimate)
geo reconciliation gap (geo_recon_gap_pp),14,2,0.10346760234484909,1.0489077725073817,5.336983371050988,H's regional reconstruction gap,,,,,,,,,,,,,,,-0.8251655744620546,-1.1768194066135054,,,,,,,0.8848311456774288,0.9736879660682081,0.716704482823493,descriptive (n 14; none of these is a causal estimate)
"NA nights share y/y change, pp",14,2,0.07517427132327736,1.0653302554592377,5.771975803174708,sub-regional mix proxy,,,,,,,,,,,,,,,,,0.7363418635724297,0.9876323001013908,,,,,0.8848311456774288,0.9736879660682081,0.716704482823493,descriptive (n 14; none of these is a causal estimate)
"NA ex-FX ADR minus ex-NA ex-FX ADR, pp",14,2,0.14680190879315647,1.0232440950930513,4.643385837819711,regional signature: NA accelerated from 3Q25,,,,,,,,,,,,,,,,,,,0.11501668219117119,1.4369165163105313,,,0.8848311456774288,0.9736879660682081,0.716704482823493,descriptive (n 14; none of these is a causal estimate)
"RNPL nights share (D path, r 1.25), pp",14,2,0.6083709242108769,0.6932530251633439,-6.258086461137795,the other dated 2H25-26 ramp; 3Q25 and 4Q25 assumed,,,,,,,,,,,,,,,,,,,,,0.14367208039819432,4.31755008281093,0.8848311456774288,0.9736879660682081,0.716704482823493,descriptive (n 14; none of these is a causal estimate)
cohort share d4 + RNPL share,14,3,0.6146920294271163,0.6876355260904135,-4.485897520279098,can the two ramps be separated,,,0.05430003846604142,0.4248042526258666,,,,,,,,,,,,,,,,,0.08109893146523851,0.5360876216448689,0.8848311456774288,0.9736879660682081,0.716704482823493,descriptive (n 14; none of these is a causal estimate)
cohort share d4 + 2026 dummy,14,3,0.6053087388966716,0.6959580536952303,-4.149044868008305,can the share be separated from a level shift,,,0.11329462319162197,1.7904432090337887,0.17762805496455872,0.13800860665756912,,,,,,,,,,,,,,,,,0.8848311456774288,0.9736879660682081,0.716704482823493,descriptive (n 14; none of these is a causal estimate)
